"year","age_gr","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","16-34 y.","Female","7.72","8","2302","5","7","9","10","10","7.64","7.8","0","10","8","8"
"1984","16-34 y.","Male","7.56","8","2231","5","7","9","10","10","7.48","7.64","0","10","8","8"
"1984","35-65 y.","Female","7.43","8","3086","5","6","9","10","10","7.35","7.51","0","10","8","8"
"1984","35-65 y.","Male","7.37","8","3165","5","6","9","10","10","7.29","7.45","0","10","8","8"
"1984","66 and older","Female","7.17","8","757","4","6","9","10","10","7","7.34","0","10","7","8"
"1984","66 and older","Male","7.3","8","501","4","6","9","10","10","7.1","7.5","0","10","8","8"
"1985","16-34 y.","Female","7.59","8","2045","5","7","9","10","10","7.51","7.67","0","10","8","8"
"1985","16-34 y.","Male","7.54","8","2086","5","7","9","10","10","7.46","7.62","0","10","8","8"
"1985","35-65 y.","Female","7.32","8","2843","5","6","9","10","10","7.25","7.39","0","10","8","8"
"1985","35-65 y.","Male","7.2","8","2876","5","6","9","10","10","7.12","7.28","0","10","8","8"
"1985","66 and older","Female","7.22","8","655","4","6","9","10","10","7.04","7.4","0","10","7","8"
"1985","66 and older","Male","7.22","8","441","4","6","9","10","10","7","7.44","0","10","8","8"
"1986","16-34 y.","Female","7.74","8","1993","5","7","9","10","10","7.66","7.82","0","10","8","8"
"1986","16-34 y.","Male","7.7","8","2060","5","7","9","10","10","7.62","7.78","0","10","8","8"
"1986","35-65 y.","Female","7.37","8","2707","5","6","9","10","10","7.3","7.44","0","10","8","8"
"1986","35-65 y.","Male","7.4","8","2722","5","6","9","10","10","7.33","7.47","0","10","8","8"
"1986","66 and older","Female","7.55","8","611","5","6","9","10","10","7.38","7.72","0","10","8","8"
"1986","66 and older","Male","7.38","8","423","5","6","9","10","10","7.18","7.58","0","10","8","8"
"1987","16-34 y.","Female","7.51","8","1942","5","7","9","10","10","7.43","7.59","0","10","8","8"
"1987","16-34 y.","Male","7.47","8","2050","5","7","9","9","10","7.39","7.55","0","10","8","8"
"1987","35-65 y.","Female","7.18","8","2646","5","6","8","10","10","7.11","7.25","0","10","7","8"
"1987","35-65 y.","Male","7.19","8","2671","5","6","8","9","10","7.12","7.26","0","10","8","8"
"1987","66 and older","Female","7.13","8","647","5","6","9","10","10","6.95","7.31","0","10","7","8"
"1987","66 and older","Male","7.23","8","424","4","6","9","10","10","7.03","7.43","0","10","7","8"
"1988","16-34 y.","Female","","","","","","","","","","","","","",""
"1988","16-34 y.","Male","","","","","","","","","","","","","",""
"1988","35-65 y.","Female","","","","","","","","","","","","","",""
"1988","35-65 y.","Male","","","","","","","","","","","","","",""
"1988","66 and older","Female","","","","","","","","","","","","","",""
"1988","66 and older","Male","","","","","","","","","","","","","",""
"1989","16-34 y.","Female","","","","","","","","","","","","","",""
"1989","16-34 y.","Male","","","","","","","","","","","","","",""
"1989","35-65 y.","Female","","","","","","","","","","","","","",""
"1989","35-65 y.","Male","","","","","","","","","","","","","",""
"1989","66 and older","Female","","","","","","","","","","","","","",""
"1989","66 and older","Male","","","","","","","","","","","","","",""
"1990","16-34 y.","Female","","","","","","","","","","","","","",""
"1990","16-34 y.","Male","","","","","","","","","","","","","",""
"1990","35-65 y.","Female","","","","","","","","","","","","","",""
