"year","bula_h","pgcasmin","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"1984","Baden-Württemberg","(0) in school","7.94","8","35","7.32","8.56","6","7","9","10"
"1984","Baden-Württemberg","(1a) inadequately completed","7.52","8","306","7.26","7.78","4","6","10","10"
"1984","Baden-Württemberg","(1b) general elementary school","6.97","7","613","6.79","7.15","4","5","9","10"
"1984","Baden-Württemberg","(1c) basic vocational qualification","7.66","8","726","7.52","7.8","5","7","9","10"
"1984","Baden-Württemberg","(2a) intermediate vocational","7.89","8","203","7.63","8.15","5","7","9","10"
"1984","Baden-Württemberg","(2b) intermediate general qualification","7.8","8","75","7.36","8.24","5","7","9","10"
"1984","Baden-Württemberg","(2c_gen) general maturity certificate","7.77","8","57","7.28","8.26","5","7","9","10"
"1984","Baden-Württemberg","(2c_voc) vocational maturity certificate","7.25","7","75","6.79","7.71","5","6","9","10"
"1984","Baden-Württemberg","(3a) lower tertiary education","8.18","8","43","7.72","8.64","6","8","9","10"
"1984","Baden-Württemberg","(3b) higher tertiary education","7.97","8","81","7.56","8.38","6","7","9","10"
"1984","Bavaria","(0) in school","","","","","","","","",""
"1984","Bavaria","(1a) inadequately completed","6.64","6.81","110","6.23","7.05","4","5","8","10"
"1984","Bavaria","(1b) general elementary school","6.95","7","493","6.75","7.15","4","5","9","10"
"1984","Bavaria","(1c) basic vocational qualification","7.29","8","781","7.14","7.44","5","6","9","10"
"1984","Bavaria","(2a) intermediate vocational","7.75","8","271","7.52","7.98","5","7","9","10"
"1984","Bavaria","(2b) intermediate general qualification","7.81","8","92","7.41","8.21","5","7","9","10"
"1984","Bavaria","(2c_gen) general maturity certificate","7.56","8","56","7.03","8.09","6","7","9","10"
"1984","Bavaria","(2c_voc) vocational maturity certificate","7.58","8","81","7.12","8.04","5","6","10","10"
"1984","Bavaria","(3a) lower tertiary education","8.29","8","55","7.88","8.7","7","8","10","10"
"1984","Bavaria","(3b) higher tertiary education","7.83","8","97","7.47","8.19","5","7","9","10"
"1984","Berlin","(0) in school","","","","","","","","",""
"1984","Berlin","(1a) inadequately completed","6.61","7","40","5.93","7.29","3","5","8","10"
"1984","Berlin","(1b) general elementary school","6.75","7","86","6.18","7.32","3","5","10","10"
"1984","Berlin","(1c) basic vocational qualification","7.67","8","117","7.28","8.06","5","7","10","10"
"1984","Berlin","(2a) intermediate vocational","7.88","8","67","7.42","8.34","5","7","10","10"
"1984","Berlin","(2b) intermediate general qualification","","","","","","","","",""
"1984","Berlin","(2c_gen) general maturity certificate","","","","","","","","",""
"1984","Berlin","(2c_voc) vocational maturity certificate","","","","","","","","",""
"1984","Berlin","(3a) lower tertiary education","","","","","","","","",""
"1984","Berlin","(3b) higher tertiary education","","","","","","","","",""
"1984","Brandenburg","(0) in school","","","","","","","","",""
"1984","Brandenburg","(1a) inadequately completed","","","","","","","","",""
"1984","Brandenburg","(1b) general elementary school","","","","","","","","",""
"1984","Brandenburg","(1c) basic vocational qualification","","","","","","","","",""
"1984","Brandenburg","(2a) intermediate vocational","","","","","","","","",""
"1984","Brandenburg","(2b) intermediate general qualification","","","","","","","","",""
"1984","Brandenburg","(2c_gen) general maturity certificate","","","","","","","","",""
"1984","Brandenburg","(2c_voc) vocational maturity certificate","","","","","","","","",""
"1984","Brandenburg","(3a) lower tertiary education","","","","","","","","",""
"1984","Brandenburg","(3b) higher tertiary education","","","","","","","","",""
"1984","Bremen","(0) in school","","","","","","","","",""
"1984","Bremen","(1a) inadequately completed","","","","","","","","",""
"1984","Bremen","(1b) general elementary school","7.2","7","33","6.33","8.07","4","6","9","10"
"1984","Bremen","(1c) basic vocational qualification","6.75","7.39","58","5.96","7.54","2","5","10","10"
"1984","Bremen","(2a) intermediate vocational","","","","","","","","",""
"1984","Bremen","(2b) intermediate general qualification","","","","","","","","",""
"1984","Bremen","(2c_gen) general maturity certificate","","","","","","","","",""
"1984","Bremen","(2c_voc) vocational maturity certificate","","","","","","","","",""
"1984","Bremen","(3a) lower tertiary education","","","","","","","","",""
"1984","Bremen","(3b) higher tertiary education","","","","","","","","",""
"1984","Hamburg","(0) in school","","","","","","","","",""
"1984","Hamburg","(1a) inadequately completed","","","","","","","","",""
"1984","Hamburg","(1b) general elementary school","7.09","8","56","6.48","7.7","3","6","9","10"
"1984","Hamburg","(1c) basic vocational qualification","7.36","8","104","6.9","7.82","4","5","9","10"
"1984","Hamburg","(2a) intermediate vocational","7.95","8","46","7.44","8.46","5","7","9","10"
"1984","Hamburg","(2b) intermediate general qualification","","","","","","","","",""
"1984","Hamburg","(2c_gen) general maturity certificate","","","","","","","","",""
"1984","Hamburg","(2c_voc) vocational maturity certificate","","","","","","","","",""
"1984","Hamburg","(3a) lower tertiary education","","","","","","","","",""
"1984","Hamburg","(3b) higher tertiary education","","","","","","","","",""
"1984","Hesse","(0) in school","","","","","","","","",""
"1984","Hesse","(1a) inadequately completed","6.53","7","129","6.08","6.98","1","5","9","10"
"1984","Hesse","(1b) general elementary school","7.33","8","307","7.08","7.58","5","6","9","10"
"1984","Hesse","(1c) basic vocational qualification","7.48","8","390","7.28","7.68","5","6","9","10"
"1984","Hesse","(2a) intermediate vocational","7.76","8","143","7.45","8.07","5","7","9","10"
"1984","Hesse","(2b) intermediate general qualification","7.12","7.83","43","6.4","7.84","3","6","9","10"
"1984","Hesse","(2c_gen) general maturity certificate","7.1","7.73","57","6.52","7.68","4","5","8","10"
"1984","Hesse","(2c_voc) vocational maturity certificate","8.11","8","46","7.67","8.55","6","8","9","10"
"1984","Hesse","(3a) lower tertiary education","","","","","","","","",""
"1984","Hesse","(3b) higher tertiary education","8.05","8","61","7.56","8.54","5","7","10","10"
"1984","Lower Saxony","(0) in school","","","","","","","","",""
"1984","Lower Saxony","(1a) inadequately completed","6.28","5.38","67","5.74","6.82","4","5","8","9"
"1984","Lower Saxony","(1b) general elementary school","7.08","7.18","304","6.81","7.35","4","5","9","10"
"1984","Lower Saxony","(1c) basic vocational qualification","7.21","8","436","7","7.42","5","6","9","10"
"1984","Lower Saxony","(2a) intermediate vocational","7.76","8","162","7.5","8.02","5","7","9","10"
"1984","Lower Saxony","(2b) intermediate general qualification","7.47","8","63","6.89","8.05","5","6","9","10"
"1984","Lower Saxony","(2c_gen) general maturity certificate","7.23","7.11","40","6.64","7.82","4","6","8","10"
"1984","Lower Saxony","(2c_voc) vocational maturity certificate","7.5","7.11","38","6.76","8.24","4","6","9","10"
"1984","Lower Saxony","(3a) lower tertiary education","","","","","","","","",""
"1984","Lower Saxony","(3b) higher tertiary education","8.05","8","60","7.63","8.47","6","7","9","10"
"1984","Mecklenburg-Western Pomerania","(0) in school","","","","","","","","",""
"1984","Mecklenburg-Western Pomerania","(1a) inadequately completed","","","","","","","","",""
"1984","Mecklenburg-Western Pomerania","(1b) general elementary school","","","","","","","","",""
"1984","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","","","","","","","","",""
"1984","Mecklenburg-Western Pomerania","(2a) intermediate vocational","","","","","","","","",""
"1984","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","","","","","","","","",""
"1984","Mecklenburg-Western Pomerania","(2c_gen) general maturity certificate","","","","","","","","",""
"1984","Mecklenburg-Western Pomerania","(2c_voc) vocational maturity certificate","","","","","","","","",""
"1984","Mecklenburg-Western Pomerania","(3a) lower tertiary education","","","","","","","","",""
"1984","Mecklenburg-Western Pomerania","(3b) higher tertiary education","","","","","","","","",""
"1984","North Rhine-Westphalia","(0) in school","8.01","8","60","7.48","8.54","5","7","9","10"
"1984","North Rhine-Westphalia","(1a) inadequately completed","7.09","7.85","340","6.84","7.34","4","5","9","10"
"1984","North Rhine-Westphalia","(1b) general elementary school","7.08","7","739","6.92","7.24","4","5","9","10"
"1984","North Rhine-Westphalia","(1c) basic vocational qualification","7.47","8","1129","7.34","7.6","5","6","9","10"
"1984","North Rhine-Westphalia","(2a) intermediate vocational","7.96","8","326","7.76","8.16","5","7","9","10"
"1984","North Rhine-Westphalia","(2b) intermediate general qualification","7.61","8","126","7.28","7.94","5","7","9","10"
"1984","North Rhine-Westphalia","(2c_gen) general maturity certificate","7.53","8","129","7.13","7.93","4","7","9","10"
"1984","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","7.88","8","129","7.56","8.2","6","7","9","10"
"1984","North Rhine-Westphalia","(3a) lower tertiary education","8.18","8","74","7.8","8.56","5","8","9","10"
"1984","North Rhine-Westphalia","(3b) higher tertiary education","7.91","8","149","7.62","8.2","5","7","9","10"
"1984","Rhineland-Palatinate,Saarland","(0) in school","","","","","","","","",""
"1984","Rhineland-Palatinate,Saarland","(1a) inadequately completed","6.68","7","68","6.08","7.28","3","5","9","10"
"1984","Rhineland-Palatinate,Saarland","(1b) general elementary school","7.04","7","266","6.78","7.3","5","6","8","10"
"1984","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","7.19","8","322","6.95","7.43","4","6","9","10"
"1984","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","8.12","8","78","7.78","8.46","6","7","9","10"
"1984","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","8.12","8","30","7.65","8.59","6","8","9","10"
"1984","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","","","","","","","","",""
"1984","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","","","","","","","","",""
"1984","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","","","","","","","","",""
"1984","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","","","","","","","","",""
"1984","Saxony","(0) in school","","","","","","","","",""
"1984","Saxony","(1a) inadequately completed","","","","","","","","",""
"1984","Saxony","(1b) general elementary school","","","","","","","","",""
"1984","Saxony","(1c) basic vocational qualification","","","","","","","","",""
"1984","Saxony","(2a) intermediate vocational","","","","","","","","",""
"1984","Saxony","(2b) intermediate general qualification","","","","","","","","",""
"1984","Saxony","(2c_gen) general maturity certificate","","","","","","","","",""
"1984","Saxony","(2c_voc) vocational maturity certificate","","","","","","","","",""
"1984","Saxony","(3a) lower tertiary education","","","","","","","","",""
"1984","Saxony","(3b) higher tertiary education","","","","","","","","",""
"1984","Saxony-Anhalt","(0) in school","","","","","","","","",""
