"year","education","pgcasmin","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"1984","college entrance qualification","(0) in school","","","","","","","","",""
"1984","college entrance qualification","(1a) inadequately completed","","","","","","","","",""
"1984","college entrance qualification","(1b) general elementary school","","","","","","","","",""
"1984","college entrance qualification","(1c) basic vocational qualification","","","","","","","","",""
"1984","college entrance qualification","(2a) intermediate vocational","","","","","","","","",""
"1984","college entrance qualification","(2b) intermediate general qualification","","","","","","","","",""
"1984","college entrance qualification","(2c_gen) general maturity certificate","7.52","8","305","7.3","7.74","5","7","9","10"
"1984","college entrance qualification","(2c_voc) vocational maturity certificate","7.64","8","338","7.43","7.85","5","7","9","10"
"1984","college entrance qualification","(3a) lower tertiary education","8.12","8","186","7.88","8.36","5","8","9","10"
"1984","college entrance qualification","(3b) higher tertiary education","7.95","8","439","7.79","8.11","5","7","9","10"
"1984","lower secondary degree","(0) in school","","","","","","","","",""
"1984","lower secondary degree","(1a) inadequately completed","","","","","","","","",""
"1984","lower secondary degree","(1b) general elementary school","7.05","7","2233","6.96","7.14","4","5","9","10"
"1984","lower secondary degree","(1c) basic vocational qualification","7.41","8","3772","7.34","7.48","5","6","9","10"
"1984","lower secondary degree","(2a) intermediate vocational","","","","","","","","",""
"1984","lower secondary degree","(2b) intermediate general qualification","","","","","","","","",""
"1984","lower secondary degree","(2c_gen) general maturity certificate","","","","","","","","",""
"1984","lower secondary degree","(2c_voc) vocational maturity certificate","","","","","","","","",""
"1984","lower secondary degree","(3a) lower tertiary education","","","","","","","","",""
"1984","lower secondary degree","(3b) higher tertiary education","","","","","","","","",""
"1984","no degree/no degree yet","(0) in school","7.89","8","185","7.63","8.15","5","7","9","10"
"1984","no degree/no degree yet","(1a) inadequately completed","6.93","7","1100","6.79","7.07","4","5","9","10"
"1984","no degree/no degree yet","(1b) general elementary school","","","","","","","","",""
"1984","no degree/no degree yet","(1c) basic vocational qualification","","","","","","","","",""
"1984","no degree/no degree yet","(2a) intermediate vocational","","","","","","","","",""
"1984","no degree/no degree yet","(2b) intermediate general qualification","","","","","","","","",""
"1984","no degree/no degree yet","(2c_gen) general maturity certificate","","","","","","","","",""
"1984","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","","","","","","",""
"1984","no degree/no degree yet","(3a) lower tertiary education","","","","","","","","",""
"1984","no degree/no degree yet","(3b) higher tertiary education","","","","","","","","",""
"1984","Other degree","(0) in school","","","","","","","","",""
"1984","Other degree","(1a) inadequately completed","","","","","","","","",""
"1984","Other degree","(1b) general elementary school","7.25","8","734","7.09","7.41","4","6","9","10"
"1984","Other degree","(1c) basic vocational qualification","7.33","8","442","7.13","7.53","4","6","9","10"
"1984","Other degree","(2a) intermediate vocational","","","","","","","","",""
"1984","Other degree","(2b) intermediate general qualification","","","","","","","","",""
"1984","Other degree","(2c_gen) general maturity certificate","6.56","7","87","6.02","7.1","4","5","8","10"
"1984","Other degree","(2c_voc) vocational maturity certificate","6.99","7.09","104","6.55","7.43","4","5","8","10"
"1984","Other degree","(3a) lower tertiary education","","","","","","","","",""
"1984","Other degree","(3b) higher tertiary education","7.45","8","55","6.89","8.01","5","5","10","10"
"1984","secondary school degree","(0) in school","","","","","","","","",""
"1984","secondary school degree","(1a) inadequately completed","","","","","","","","",""
"1984","secondary school degree","(1b) general elementary school","","","","","","","","",""
"1984","secondary school degree","(1c) basic vocational qualification","","","","","","","","",""
"1984","secondary school degree","(2a) intermediate vocational","7.89","8","1387","7.79","7.99","5","7","9","10"
"1984","secondary school degree","(2b) intermediate general qualification","7.63","8","469","7.45","7.81","5","7","9","10"
"1984","secondary school degree","(2c_gen) general maturity certificate","","","","","","","","",""
"1984","secondary school degree","(2c_voc) vocational maturity certificate","","","","","","","","",""
"1984","secondary school degree","(3a) lower tertiary education","7.78","8","55","7.32","8.24","5","6","9","10"
"1984","secondary school degree","(3b) higher tertiary education","","","","","","","","",""
"1985","college entrance qualification","(0) in school","","","","","","","","",""
"1985","college entrance qualification","(1a) inadequately completed","","","","","","","","",""
"1985","college entrance qualification","(1b) general elementary school","","","","","","","","",""
"1985","college entrance qualification","(1c) basic vocational qualification","","","","","","","","",""
"1985","college entrance qualification","(2a) intermediate vocational","","","","","","","","",""
"1985","college entrance qualification","(2b) intermediate general qualification","","","","","","","","",""
"1985","college entrance qualification","(2c_gen) general maturity certificate","7.64","8","293","7.45","7.83","5","7","9","10"
"1985","college entrance qualification","(2c_voc) vocational maturity certificate","7.53","8","316","7.34","7.72","5","7","8","10"
"1985","college entrance qualification","(3a) lower tertiary education","7.67","8","177","7.4","7.94","5","7","9","10"
"1985","college entrance qualification","(3b) higher tertiary education","7.76","8","432","7.61","7.91","5","7","9","10"
"1985","lower secondary degree","(0) in school","","","","","","","","",""
"1985","lower secondary degree","(1a) inadequately completed","","","","","","","","",""
"1985","lower secondary degree","(1b) general elementary school","7.11","8","1977","7.01","7.21","4","6","9","10"
"1985","lower secondary degree","(1c) basic vocational qualification","7.26","8","3417","7.19","7.33","5","6","9","10"
"1985","lower secondary degree","(2a) intermediate vocational","","","","","","","","",""
"1985","lower secondary degree","(2b) intermediate general qualification","","","","","","","","",""
"1985","lower secondary degree","(2c_gen) general maturity certificate","","","","","","","","",""
"1985","lower secondary degree","(2c_voc) vocational maturity certificate","","","","","","","","",""
"1985","lower secondary degree","(3a) lower tertiary education","","","","","","","","",""
