"year","regtyp","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2008","Rural Area","East Germany","6.52","7","3112","3","5","8","9","10","6.44","6.6","0","10","7","7"
"2008","Rural Area","West Germany","6.85","7","3456","3","5","9","10","10","6.77","6.93","0","10","7","8"
"2008","Urban Area","East Germany","6.53","7","1677","3","5","8","9","10","6.42","6.64","0","10","7","7"
"2008","Urban Area","West Germany","6.75","7","11155","3","5","8","10","10","6.71","6.79","0","10","7","7"
"2009","Rural Area","East Germany","6.59","7","2963","3","5","8","9","10","6.51","6.67","0","10","7","7"
"2009","Rural Area","West Germany","6.79","7","3286","3","5","8","10","10","6.71","6.87","0","10","7","7"
"2009","Urban Area","East Germany","6.53","7","1589","3","5","8","9","10","6.42","6.64","0","10","7","7"
"2009","Urban Area","West Germany","6.73","7","10257","3","5","8","10","10","6.69","6.77","0","10","7","7"
"2010","Rural Area","East Germany","6.49","7","3527","3","5","8","9","10","6.41","6.57","0","10","7","7"
"2010","Rural Area","West Germany","6.77","7","4707","3","5","8","10","10","6.7","6.84","0","10","7","7"
"2010","Urban Area","East Germany","6.54","7","1956","3","5","8","9","10","6.44","6.64","0","10","7","7"
"2010","Urban Area","West Germany","6.73","7","13838","3","5","8","10","10","6.69","6.77","0","10","7","7"
"2011","Rural Area","East Germany","6.53","7","3715","3","5","8","9","10","6.46","6.6","0","10","7","7"
"2011","Rural Area","West Germany","6.77","7","5406","3","5","8","10","10","6.71","6.83","0","10","7","7"
"2011","Urban Area","East Germany","6.52","7","2100","3","5","8","9","10","6.42","6.62","0","10","7","7"
"2011","Urban Area","West Germany","6.75","7","14672","3","5","8","10","10","6.71","6.79","0","10","7","7"
"2012","Rural Area","East Germany","6.6","7","3827","3","5","8","10","10","6.53","6.67","0","10","7","7"
"2012","Rural Area","West Germany","6.76","7","5673","3","5","9","10","10","6.7","6.82","0","10","7","7"
"2012","Urban Area","East Germany","6.45","7","2147","3","5","8","9","10","6.35","6.55","0","10","7","7"
"2012","Urban Area","West Germany","6.76","7","14863","3","5","8","10","10","6.72","6.8","0","10","7","7"
"2013","Rural Area","East Germany","6.67","7","3690","3","5","8","9","10","6.6","6.74","0","10","7","7"
"2013","Rural Area","West Germany","6.72","7","5526","3","5","8","10","10","6.66","6.78","0","10","7","7"
"2013","Urban Area","East Germany","6.43","7","2066","3","5","8","9","10","6.33","6.53","0","10","7","7"
"2013","Urban Area","West Germany","6.75","7","14482","3","5","8","10","10","6.71","6.79","0","10","7","7"
"2014","Rural Area","East Germany","6.63","7","3575","3","5","8","9","10","6.56","6.7","0","10","7","7"
"2014","Rural Area","West Germany","6.73","7","5731","3","5","8","10","10","6.67","6.79","0","10","7","7"
"2014","Urban Area","East Germany","6.45","7","2037","3","5","8","9","10","6.35","6.55","0","10","7","7"
"2014","Urban Area","West Germany","6.73","7","15848","3","5","8","10","10","6.69","6.77","0","10","7","7"
"2015","Rural Area","East Germany","6.54","7","3346","3","5","8","9","10","6.47","6.61","0","10","7","7"
"2015","Rural Area","West Germany","6.71","7","5376","3","5","8","10","10","6.65","6.77","0","10","7","7"
"2015","Urban Area","East Germany","6.46","7","1933","3","5","8","9","10","6.36","6.56","0","10","7","7"
"2015","Urban Area","West Germany","6.78","7","14478","4","5","8","10","10","6.74","6.82","0","10","7","7"
"2016","Rural Area","East Germany","6.53","7","3205","3","5","8","9","10","6.45","6.61","0","10","7","7"
"2016","Rural Area","West Germany","6.67","7","5157","3","5","8","10","10","6.61","6.73","0","10","7","7"
"2016","Urban Area","East Germany","6.55","7","1850","3","5","8","9","10","6.45","6.65","0","10","7","7"
"2016","Urban Area","West Germany","6.74","7","14051","3","5","8","9","10","6.7","6.78","0","10","7","7"
"2017","Rural Area","East Germany","6.57","7","3669","3","5","8","9","10","6.5","6.64","0","10","7","7"
"2017","Rural Area","West Germany","6.63","7","5741","3","5","8","9","10","6.57","6.69","0","10","7","7"
"2017","Urban Area","East Germany","6.56","7","1956","3","5","8","9","10","6.46","6.66","0","10","7","7"
"2017","Urban Area","West Germany","6.65","7","15208","3","5","8","9","10","6.61","6.69","0","10","7","7"
"2018","Rural Area","East Germany","6.41","7","3577","3","5","8","9","10","6.34","6.48","0","10","7","7"
"2018","Rural Area","West Germany","6.55","7","5455","3","5","8","9","10","6.49","6.61","0","10","7","7"
"2018","Urban Area","East Germany","6.52","7","1935","3","5","8","9","10","6.42","6.62","0","10","7","7"
"2018","Urban Area","West Germany","6.56","7","14725","3","5","8","9","10","6.52","6.6","0","10","7","7"
"2019","Rural Area","East Germany","6.47","7","3591","3","5","8","9","10","6.4","6.54","0","10","7","7"
"2019","Rural Area","West Germany","6.73","7","5279","3","5","8","9","10","6.67","6.79","0","10","7","7"
"2019","Urban Area","East Germany","6.6","7","1532","3","5","8","9","10","6.49","6.71","0","10","7","7"
"2019","Urban Area","West Germany","6.66","7","13937","3","5","8","9","10","6.62","6.7","0","10","7","7"
