"year","education","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1984","college entrance qualification","Westdeutschland, alte Bundeslaender","6.27","6","691","3","5","8","10","6.08","6.46","6","7"
"1984","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1984","lower secondary degree","Westdeutschland, alte Bundeslaender","7.13","8","4097","4","5","9","10","7.06","7.2","7","8"
"1984","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1984","no degree/no degree yet","Westdeutschland, alte Bundeslaender","6.6","7","864","3","5","8","10","6.44","6.76","7","7"
"1984","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1984","Other degree","Westdeutschland, alte Bundeslaender","6.97","7","921","3","5","9","10","6.81","7.13","7","8"
"1984","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1984","secondary school degree","Westdeutschland, alte Bundeslaender","6.92","7","1207","3","5","9","10","6.78","7.06","7","8"
"1985","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1985","college entrance qualification","Westdeutschland, alte Bundeslaender","6.32","6","578","3","5","8","10","6.13","6.51","6","7"
"1985","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1985","lower secondary degree","Westdeutschland, alte Bundeslaender","7.12","7","3323","4","5","9","10","7.05","7.19","7","7"
"1985","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1985","no degree/no degree yet","Westdeutschland, alte Bundeslaender","6.82","7","634","4","5","8","10","6.65","6.99","7","8"
"1985","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1985","Other degree","Westdeutschland, alte Bundeslaender","6.5","7","719","3","5","8","10","6.32","6.68","7","7"
"1985","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1985","secondary school degree","Westdeutschland, alte Bundeslaender","6.92","7","1098","4","5","9","10","6.79","7.05","7","7"
"1986","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1986","college entrance qualification","Westdeutschland, alte Bundeslaender","6.38","7","637","3","5","8","9","6.2","6.56","6","7"
"1986","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1986","lower secondary degree","Westdeutschland, alte Bundeslaender","7.06","7","3255","4","5","9","10","6.99","7.13","7","7"
"1986","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1986","no degree/no degree yet","Westdeutschland, alte Bundeslaender","6.5","7","641","4","5","8","10","6.33","6.67","7","7"
"1986","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1986","Other degree","Westdeutschland, alte Bundeslaender","6.8","7","662","4","5","8","10","6.63","6.97","7","8"
"1986","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1986","secondary school degree","Westdeutschland, alte Bundeslaender","6.75","7","1108","4","5","8","10","6.62","6.88","7","7"
"1987","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
