"year","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1984","Westdeutschland, alte Bundeslaender","6.98","7","7837","4","5","9","10","10","6.93","7.03","0","10","7","7"
"1985","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1985","Westdeutschland, alte Bundeslaender","6.97","7","6433","4","5","9","10","10","6.91","7.03","0","10","7","7"
"1986","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1986","Westdeutschland, alte Bundeslaender","6.89","7","6387","4","5","8","10","10","6.84","6.94","0","10","7","7"
"1987","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1987","Westdeutschland, alte Bundeslaender","6.97","7","6361","4","5","8","10","10","6.92","7.02","0","10","7","7"
"1988","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1988","Westdeutschland, alte Bundeslaender","6.8","7","6113","4","5","8","10","10","6.75","6.85","0","10","7","7"
"1989","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1989","Westdeutschland, alte Bundeslaender","6.72","7","6064","4","5","8","10","10","6.67","6.77","0","10","7","7"
"1990","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1990","Westdeutschland, alte Bundeslaender","6.69","7","6391","4","5","8","10","10","6.64","6.74","0","10","7","7"
"1991","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1991","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"1992","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1992","Westdeutschland, alte Bundeslaender","","","","","","","","","","","","","",""
"1993","Ostdeutschland, neue Bundeslaender","6.31","6","2274","3","5","8","9","10","6.22","6.4","0","10","6","7"
"1993","Westdeutschland, alte Bundeslaender","6.53","7","6348","4","5","8","9","10","6.48","6.58","0","10","7","7"
"1994","Ostdeutschland, neue Bundeslaender","6.23","6","2353","3","5","8","9","10","6.15","6.31","0","10","6","7"
"1994","Westdeutschland, alte Bundeslaender","6.53","7","6281","4","5","8","9","10","6.48","6.58","0","10","7","7"
"1995","Ostdeutschland, neue Bundeslaender","6.3","6","2366","3","5","8","9","10","6.22","6.38","0","10","6","7"
"1995","Westdeutschland, alte Bundeslaender","6.52","7","6765","4","5","8","9","10","6.47","6.57","0","10","7","7"
"1996","Ostdeutschland, neue Bundeslaender","6.36","6","2355","4","5","8","9","10","6.28","6.44","0","10","6","7"
"1996","Westdeutschland, alte Bundeslaender","6.51","7","6651","4","5","8","9","10","6.46","6.56","0","10","7","7"
"1997","Ostdeutschland, neue Bundeslaender","6.39","7","2390","4","5","8","9","10","6.31","6.47","0","10","7","7"
"1997","Westdeutschland, alte Bundeslaender","6.48","7","6548","4","5","8","9","10","6.43","6.53","0","10","7","7"
"1998","Ostdeutschland, neue Bundeslaender","6.46","7","2643","4","5","8","9","10","6.38","6.54","0","10","7","7"
"1998","Westdeutschland, alte Bundeslaender","6.56","7","7304","4","5","8","9","10","6.51","6.61","0","10","7","7"
"1999","Ostdeutschland, neue Bundeslaender","6.46","7","2623","4","5","8","9","10","6.39","6.53","0","10","6","7"
"1999","Westdeutschland, alte Bundeslaender","6.51","7","7123","4","5","8","9","10","6.46","6.56","0","10","7","7"
"2000","Ostdeutschland, neue Bundeslaender","6.52","7","4059","4","5","8","9","10","6.46","6.58","0","10","7","7"
"2000","Westdeutschland, alte Bundeslaender","6.62","7","13329","4","5","8","9","10","6.58","6.66","0","10","7","7"
"2001","Ostdeutschland, neue Bundeslaender","6.54","7","3932","4","5","8","9","10","6.48","6.6","0","10","7","7"
"2001","Westdeutschland, alte Bundeslaender","6.65","7","12142","4","5","8","9","10","6.61","6.69","0","10","7","7"
"2002","Ostdeutschland, neue Bundeslaender","6.43","7","3887","4","5","8","9","10","6.37","6.49","0","10","7","7"
"2002","Westdeutschland, alte Bundeslaender","6.55","7","12748","4","5","8","9","10","6.51","6.59","0","10","7","7"
"2003","Ostdeutschland, neue Bundeslaender","6.48","7","3961","4","5","8","9","10","6.42","6.54","0","10","7","7"
"2003","Westdeutschland, alte Bundeslaender","6.57","7","12540","4","5","8","9","10","6.53","6.61","0","10","7","7"
"2004","Ostdeutschland, neue Bundeslaender","6.36","7","3924","4","5","8","9","10","6.3","6.42","0","10","7","7"
"2004","Westdeutschland, alte Bundeslaender","6.57","7","12305","4","5","8","9","10","6.53","6.61","0","10","7","7"
"2005","Ostdeutschland, neue Bundeslaender","6.48","7","3776","4","5","8","9","10","6.42","6.54","0","10","7","7"
"2005","Westdeutschland, alte Bundeslaender","6.53","7","11888","4","5","8","9","10","6.49","6.57","0","10","7","7"
"2006","Ostdeutschland, neue Bundeslaender","6.48","7","3992","4","5","8","9","10","6.42","6.54","0","10","7","7"
"2006","Westdeutschland, alte Bundeslaender","6.55","7","12830","4","5","8","9","10","6.51","6.59","0","10","7","7"
"2007","Ostdeutschland, neue Bundeslaender","6.5","7","3788","4","5","8","9","10","6.44","6.56","0","10","7","7"
"2007","Westdeutschland, alte Bundeslaender","6.61","7","12065","4","5","8","9","10","6.57","6.65","0","10","7","7"
"2008","Ostdeutschland, neue Bundeslaender","6.66","7","3669","4","5","8","9","10","6.6","6.72","0","10","7","7"
