"year","e11103","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Full Time","general elemantary","6.13","6","1139","3","5","8","10","10","5.99","6.27","0","10","6","7"
"1984","Full Time","higher education","7.47","8","467","5","7","9","10","10","7.28","7.66","0","10","8","8"
"1984","Full Time","higher vocational","6.81","7","365","4","5","8","10","10","6.58","7.04","0","10","7","7"
"1984","Full Time","in school","","","","","","","","","","","","","",""
"1984","Full Time","inadequately","6.1","6","514","3","4","8","10","10","5.88","6.32","0","10","6","7"
"1984","Full Time","middle vocational","6.49","7","2925","3","5","8","10","10","6.4","6.58","0","10","7","7"
"1984","Full Time","vocational + Abi","6.75","7","180","4","5","8","10","10","6.38","7.12","0","10","6","7"
"1984","Not Working","general elemantary","6.23","6","1711","2","5","8","10","10","6.1","6.36","0","10","6","7"
"1984","Not Working","higher education","7.07","8","158","3","5","9","10","10","6.65","7.49","0","10","7","8"
"1984","Not Working","higher vocational","6.65","7","183","3","5","9","10","10","6.24","7.06","0","10","6","8"
"1984","Not Working","in school","6.58","7","142","3","5","9","10","10","6.15","7.01","0","10","6","8"
"1984","Not Working","inadequately","5.28","5","372","2","3","7","9","10","4.99","5.57","0","10","5","6"
"1984","Not Working","middle vocational","6.67","7","1869","3","5","9","10","10","6.54","6.8","0","10","7","7"
"1984","Not Working","vocational + Abi","6.56","7","81","2","5","9","10","10","5.89","7.23","0","10","6","8"
"1984","Part Time","general elemantary","6.21","6","537","3","5","8","10","10","5.98","6.44","0","10","6","6"
"1984","Part Time","higher education","7.11","8","165","4","5","9","10","10","6.72","7.5","0","10","7","8"
"1984","Part Time","higher vocational","6.63","7","108","3","5","9","10","10","6.13","7.13","0","10","6","8"
"1984","Part Time","in school","","","","","","","","","","","","","",""
"1984","Part Time","inadequately","5.49","6","122","1","3","8","10","10","4.98","6","0","10","5","7"
"1984","Part Time","middle vocational","6.1","6","869","2","5","8","10","10","5.92","6.28","0","10","6","7"
"1984","Part Time","vocational + Abi","6.09","7","50","1","4","8","10","10","5.29","6.89","0","10","5","7"
"1985","Full Time","general elemantary","6.2","6","977","3","5","8","10","10","6.05","6.35","0","10","6","7"
"1985","Full Time","higher education","7.45","8","461","5","7","9","10","10","7.27","7.63","0","10","8","8"
"1985","Full Time","higher vocational","6.89","7","345","5","5","8","10","10","6.67","7.11","0","10","7","8"
"1985","Full Time","in school","","","","","","","","","","","","","",""
"1985","Full Time","inadequately","6.46","7","405","3","5","8","10","10","6.23","6.69","0","10","7","7"
"1985","Full Time","middle vocational","6.52","7","2539","4","5","8","9","10","6.43","6.61","0","10","7","7"
"1985","Full Time","vocational + Abi","6.73","7","147","4","5","8","9","10","6.38","7.08","0","10","7","8"
"1985","Not Working","general elemantary","6.32","7","1496","3","5","8","10","10","6.19","6.45","0","10","6","7"
"1985","Not Working","higher education","7.27","8","148","4","6","9","10","10","6.86","7.68","0","10","7","8"
"1985","Not Working","higher vocational","7.01","7","169","3","5","10","10","10","6.61","7.41","0","10","7","8"
"1985","Not Working","in school","7.23","7","144","5","6","9","10","10","6.87","7.59","0","10","7","8"
"1985","Not Working","inadequately","5.18","5","329","1","3","8","10","10","4.87","5.49","0","10","5","6"
"1985","Not Working","middle vocational","6.55","7","1706","3","5","8","10","10","6.43","6.67","0","10","7","7"
"1985","Not Working","vocational + Abi","6.43","7","78","2","5","8","10","10","5.77","7.09","0","10","5","8"
"1985","Part Time","general elemantary","6.02","6","525","2","5","8","10","10","5.8","6.24","0","10","6","7"
"1985","Part Time","higher education","6.73","7","143","3","5","9","10","10","6.33","7.13","0","10","7","8"
