"year","pgcasmin","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","(0) in school","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1984","(0) in school","Westdeutschland, alte Bundeslaender","6.53","7","152","3","5","9","10","6.11","6.95","6","8"
"1984","(1a) inadequately completed","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1984","(1a) inadequately completed","Westdeutschland, alte Bundeslaender","5.67","6","1105","2","4","8","9","5.51","5.83","6","6"
"1984","(1b) general elementary school","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1984","(1b) general elementary school","Westdeutschland, alte Bundeslaender","6.15","6","2975","2","5","8","10","6.05","6.25","6","6"
"1984","(1c) basic vocational qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1984","(1c) basic vocational qualification","Westdeutschland, alte Bundeslaender","6.42","7","4234","3","5","8","10","6.34","6.5","7","7"
"1984","(2a) intermediate vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1984","(2a) intermediate vocational","Westdeutschland, alte Bundeslaender","7.01","7","1399","4","5","9","10","6.88","7.14","7","8"
"1984","(2b) intermediate general qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1984","(2b) intermediate general qualification","Westdeutschland, alte Bundeslaender","6.48","7","435","3","5","8","10","6.24","6.72","6","7"
"1984","(2c_gen) general maturity certificate","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1984","(2c_gen) general maturity certificate","Westdeutschland, alte Bundeslaender","5.58","6","398","2","4","8","9","5.31","5.85","5","6"
"1984","(2c_voc) vocational maturity certificate","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1984","(2c_voc) vocational maturity certificate","Westdeutschland, alte Bundeslaender","6.68","7","454","3","5","9","10","6.44","6.92","7","7"
"1984","(3a) lower tertiary education","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1984","(3a) lower tertiary education","Westdeutschland, alte Bundeslaender","7.3","8","266","4","6","9","10","7.03","7.57","7","8"
"1984","(3b) higher tertiary education","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1984","(3b) higher tertiary education","Westdeutschland, alte Bundeslaender","7.31","8","524","4","5","9","10","7.11","7.51","8","8"
"1985","(0) in school","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1985","(0) in school","Westdeutschland, alte Bundeslaender","7.12","7","149","5","6","9","10","6.75","7.49","7","8"
"1985","(1a) inadequately completed","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1985","(1a) inadequately completed","Westdeutschland, alte Bundeslaender","5.75","6","901","2","4","8","10","5.58","5.92","6","7"
"1985","(1b) general elementary school","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1985","(1b) general elementary school","Westdeutschland, alte Bundeslaender","6.19","6","2579","3","5","8","10","6.09","6.29","6","7"
"1985","(1c) basic vocational qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1985","(1c) basic vocational qualification","Westdeutschland, alte Bundeslaender","6.42","7","3795","3","5","8","10","6.34","6.5","7","7"
