"year","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Rural Area","6.41","7","2225","3","5","8","10","10","6.31","6.51","0","10","7","7"
"1985","Urban Area","6.52","7","8644","3","5","8","10","10","6.47","6.57","0","10","7","7"
"1986","Rural Area","6.51","7","2151","3","5","8","10","10","6.41","6.61","0","10","7","7"
"1986","Urban Area","6.58","7","8354","3","5","8","10","10","6.53","6.63","0","10","7","7"
"1987","Rural Area","6.52","7","2127","3","5","8","9","10","6.42","6.62","0","10","7","7"
"1987","Urban Area","6.58","7","8270","3","5","8","10","10","6.53","6.63","0","10","7","7"
"1988","Rural Area","6.53","7","1995","3","5","8","9","10","6.43","6.63","0","10","7","7"
"1988","Urban Area","6.57","7","7910","3","5","8","9","10","6.52","6.62","0","10","7","7"
"1989","Rural Area","6.51","7","1901","3","5","8","9","10","6.41","6.61","0","10","7","7"
"1989","Urban Area","6.63","7","7698","4","5","8","9","10","6.58","6.68","0","10","7","7"
"1990","Rural Area","6.26","7","4667","3","5","8","9","10","6.19","6.33","0","10","6","6"
"1990","Urban Area","6.53","7","9056","3","5","8","9","10","6.48","6.58","0","10","7","7"
"1991","Rural Area","5.97","6","4593","2","5","8","9","10","5.9","6.04","0","10","6","6"
"1991","Urban Area","6.67","7","8848","4","5","8","9","10","6.62","6.72","0","10","7","7"
"1992","Rural Area","5.96","6","4389","3","5","8","9","10","5.89","6.03","0","10","6","6"
"1992","Urban Area","6.51","7","8744","3","5","8","9","10","6.46","6.56","0","10","7","7"
"1993","Rural Area","6.09","6","4265","3","5","8","9","10","6.02","6.16","0","10","6","6"
"1993","Urban Area","6.42","7","8565","3","5","8","9","10","6.37","6.47","0","10","7","7"
"1994","Rural Area","6.07","6","4188","3","5","8","9","10","6","6.14","0","10","6","6"
"1994","Urban Area","6.27","7","8444","3","5","8","9","10","6.22","6.32","0","10","6","7"
"1995","Rural Area","6.2","7","4361","3","5","8","9","10","6.13","6.27","0","10","6","6"
"1995","Urban Area","6.32","7","8696","3","5","8","9","10","6.27","6.37","0","10","6","7"
"1996","Rural Area","6.25","7","4329","3","5","8","9","10","6.18","6.32","0","10","6","7"
"1996","Urban Area","6.35","7","8527","3","5","8","9","10","6.3","6.4","0","10","7","7"
"1997","Rural Area","5.92","6","4242","3","5","8","9","10","5.85","5.99","0","10","6","6"
"1997","Urban Area","6.19","7","8374","3","5","8","9","10","6.14","6.24","0","10","6","6"
"1998","Rural Area","6.15","6.03","4732","3","5","8","9","10","6.08","6.22","0","10","6","6"
"1998","Urban Area","6.25","7","9232","3","5","8","9","10","6.2","6.3","0","10","6","7"
"1999","Rural Area","6.22","7","4589","3","5","8","9","10","6.15","6.29","0","10","6","6"
"1999","Urban Area","6.33","7","8864","3","5","8","9","10","6.28","6.38","0","10","7","7"
"2000","Rural Area","6.35","7","8123","3","5","8","9","10","6.3","6.4","0","10","7","7"
"2000","Urban Area","6.52","7","15641","3","5","8","9","10","6.48","6.56","0","10","7","7"
"2001","Rural Area","6.4","7","7364","3","5","8","9","10","6.35","6.45","0","10","7","7"
"2001","Urban Area","6.61","7","14326","3","5","8","9","10","6.57","6.65","0","10","7","7"
"2002","Rural Area","6.14","7","7496","3","5","8","9","10","6.09","6.19","0","10","7","7"
"2002","Urban Area","6.35","7","15227","3","5","8","9","10","6.32","6.38","0","10","7","7"
"2003","Rural Area","6.01","6","7187","3","5","8","9","10","5.96","6.06","0","10","6","7"
"2003","Urban Area","6.26","7","14737","3","5","8","9","10","6.22","6.3","0","10","7","7"
"2004","Rural Area","5.92","6","7008","3","5","8","9","10","5.86","5.98","0","10","6","6"
"2004","Urban Area","6.07","6","14237","3","5","8","9","10","6.03","6.11","0","10","7","7"
"2005","Rural Area","5.89","6","6748","2","4","8","9","10","5.83","5.95","0","10","6","6"
"2005","Urban Area","6.11","6","13674","3","5","8","9","10","6.07","6.15","0","10","7","7"
"2006","Rural Area","5.87","6","7278","2","4","8","9","10","5.82","5.92","0","10","6","6"
