"year","age_gr","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2004","16-34 y.","Female","4.96","5","2715","1","3","7","8","4.86","5.06","5","5"
"2004","16-34 y.","Male","5.17","5","2591","1","3","7","8","5.07","5.27","5","6"
"2004","35-65 y.","Female","5.21","5","5917","1","3","7","8","5.14","5.28","6","6"
"2004","35-65 y.","Male","5.76","6","5959","2","4","8","9","5.7","5.82","7","7"
"2004","66 and older","Female","5.77","6","2023","2","4","8","9","5.66","5.88","6","6"
"2004","66 and older","Male","6.55","7","1720","4","5","8","9","6.45","6.65","7","7"
"2005","16-34 y.","Female","4.95","5","2557","1","3","7","8","4.84","5.06","5","5"
"2005","16-34 y.","Male","5.03","5","2447","1","3","7","8","4.92","5.14","5","6"
"2005","35-65 y.","Female","5.19","5","5693","1","3","7","8","5.12","5.26","6","6"
"2005","35-65 y.","Male","5.77","6","5613","2","4","8","9","5.7","5.84","6","7"
"2005","66 and older","Female","5.89","6","2014","2","4","8","9","5.78","6","6","6"
"2005","66 and older","Male","6.67","7","1735","4","5","8","9","6.57","6.77","7","7"
"2006","16-34 y.","Female","4.96","5","2553","1","3","7","8","4.85","5.07","5","5"
"2006","16-34 y.","Male","5.28","5","2358","1","3","7","8","5.17","5.39","5","6"
"2006","35-65 y.","Female","5.22","5","6137","1","3","7","9","5.15","5.29","6","6"
"2006","35-65 y.","Male","5.73","6","5952","2","4","8","9","5.67","5.79","6","7"
"2006","66 and older","Female","5.73","6","2324","2","4","8","9","5.63","5.83","5","6"
"2006","66 and older","Male","6.44","7","2081","3","5","8","9","6.35","6.53","7","7"
"2007","16-34 y.","Female","4.97","5","2332","1","3","7","8","4.86","5.08","5","5"
"2007","16-34 y.","Male","5.45","6","2151","1","3","8","9","5.34","5.56","6","6"
"2007","35-65 y.","Female","5.11","5","5720","1","3","7","8","5.04","5.18","5","6"
"2007","35-65 y.","Male","5.7","6","5493","2","4","8","8","5.64","5.76","6","7"
"2007","66 and older","Female","5.64","6","2292","2","4","8","9","5.54","5.74","5","6"
"2007","66 and older","Male","6.41","7","2039","3","5","8","9","6.32","6.5","7","7"
"2008","16-34 y.","Female","5.1","5","2147","1","3","7","8","4.99","5.21","5","6"
"2008","16-34 y.","Male","5.39","6","2002","1","4","7","8","5.28","5.5","6","6"
"2008","35-65 y.","Female","5.27","5","5342","1","3","7","8","5.2","5.34","6","6"
"2008","35-65 y.","Male","5.79","6","5098","2","4","8","8","5.72","5.86","6","7"
"2008","66 and older","Female","5.77","6","2257","2","4","8","9","5.67","5.87","6","6"
"2008","66 and older","Male","6.33","7","2040","3","5","8","9","6.24","6.42","7","7"
"2009","16-34 y.","Female","5.26","6","1988","1","3","7","9","5.14","5.38","5","6"
"2009","16-34 y.","Male","5.36","6","1863","1","3","7","9","5.24","5.48","6","6"
"2009","35-65 y.","Female","5.3","6","4997","1","3","7","8","5.23","5.37","6","6"
"2009","35-65 y.","Male","5.85","6","4709","2","4","8","9","5.78","5.92","7","7"
"2009","66 and older","Female","5.82","6","2182","2","4","8","9","5.71","5.93","6","6"
"2009","66 and older","Male","6.39","7","1986","3","5","8","9","6.29","6.49","7","7"
"2010","16-34 y.","Female","5.44","6","3651","2","3","8","9","5.35","5.53","5","5"
"2010","16-34 y.","Male","5.53","6","2699","1","4","8","9","5.43","5.63","6","6"
"2010","35-65 y.","Female","5.43","6","6932","1","3","8","9","5.36","5.5","6","6"
"2010","35-65 y.","Male","5.91","6","6205","2","4","8","9","5.85","5.97","7","7"
"2010","66 and older","Female","5.93","6","2094","2","4","8","9","5.82","6.04","6","6"
"2010","66 and older","Male","6.56","7","1928","3","5","8","9","6.47","6.65","7","7"
"2011","16-34 y.","Female","5.59","6","3383","2","4","8","9","5.5","5.68","5","6"
"2011","16-34 y.","Male","5.86","6","2581","2","4","8","9","5.76","5.96","6","6"
"2011","35-65 y.","Female","5.68","6","7749","2","4","8","9","5.62","5.74","6","6"
"2011","35-65 y.","Male","6.15","7","6812","2","5","8","9","6.09","6.21","7","7"
"2011","66 and older","Female","5.91","6","2308","2","4","8","9","5.81","6.01","6","6"
"2011","66 and older","Male","6.56","7","2156","3","5","8","9","6.47","6.65","7","7"
"2012","16-34 y.","Female","5.69","6","3179","2","4","8","9","5.59","5.79","6","6"
"2012","16-34 y.","Male","5.95","7","2544","2","4","8","9","5.85","6.05","6","7"
"2012","35-65 y.","Female","5.83","6","8077","2","4","8","9","5.77","5.89","6","6"
"2012","35-65 y.","Male","6.21","7","6939","3","5","8","9","6.15","6.27","7","7"
"2012","66 and older","Female","5.99","6","2503","2","4","8","9","5.89","6.09","6","6"
"2012","66 and older","Male","6.69","7","2386","4","5","8","9","6.6","6.78","7","7"
"2013","16-34 y.","Female","5.72","6","2941","2","4","8","9","5.62","5.82","6","6"
"2013","16-34 y.","Male","5.92","6","2361","2","4","8","9","5.81","6.03","6","7"
"2013","35-65 y.","Female","5.94","6","7905","2","4","8","9","5.88","6","6","6"
"2013","35-65 y.","Male","6.37","7","6678","3","5","8","9","6.31","6.43","7","7"
"2013","66 and older","Female","6.16","7","2540","2","4","8","9","6.06","6.26","7","7"
"2013","66 and older","Male","6.83","7","2403","4","5","8","9","6.75","6.91","7","7"
"2014","16-34 y.","Female","5.66","6","3294","2","4","8","9","5.57","5.75","6","6"
"2014","16-34 y.","Male","6.01","7","2807","2","5","8","9","5.91","6.11","6","7"
"2014","35-65 y.","Female","5.94","6","8162","2","4","8","9","5.88","6","6","6"
"2014","35-65 y.","Male","6.35","7","7025","3","5","8","9","6.29","6.41","7","7"
"2014","66 and older","Female","6.24","7","2516","3","5","8","9","6.14","6.34","6","7"
"2014","66 and older","Male","6.82","7","2435","4","5","8","9","6.74","6.9","7","8"
"2015","16-34 y.","Female","5.87","6","3312","2","4","8","9","5.78","5.96","6","6"
"2015","16-34 y.","Male","6.03","7","2886","2","5","8","9","5.93","6.13","7","7"
"2015","35-65 y.","Female","6.08","7","8005","2","5","8","9","6.02","6.14","6","7"
"2015","35-65 y.","Male","6.41","7","6866","3","5","8","9","6.35","6.47","7","7"
"2015","66 and older","Female","6.54","7","2517","3","5","8","9","6.45","6.63","7","7"
"2015","66 and older","Male","6.93","7","2412","4","6","8","10","6.85","7.01","7","8"
"2016","16-34 y.","Female","5.93","6","2842","2","4","8","9","5.83","6.03","6","6"
"2016","16-34 y.","Male","6.16","7","2693","2","5","8","9","6.06","6.26","7","7"
"2016","35-65 y.","Female","6.21","7","7493","2","5","8","9","6.15","6.27","7","7"
"2016","35-65 y.","Male","6.52","7","6349","3","5","8","9","6.46","6.58","7","7"
"2016","66 and older","Female","6.57","7","2411","3","5","8","10","6.48","6.66","7","7"
"2016","66 and older","Male","7.04","8","2320","4","6","8","10","6.96","7.12","7","8"
"2017","16-34 y.","Female","6.12","7","3503","2","5","8","9","6.03","6.21","6","7"
"2017","16-34 y.","Male","6.12","7","3783","2","5","8","9","6.04","6.2","6","7"
"2017","35-65 y.","Female","6.27","7","8662","3","5","8","9","6.22","6.32","7","7"
"2017","35-65 y.","Male","6.55","7","7749","3","5","8","9","6.5","6.6","7","7"
"2017","66 and older","Female","6.5","7","2531","3","5","8","10","6.41","6.59","7","7"
"2017","66 and older","Male","6.98","7","2467","4","6","8","10","6.9","7.06","7","8"
"2018","16-34 y.","Female","5.9","6","3712","2","4","8","9","5.81","5.99","6","6"
"2018","16-34 y.","Male","6.18","7","4002","3","5","8","9","6.1","6.26","6","6"
"2018","35-65 y.","Female","6.19","7","8555","3","5","8","9","6.14","6.24","6","7"
"2018","35-65 y.","Male","6.61","7","7629","3","5","8","9","6.56","6.66","7","7"
"2018","66 and older","Female","6.5","7","2582","3","5","8","10","6.41","6.59","7","7"
"2018","66 and older","Male","6.93","7","2472","4","6","8","10","6.85","7.01","7","8"
"2019","16-34 y.","Female","6.26","7","3331","3","5","8","9","6.17","6.35","6","7"
"2019","16-34 y.","Male","6.49","7","3534","3","5","8","9","6.41","6.57","7","7"
"2019","35-65 y.","Female","6.39","7","8521","3","5","8","9","6.34","6.44","7","7"
"2019","35-65 y.","Male","6.78","7","8205","4","6","8","9","6.73","6.83","7","7"
"2019","66 and older","Female","6.72","7","2575","3","5","8","10","6.63","6.81","7","7"
"2019","66 and older","Male","7.05","8","2653","4","6","8","10","6.97","7.13","8","8"
