"year","e11102","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2004","Employed","(Married) couple without C.","6.01","7","3699","3","5","8","9","10","5.93","6.09","0","10","7","7"
"2004","Employed","1-pers.-HH","5.79","6","1460","2","4","8","9","10","5.67","5.91","0","10","6","6"
"2004","Employed","Couple + C. GT 16 ","5.81","6","2683","3","4","8","8","10","5.72","5.9","0","10","6","6"
"2004","Employed","Couple + C. LE 16","5.84","6","3266","3","4","8","8","10","5.76","5.92","0","10","6","7"
"2004","Employed","Couple + C. LE and GT 16","5.6","6","1232","2","4","8","9","10","5.46","5.74","0","10","6","6"
"2004","Employed","Single parent","4.82","5","696","1","3","7","8","10","4.63","5.01","0","10","5","5"
"2004","Not Employed","(Married) couple without C.","5.59","6","3405","2","4","8","9","10","5.5","5.68","0","10","6","6"
"2004","Not Employed","1-pers.-HH","5.63","6","1454","2","4","8","9","10","5.49","5.77","0","10","6","6"
"2004","Not Employed","Couple + C. GT 16 ","4.25","4","1022","0","2","7","8","10","4.07","4.43","0","10","4","5"
"2004","Not Employed","Couple + C. LE 16","3.48","3","617","0","1","5","8","10","3.25","3.71","0","10","3","4"
"2004","Not Employed","Couple + C. LE and GT 16","3.49","3","430","0","1","5","8","10","3.21","3.77","0","10","3","4"
"2004","Not Employed","Single parent","3.93","4","370","0","2","6","7","10","3.64","4.22","0","10","3","5"
"2005","Employed","(Married) couple without C.","6.06","7","3517","3","5","8","9","10","5.98","6.14","0","10","7","7"
"2005","Employed","1-pers.-HH","5.73","6","1527","2","4","8","9","10","5.61","5.85","0","10","6","6"
"2005","Employed","Couple + C. GT 16 ","5.7","6","2541","2","4","8","9","10","5.61","5.79","0","10","6","6"
"2005","Employed","Couple + C. LE 16","5.86","6","3011","3","4","8","9","10","5.77","5.95","0","10","6","7"
"2005","Employed","Couple + C. LE and GT 16","5.42","6","1147","2","3","8","8","10","5.28","5.56","0","10","6","6"
"2005","Employed","Single parent","4.7","5","710","1","3","7","8","10","4.51","4.89","0","10","5","5"
"2005","Not Employed","(Married) couple without C.","5.68","6","3383","2","4","8","9","10","5.59","5.77","0","10","6","6"
"2005","Not Employed","1-pers.-HH","5.77","6","1428","2","4","8","9","10","5.63","5.91","0","10","6","6"
"2005","Not Employed","Couple + C. GT 16 ","4.14","4","931","0","1","7","8","10","3.94","4.34","0","10","4","5"
"2005","Not Employed","Couple + C. LE 16","3.06","2","541","0","0","5","7","9","2.82","3.3","0","10","2","3"
"2005","Not Employed","Couple + C. LE and GT 16","3.64","3","424","0","1","6","8","10","3.34","3.94","0","10","3","4"
"2005","Not Employed","Single parent","3.83","4","358","0","2","6","8","10","3.55","4.11","0","10","3","4"
"2006","Employed","(Married) couple without C.","6.01","6","3857","2","5","8","9","10","5.94","6.08","0","10","7","7"
"2006","Employed","1-pers.-HH","5.73","6","1653","2","4","8","9","10","5.61","5.85","0","10","6","6"
"2006","Employed","Couple + C. GT 16 ","5.71","6","2599","2","4","8","9","10","5.62","5.8","0","10","6","6"
"2006","Employed","Couple + C. LE 16","5.84","6","3132","2","4","8","9","10","5.76","5.92","0","10","6","7"
"2006","Employed","Couple + C. LE and GT 16","5.57","6","1066","2","4","7","8","10","5.43","5.71","0","10","6","6"
"2006","Employed","Single parent","4.9","5","760","1","3","7","8","10","4.72","5.08","0","10","5","5"
"2006","Not Employed","(Married) couple without C.","5.57","6","3847","2","4","8","9","10","5.49","5.65","0","10","6","6"
"2006","Not Employed","1-pers.-HH","5.64","6","1681","2","4","8","9","10","5.51","5.77","0","10","6","6"
"2006","Not Employed","Couple + C. GT 16 ","4","4","924","0","1","7","8","10","3.8","4.2","0","10","4","5"
"2006","Not Employed","Couple + C. LE 16","3.54","3","620","0","0","5","8","10","3.3","3.78","0","10","3","3"
"2006","Not Employed","Couple + C. LE and GT 16","4.08","4","348","0","2","6","8","10","3.75","4.41","0","10","4","5"
