"year","education","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2004","college entrance qualification","Female","5.88","6","2408","2","4","8","9","10","5.77","5.99","0","10","6","7"
"2004","college entrance qualification","Male","6.36","7","2834","2","5","8","9","10","6.27","6.45","0","10","7","7"
"2004","lower secondary degree","Female","5.23","5","3695","1","3","7","8","10","5.15","5.31","0","10","5","5"
"2004","lower secondary degree","Male","5.71","6","3667","2","4","8","8","10","5.63","5.79","0","10","6","6"
"2004","no degree/no degree yet","Female","4.66","5","387","0","2","7","9","10","4.36","4.96","0","10","4","5"
"2004","no degree/no degree yet","Male","4.24","5","362","0","2","6","8","10","3.95","4.53","0","10","5","5"
"2004","Other degree","Female","4.72","5","560","0","3","7","8","10","4.49","4.95","0","10","5","5"
"2004","Other degree","Male","5.18","5","572","2","3","7","8","10","4.97","5.39","0","10","5","6"
"2004","secondary school degree","Female","5.22","5","3452","1","3","7","8","10","5.13","5.31","0","10","5","6"
"2004","secondary school degree","Male","5.71","6","2677","2","4","8","8","10","5.62","5.8","0","10","6","6"
"2005","college entrance qualification","Female","5.86","6","2368","2","4","8","9","10","5.75","5.97","0","10","6","7"
"2005","college entrance qualification","Male","6.38","7","2698","3","5","8","9","10","6.29","6.47","0","10","7","7"
"2005","lower secondary degree","Female","5.3","5","3472","2","4","7","9","10","5.21","5.39","0","10","5","5"
"2005","lower secondary degree","Male","5.67","6","3450","2","4","8","9","10","5.59","5.75","0","10","6","6"
"2005","no degree/no degree yet","Female","4.41","5","385","0","2","7","8","10","4.09","4.73","0","10","4","5"
"2005","no degree/no degree yet","Male","4.47","5","351","0","2","6","8","10","4.16","4.78","0","10","4","5"
"2005","Other degree","Female","4.58","5","542","0","3","7","8","10","4.34","4.82","0","10","5","5"
"2005","Other degree","Male","5.01","5","537","1","3","7","8","10","4.79","5.23","0","10","5","6"
"2005","secondary school degree","Female","5.28","5","3320","1","3","7","9","10","5.19","5.37","0","10","5","6"
"2005","secondary school degree","Male","5.77","6","2568","2","4","8","9","10","5.67","5.87","0","10","6","6"
"2006","college entrance qualification","Female","5.82","6","2591","2","4","8","9","10","5.72","5.92","0","10","6","7"
"2006","college entrance qualification","Male","6.37","7","2901","3","5","8","9","10","6.28","6.46","0","10","7","7"
"2006","lower secondary degree","Female","5.25","5","3742","2","3","7","9","10","5.17","5.33","0","10","5","5"
"2006","lower secondary degree","Male","5.66","6","3698","2","4","8","8","10","5.58","5.74","0","10","6","6"
"2006","no degree/no degree yet","Female","4.29","5","295","0","2","6","8","10","3.94","4.64","0","10","4","5"
"2006","no degree/no degree yet","Male","4.73","5","269","0","3","7","9","10","4.37","5.09","0","10","5","6"
"2006","Other degree","Female","4.75","5","590","0","3","7","8","10","4.52","4.98","0","10","5","5"
"2006","Other degree","Male","4.96","5","556","1","3","7","8","10","4.75","5.17","0","10","5","6"
"2006","secondary school degree","Female","5.31","5","3584","1","3","8","9","10","5.22","5.4","0","10","5","6"
"2006","secondary school degree","Male","5.76","6","2740","2","4","8","9","10","5.67","5.85","0","10","6","6"
"2007","college entrance qualification","Female","5.86","6","2542","2","4","8","9","10","5.76","5.96","0","10","6","7"
"2007","college entrance qualification","Male","6.49","7","2790","3","5","8","9","10","6.4","6.58","0","10","7","7"
"2007","lower secondary degree","Female","5.08","5","3407","1","3","7","8","10","4.99","5.17","0","10","5","5"
"2007","lower secondary degree","Male","5.64","6","3391","2","4","8","8","10","5.56","5.72","0","10","6","6"
"2007","no degree/no degree yet","Female","3.91","4","254","0","1","6","8","10","3.54","4.28","0","10","4","5"
"2007","no degree/no degree yet","Male","4.92","5","215","1","3","7","8","10","4.5","5.34","0","10","5","6"
"2007","Other degree","Female","4.38","5","537","0","2","6","8","10","4.15","4.61","0","10","5","5"
"2007","Other degree","Male","4.67","5","499","1","3","7","8","10","4.45","4.89","0","10","5","5"
"2007","secondary school degree","Female","5.31","6","3381","1","3","8","9","10","5.22","5.4","0","10","5","6"
"2007","secondary school degree","Male","5.8","6","2558","2","4","8","9","10","5.71","5.89","0","10","6","6"
"2008","college entrance qualification","Female","5.99","6","2405","2","5","8","9","10","5.89","6.09","0","10","6","7"
"2008","college entrance qualification","Male","6.45","7","2646","3","5","8","9","10","6.36","6.54","0","10","7","7"
"2008","lower secondary degree","Female","5.24","5","3189","2","3","7","8","10","5.15","5.33","0","10","5","5"
"2008","lower secondary degree","Male","5.64","6","3165","2","4","7","8","10","5.56","5.72","0","10","6","6"
"2008","no degree/no degree yet","Female","4.55","5","228","1","3","7","8","10","4.18","4.92","0","10","4","5"
"2008","no degree/no degree yet","Male","4.9","5","215","1","3","7","8","10","4.51","5.29","0","10","5","6"
"2008","Other degree","Female","4.69","5","481","1","3","7","8","10","4.44","4.94","0","10","5","5"
"2008","Other degree","Male","5","5","439","2","3","7","8","10","4.77","5.23","0","10","5","6"
"2008","secondary school degree","Female","5.35","6","3207","1","3","7","8","10","5.26","5.44","0","10","6","6"
"2008","secondary school degree","Male","5.81","6","2436","2","4","8","8","10","5.71","5.91","0","10","6","7"
"2009","college entrance qualification","Female","6.14","7","2310","2","5","8","9","10","6.04","6.24","0","10","7","7"
"2009","college entrance qualification","Male","6.39","7","2511","3","5","8","9","10","6.3","6.48","0","10","7","7"
"2009","lower secondary degree","Female","5.32","5","2948","2","3","7","8","10","5.23","5.41","0","10","5","5"
"2009","lower secondary degree","Male","5.67","6","2915","2","4","8","8","10","5.58","5.76","0","10","6","6"
"2009","no degree/no degree yet","Female","3.97","4","204","0","2","6","8","10","3.55","4.39","0","10","3","5"
"2009","no degree/no degree yet","Male","4.75","5","217","0","2","7","9","10","4.34","5.16","0","10","5","6"
"2009","Other degree","Female","4.6","5","426","0","3","7","8","10","4.34","4.86","0","10","5","5"
"2009","Other degree","Male","5","5","373","1","3","7","8","10","4.75","5.25","0","10","5","6"
"2009","secondary school degree","Female","5.4","6","3046","2","4","8","8","10","5.31","5.49","0","10","6","6"
"2009","secondary school degree","Male","5.93","6","2288","2","5","8","9","10","5.83","6.03","0","10","6","7"
"2010","college entrance qualification","Female","6.27","7","3446","2","5","8","9","10","6.18","6.36","0","10","7","7"
"2010","college entrance qualification","Male","6.54","7","3249","3","5","8","9","10","6.46","6.62","0","10","7","7"
"2010","lower secondary degree","Female","5.4","5","3404","2","4","8","8","10","5.31","5.49","0","10","5","5"
"2010","lower secondary degree","Male","5.76","6","3338","2","4","8","8","10","5.68","5.84","0","10","6","6"
"2010","no degree/no degree yet","Female","4.67","5","349","0","2","7","9","10","4.34","5","0","10","3","5"
"2010","no degree/no degree yet","Male","5.04","5","341","0","3","7","9","10","4.71","5.37","0","10","5","6"
"2010","Other degree","Female","4.45","5","832","0","2","7","8","10","4.25","4.65","0","10","4","5"
"2010","Other degree","Male","5.15","5","719","2","3","7","8","10","4.97","5.33","0","10","5","6"
"2010","secondary school degree","Female","5.64","6","4395","2","4","8","9","10","5.56","5.72","0","10","5","6"
"2010","secondary school degree","Male","6","7","2939","2","4","8","9","10","5.91","6.09","0","10","6","7"
"2011","college entrance qualification","Female","6.32","7","3703","3","5","8","9","10","6.24","6.4","0","10","7","7"
"2011","college entrance qualification","Male","6.78","7","3453","3","5","8","9","10","6.7","6.86","0","10","7","8"
"2011","lower secondary degree","Female","5.51","6","3594","2","4","8","9","10","5.42","5.6","0","10","5","5"
"2011","lower secondary degree","Male","5.94","6","3502","2","5","8","9","10","5.86","6.02","0","10","6","6"
"2011","no degree/no degree yet","Female","4.75","5","348","1","2","7","9","10","4.43","5.07","0","10","5","5"
"2011","no degree/no degree yet","Male","5.5","5","339","1","4","8","9","10","5.19","5.81","0","10","5","6"
"2011","Other degree","Female","5.16","5","814","1","3","7","9","10","4.96","5.36","0","10","5","5"
"2011","Other degree","Male","5.63","6","727","2","4","8","9","10","5.45","5.81","0","10","5","6"
"2011","secondary school degree","Female","5.74","6","4656","2","4","8","9","10","5.66","5.82","0","10","6","6"
"2011","secondary school degree","Male","6.12","7","3090","3","5","8","9","10","6.04","6.2","0","10","7","7"
"2012","college entrance qualification","Female","6.5","7","3779","3","5","8","9","10","6.42","6.58","0","10","7","7"
"2012","college entrance qualification","Male","6.81","7","3545","3","6","8","9","10","6.74","6.88","0","10","8","8"
"2012","lower secondary degree","Female","5.57","6","3683","2","4","8","9","10","5.48","5.66","0","10","5","6"
"2012","lower secondary degree","Male","6.03","6","3648","3","5","8","9","10","5.95","6.11","0","10","6","7"
"2012","no degree/no degree yet","Female","4.86","5","361","0","2","7","8","10","4.55","5.17","0","10","5","5"
"2012","no degree/no degree yet","Male","5.68","6","333","1","4","8","9","10","5.36","6","0","10","5","6"
"2012","Other degree","Female","5.54","6","895","1","4","8","9","10","5.36","5.72","0","10","5","6"
"2012","Other degree","Male","5.91","6","772","3","4","8","9","10","5.74","6.08","0","10","6","6"
"2012","secondary school degree","Female","5.83","6","4734","2","4","8","9","10","5.75","5.91","0","10","6","6"
"2012","secondary school degree","Male","6.21","7","3237","3","5","8","9","10","6.13","6.29","0","10","7","7"
"2013","college entrance qualification","Female","6.54","7","3734","3","5","8","9","10","6.46","6.62","0","10","7","7"
"2013","college entrance qualification","Male","6.92","7","3495","4","6","8","9","10","6.85","6.99","0","10","8","8"
"2013","lower secondary degree","Female","5.73","6","3526","2","4","8","9","10","5.64","5.82","0","10","6","6"
"2013","lower secondary degree","Male","6.09","7","3457","2","5","8","9","10","6.01","6.17","0","10","6","7"
"2013","no degree/no degree yet","Female","5.05","5","352","1","2","8","9","10","4.73","5.37","0","10","5","5"
"2013","no degree/no degree yet","Male","5.61","6","321","1","4","8","9","10","5.29","5.93","0","10","5","6"
"2013","Other degree","Female","5.41","5","839","2","4","8","9","10","5.22","5.6","0","10","5","6"
"2013","Other degree","Male","6.12","6","705","3","5","8","9","10","5.94","6.3","0","10","6","7"
"2013","secondary school degree","Female","5.95","6","4597","2","4","8","9","10","5.88","6.02","0","10","6","6"
"2013","secondary school degree","Male","6.37","7","3106","3","5","8","9","10","6.29","6.45","0","10","7","7"
"2014","college entrance qualification","Female","6.58","7","3735","3","5","8","10","10","6.5","6.66","0","10","7","7"
"2014","college entrance qualification","Male","6.94","7","3544","4","6","8","9","10","6.87","7.01","0","10","8","8"
"2014","lower secondary degree","Female","5.73","6","3388","2","4","8","9","10","5.64","5.82","0","10","6","6"
"2014","lower secondary degree","Male","6.15","7","3373","3","5","8","9","10","6.07","6.23","0","10","7","7"
"2014","no degree/no degree yet","Female","4.68","5","424","0","2","7","9","10","4.39","4.97","0","10","5","5"
"2014","no degree/no degree yet","Male","4.86","5","383","0","2","8","9","10","4.56","5.16","0","10","5","6"
"2014","Other degree","Female","5.43","6","1658","1","4","8","9","10","5.3","5.56","0","10","5","6"
"2014","Other degree","Male","5.85","6","1487","2","4","8","9","10","5.73","5.97","0","10","6","6"
"2014","secondary school degree","Female","5.97","6","4334","2","5","8","9","10","5.89","6.05","0","10","6","6"
"2014","secondary school degree","Male","6.37","7","3045","3","5","8","9","10","6.29","6.45","0","10","7","7"
"2015","college entrance qualification","Female","6.76","7","3622","3","5","9","10","10","6.68","6.84","0","10","7","7"
"2015","college entrance qualification","Male","7","7.32","3413","4","6","9","9","10","6.93","7.07","0","10","8","8"
"2015","lower secondary degree","Female","6.02","7","3114","2","4","8","9","10","5.93","6.11","0","10","6","6"
"2015","lower secondary degree","Male","6.17","7","3139","3","5","8","9","10","6.09","6.25","0","10","7","7"
"2015","no degree/no degree yet","Female","4.5","5","432","0","2","7","8","10","4.21","4.79","0","10","5","5"
"2015","no degree/no degree yet","Male","5.19","5","379","1","3","8","8","10","4.9","5.48","0","10","5","6"
"2015","Other degree","Female","5.76","6","2082","2","4","8","9","10","5.64","5.88","0","10","6","6"
"2015","Other degree","Male","5.97","6","1895","3","5","8","9","10","5.86","6.08","0","10","6","7"
"2015","secondary school degree","Female","6.12","7","4124","3","5","8","9","10","6.04","6.2","0","10","6","7"
"2015","secondary school degree","Male","6.51","7","2909","3","5","8","9","10","6.43","6.59","0","10","7","7"
"2016","college entrance qualification","Female","6.84","7","3465","3","5","9","10","10","6.76","6.92","0","10","7","7"
"2016","college entrance qualification","Male","7.04","8","3213","4","6","9","9","10","6.97","7.11","0","10","8","8"
"2016","lower secondary degree","Female","6.08","6","2872","2","5","8","9","10","5.99","6.17","0","10","6","6"
"2016","lower secondary degree","Male","6.36","7","2886","3","5","8","9","10","6.27","6.45","0","10","7","7"
"2016","no degree/no degree yet","Female","4.85","5","392","0","3","7","8","10","4.55","5.15","0","10","5","5"
"2016","no degree/no degree yet","Male","5.72","6","418","3","4","7","9","10","5.45","5.99","0","10","5","6"
"2016","Other degree","Female","5.72","6","1745","2","4","8","9","10","5.59","5.85","0","10","6","6"
"2016","Other degree","Male","6.02","7","1721","2","4","8","9","10","5.9","6.14","0","10","6","7"
"2016","secondary school degree","Female","6.21","7","3834","3","5","8","9","10","6.13","6.29","0","10","7","7"
"2016","secondary school degree","Male","6.6","7","2677","3","5","8","9","10","6.52","6.68","0","10","7","7"
"2017","college entrance qualification","Female","6.92","7","3996","4","6","8","10","10","6.85","6.99","0","10","7","7"
"2017","college entrance qualification","Male","6.99","8","3775","4","6","9","10","10","6.92","7.06","0","10","8","8"
