"year","pgcasmin","pgisced97","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2004","(0) in school","general elemantary","","","","","","","","",""
"2004","(0) in school","higher education","","","","","","","","",""
"2004","(0) in school","higher vocational","","","","","","","","",""
"2004","(0) in school","in school","4.49","5","494","4.22","4.76","0","2","7","8"
"2004","(0) in school","inadequately","","","","","","","","",""
"2004","(0) in school","middle vocational","","","","","","","","",""
"2004","(0) in school","vocational + Abi","","","","","","","","",""
"2004","(1a) inadequately completed","general elemantary","","","","","","","","",""
"2004","(1a) inadequately completed","higher education","","","","","","","","",""
"2004","(1a) inadequately completed","higher vocational","","","","","","","","",""
"2004","(1a) inadequately completed","in school","","","","","","","","",""
"2004","(1a) inadequately completed","inadequately","4.2","4","200","3.83","4.57","0","2","6","8"
"2004","(1a) inadequately completed","middle vocational","4.83","5","47","4.08","5.58","2","3","6","8"
"2004","(1a) inadequately completed","vocational + Abi","","","","","","","","",""
"2004","(1b) general elementary school","general elemantary","4.93","5","1890","4.81","5.05","1","3","7","8"
"2004","(1b) general elementary school","higher education","","","","","","","","",""
"2004","(1b) general elementary school","higher vocational","","","","","","","","",""
"2004","(1b) general elementary school","in school","","","","","","","","",""
"2004","(1b) general elementary school","inadequately","3.98","3","33","2.84","5.12","0","2","7","9"
"2004","(1b) general elementary school","middle vocational","","","","","","","","",""
"2004","(1b) general elementary school","vocational + Abi","","","","","","","","",""
"2004","(1c) basic vocational qualification","general elemantary","","","","","","","","",""
"2004","(1c) basic vocational qualification","higher education","","","","","","","","",""
"2004","(1c) basic vocational qualification","higher vocational","5.85","6","490","5.64","6.06","3","4","8","8"
"2004","(1c) basic vocational qualification","in school","","","","","","","","",""
"2004","(1c) basic vocational qualification","inadequately","","","","","","","","",""
"2004","(1c) basic vocational qualification","middle vocational","5.57","6","5444","5.5","5.64","2","4","7","8"
"2004","(1c) basic vocational qualification","vocational + Abi","","","","","","","","",""
"2004","(2a) intermediate vocational","general elemantary","","","","","","","","",""
"2004","(2a) intermediate vocational","higher education","","","","","","","","",""
"2004","(2a) intermediate vocational","higher vocational","5.75","6","720","5.57","5.93","2","4","8","8"
"2004","(2a) intermediate vocational","in school","","","","","","","","",""
"2004","(2a) intermediate vocational","inadequately","","","","","","","","",""
"2004","(2a) intermediate vocational","middle vocational","5.44","6","4164","5.36","5.52","2","4","7","8"
"2004","(2a) intermediate vocational","vocational + Abi","","","","","","","","",""
"2004","(2b) intermediate general qualification","general elemantary","4.86","5","580","4.64","5.08","1","3","7","8"
"2004","(2b) intermediate general qualification","higher education","","","","","","","","",""
"2004","(2b) intermediate general qualification","higher vocational","","","","","","","","",""
"2004","(2b) intermediate general qualification","in school","","","","","","","","",""
"2004","(2b) intermediate general qualification","inadequately","","","","","","","","",""
"2004","(2b) intermediate general qualification","middle vocational","","","","","","","","",""
"2004","(2b) intermediate general qualification","vocational + Abi","","","","","","","","",""
"2004","(2c_gen) general maturity certificate","general elemantary","","","","","","","","",""
"2004","(2c_gen) general maturity certificate","higher education","","","","","","","","",""
"2004","(2c_gen) general maturity certificate","higher vocational","","","","","","","","",""
"2004","(2c_gen) general maturity certificate","in school","","","","","","","","",""
"2004","(2c_gen) general maturity certificate","inadequately","","","","","","","","",""
"2004","(2c_gen) general maturity certificate","middle vocational","5.04","5","797","4.85","5.23","1","3","7","9"
"2004","(2c_gen) general maturity certificate","vocational + Abi","","","","","","","","",""
"2004","(2c_voc) vocational maturity certificate","general elemantary","","","","","","","","",""
"2004","(2c_voc) vocational maturity certificate","higher education","","","","","","","","",""
"2004","(2c_voc) vocational maturity certificate","higher vocational","6.11","7","396","5.87","6.35","3","4","8","9"
"2004","(2c_voc) vocational maturity certificate","in school","","","","","","","","",""
"2004","(2c_voc) vocational maturity certificate","inadequately","","","","","","","","",""
"2004","(2c_voc) vocational maturity certificate","middle vocational","","","","","","","","",""
"2004","(2c_voc) vocational maturity certificate","vocational + Abi","5.63","6","1125","5.48","5.78","2","4","8","9"
"2004","(3a) lower tertiary education","general elemantary","","","","","","","","",""
"2004","(3a) lower tertiary education","higher education","6.07","7","1690","5.95","6.19","2","5","8","9"
"2004","(3a) lower tertiary education","higher vocational","","","","","","","","",""
"2004","(3a) lower tertiary education","in school","","","","","","","","",""
"2004","(3a) lower tertiary education","inadequately","","","","","","","","",""
"2004","(3a) lower tertiary education","middle vocational","","","","","","","","",""
"2004","(3a) lower tertiary education","vocational + Abi","","","","","","","","",""
"2004","(3b) higher tertiary education","general elemantary","","","","","","","","",""
"2004","(3b) higher tertiary education","higher education","6.46","7","2548","6.37","6.55","3","5","8","9"
"2004","(3b) higher tertiary education","higher vocational","","","","","","","","",""
"2004","(3b) higher tertiary education","in school","","","","","","","","",""
"2004","(3b) higher tertiary education","inadequately","","","","","","","","",""
"2004","(3b) higher tertiary education","middle vocational","","","","","","","","",""
"2004","(3b) higher tertiary education","vocational + Abi","","","","","","","","",""
"2005","(0) in school","general elemantary","","","","","","","","",""
"2005","(0) in school","higher education","","","","","","","","",""
"2005","(0) in school","higher vocational","","","","","","","","",""
"2005","(0) in school","in school","4.52","5","499","4.23","4.81","0","2","7","9"
"2005","(0) in school","inadequately","","","","","","","","",""
"2005","(0) in school","middle vocational","","","","","","","","",""
"2005","(0) in school","vocational + Abi","","","","","","","","",""
"2005","(1a) inadequately completed","general elemantary","","","","","","","","",""
"2005","(1a) inadequately completed","higher education","","","","","","","","",""
"2005","(1a) inadequately completed","higher vocational","","","","","","","","",""
"2005","(1a) inadequately completed","in school","","","","","","","","",""
"2005","(1a) inadequately completed","inadequately","4.23","4.56","189","3.85","4.61","0","3","6","7"
"2005","(1a) inadequately completed","middle vocational","4.62","5","39","3.71","5.53","1","2","7","8"
"2005","(1a) inadequately completed","vocational + Abi","","","","","","","","",""
"2005","(1b) general elementary school","general elemantary","4.77","5","1757","4.64","4.9","1","3","7","8"
"2005","(1b) general elementary school","higher education","","","","","","","","",""
"2005","(1b) general elementary school","higher vocational","","","","","","","","",""
"2005","(1b) general elementary school","in school","","","","","","","","",""
"2005","(1b) general elementary school","inadequately","3.05","3","34","1.92","4.18","0","0","4","8"
"2005","(1b) general elementary school","middle vocational","","","","","","","","",""
"2005","(1b) general elementary school","vocational + Abi","","","","","","","","",""
"2005","(1c) basic vocational qualification","general elemantary","","","","","","","","",""
"2005","(1c) basic vocational qualification","higher education","","","","","","","","",""
"2005","(1c) basic vocational qualification","higher vocational","6.03","6","467","5.81","6.25","2","5","8","10"
"2005","(1c) basic vocational qualification","in school","","","","","","","","",""
"2005","(1c) basic vocational qualification","inadequately","","","","","","","","",""
"2005","(1c) basic vocational qualification","middle vocational","5.59","6","5134","5.52","5.66","2","4","8","9"
"2005","(1c) basic vocational qualification","vocational + Abi","","","","","","","","",""
"2005","(2a) intermediate vocational","general elemantary","","","","","","","","",""
"2005","(2a) intermediate vocational","higher education","","","","","","","","",""
"2005","(2a) intermediate vocational","higher vocational","5.86","6","690","5.68","6.04","2","4","8","9"
"2005","(2a) intermediate vocational","in school","","","","","","","","",""
"2005","(2a) intermediate vocational","inadequately","","","","","","","","",""
"2005","(2a) intermediate vocational","middle vocational","5.49","6","4013","5.41","5.57","2","4","8","8"
"2005","(2a) intermediate vocational","vocational + Abi","","","","","","","","",""
"2005","(2b) intermediate general qualification","general elemantary","4.94","5","548","4.72","5.16","1","3","7","8"
"2005","(2b) intermediate general qualification","higher education","","","","","","","","",""
"2005","(2b) intermediate general qualification","higher vocational","","","","","","","","",""
"2005","(2b) intermediate general qualification","in school","","","","","","","","",""
"2005","(2b) intermediate general qualification","inadequately","","","","","","","","",""
"2005","(2b) intermediate general qualification","middle vocational","","","","","","","","",""
"2005","(2b) intermediate general qualification","vocational + Abi","","","","","","","","",""
"2005","(2c_gen) general maturity certificate","general elemantary","","","","","","","","",""
"2005","(2c_gen) general maturity certificate","higher education","","","","","","","","",""
"2005","(2c_gen) general maturity certificate","higher vocational","","","","","","","","",""
"2005","(2c_gen) general maturity certificate","in school","","","","","","","","",""
"2005","(2c_gen) general maturity certificate","inadequately","","","","","","","","",""
"2005","(2c_gen) general maturity certificate","middle vocational","5.09","5","735","4.89","5.29","1","3","7","8"
"2005","(2c_gen) general maturity certificate","vocational + Abi","","","","","","","","",""
"2005","(2c_voc) vocational maturity certificate","general elemantary","","","","","","","","",""
"2005","(2c_voc) vocational maturity certificate","higher education","","","","","","","","",""
"2005","(2c_voc) vocational maturity certificate","higher vocational","5.92","6","376","5.67","6.17","2","4","8","9"
"2005","(2c_voc) vocational maturity certificate","in school","","","","","","","","",""
"2005","(2c_voc) vocational maturity certificate","inadequately","","","","","","","","",""
"2005","(2c_voc) vocational maturity certificate","middle vocational","","","","","","","","",""
"2005","(2c_voc) vocational maturity certificate","vocational + Abi","5.52","6","1106","5.37","5.67","2","4","7","9"
"2005","(3a) lower tertiary education","general elemantary","","","","","","","","",""
"2005","(3a) lower tertiary education","higher education","6.23","7","1634","6.11","6.35","3","5","8","9"
"2005","(3a) lower tertiary education","higher vocational","","","","","","","","",""
"2005","(3a) lower tertiary education","in school","","","","","","","","",""
"2005","(3a) lower tertiary education","inadequately","","","","","","","","",""
"2005","(3a) lower tertiary education","middle vocational","","","","","","","","",""
"2005","(3a) lower tertiary education","vocational + Abi","","","","","","","","",""
"2005","(3b) higher tertiary education","general elemantary","","","","","","","","",""
"2005","(3b) higher tertiary education","higher education","6.47","7","2476","6.37","6.57","3","5","8","9"
"2005","(3b) higher tertiary education","higher vocational","","","","","","","","",""
"2005","(3b) higher tertiary education","in school","","","","","","","","",""
"2005","(3b) higher tertiary education","inadequately","","","","","","","","",""
"2005","(3b) higher tertiary education","middle vocational","","","","","","","","",""
"2005","(3b) higher tertiary education","vocational + Abi","","","","","","","","",""
"2006","(0) in school","general elemantary","","","","","","","","",""
"2006","(0) in school","higher education","","","","","","","","",""
"2006","(0) in school","higher vocational","","","","","","","","",""
"2006","(0) in school","in school","4.83","5","321","4.48","5.18","0","3","7","9"
"2006","(0) in school","inadequately","","","","","","","","",""
"2006","(0) in school","middle vocational","","","","","","","","",""
"2006","(0) in school","vocational + Abi","","","","","","","","",""
"2006","(1a) inadequately completed","general elemantary","","","","","","","","",""
"2006","(1a) inadequately completed","higher education","","","","","","","","",""
"2006","(1a) inadequately completed","higher vocational","","","","","","","","",""
"2006","(1a) inadequately completed","in school","","","","","","","","",""
"2006","(1a) inadequately completed","inadequately","3.97","4","178","3.58","4.36","0","2","6","8"
"2006","(1a) inadequately completed","middle vocational","5.05","5","45","4.19","5.91","0","3","8","9"
"2006","(1a) inadequately completed","vocational + Abi","","","","","","","","",""
"2006","(1b) general elementary school","general elemantary","4.85","5","1831","4.73","4.97","1","3","7","8"
"2006","(1b) general elementary school","higher education","","","","","","","","",""
"2006","(1b) general elementary school","higher vocational","","","","","","","","",""
"2006","(1b) general elementary school","in school","","","","","","","","",""
"2006","(1b) general elementary school","inadequately","4.43","4","43","3.51","5.35","0","2","7","10"
"2006","(1b) general elementary school","middle vocational","","","","","","","","",""
"2006","(1b) general elementary school","vocational + Abi","","","","","","","","",""
"2006","(1c) basic vocational qualification","general elemantary","","","","","","","","",""
"2006","(1c) basic vocational qualification","higher education","","","","","","","","",""
"2006","(1c) basic vocational qualification","higher vocational","5.98","6","492","5.78","6.18","3","4","8","9"
"2006","(1c) basic vocational qualification","in school","","","","","","","","",""
"2006","(1c) basic vocational qualification","inadequately","","","","","","","","",""
"2006","(1c) basic vocational qualification","middle vocational","5.54","6","5557","5.47","5.61","2","4","8","8"
"2006","(1c) basic vocational qualification","vocational + Abi","","","","","","","","",""
"2006","(2a) intermediate vocational","general elemantary","","","","","","","","",""
"2006","(2a) intermediate vocational","higher education","","","","","","","","",""
"2006","(2a) intermediate vocational","higher vocational","5.63","6","718","5.45","5.81","2","4","8","8"
"2006","(2a) intermediate vocational","in school","","","","","","","","",""
"2006","(2a) intermediate vocational","inadequately","","","","","","","","",""
"2006","(2a) intermediate vocational","middle vocational","5.51","6","4329","5.43","5.59","2","4","8","9"
"2006","(2a) intermediate vocational","vocational + Abi","","","","","","","","",""
"2006","(2b) intermediate general qualification","general elemantary","5.01","5","564","4.77","5.25","1","3","7","9"
"2006","(2b) intermediate general qualification","higher education","","","","","","","","",""
"2006","(2b) intermediate general qualification","higher vocational","","","","","","","","",""
"2006","(2b) intermediate general qualification","in school","","","","","","","","",""
"2006","(2b) intermediate general qualification","inadequately","","","","","","","","",""
"2006","(2b) intermediate general qualification","middle vocational","","","","","","","","",""
"2006","(2b) intermediate general qualification","vocational + Abi","","","","","","","","",""
"2006","(2c_gen) general maturity certificate","general elemantary","","","","","","","","",""
"2006","(2c_gen) general maturity certificate","higher education","","","","","","","","",""
"2006","(2c_gen) general maturity certificate","higher vocational","","","","","","","","",""
"2006","(2c_gen) general maturity certificate","in school","","","","","","","","",""
"2006","(2c_gen) general maturity certificate","inadequately","","","","","","","","",""
"2006","(2c_gen) general maturity certificate","middle vocational","5.26","5","776","5.06","5.46","1","3","7","9"
"2006","(2c_gen) general maturity certificate","vocational + Abi","","","","","","","","",""
"2006","(2c_voc) vocational maturity certificate","general elemantary","","","","","","","","",""
"2006","(2c_voc) vocational maturity certificate","higher education","","","","","","","","",""
"2006","(2c_voc) vocational maturity certificate","higher vocational","5.88","6","412","5.64","6.12","2","5","8","9"
"2006","(2c_voc) vocational maturity certificate","in school","","","","","","","","",""
"2006","(2c_voc) vocational maturity certificate","inadequately","","","","","","","","",""
"2006","(2c_voc) vocational maturity certificate","middle vocational","","","","","","","","",""
"2006","(2c_voc) vocational maturity certificate","vocational + Abi","5.52","6","1182","5.37","5.67","2","4","7","8"
"2006","(3a) lower tertiary education","general elemantary","","","","","","","","",""
"2006","(3a) lower tertiary education","higher education","6.16","7","1779","6.05","6.27","2","5","8","9"
"2006","(3a) lower tertiary education","higher vocational","","","","","","","","",""
"2006","(3a) lower tertiary education","in school","","","","","","","","",""
"2006","(3a) lower tertiary education","inadequately","","","","","","","","",""
"2006","(3a) lower tertiary education","middle vocational","","","","","","","","",""
"2006","(3a) lower tertiary education","vocational + Abi","","","","","","","","",""
"2006","(3b) higher tertiary education","general elemantary","","","","","","","","",""
"2006","(3b) higher tertiary education","higher education","6.37","7","2746","6.28","6.46","2","5","8","9"
"2006","(3b) higher tertiary education","higher vocational","","","","","","","","",""
"2006","(3b) higher tertiary education","in school","","","","","","","","",""
"2006","(3b) higher tertiary education","inadequately","","","","","","","","",""
"2006","(3b) higher tertiary education","middle vocational","","","","","","","","",""
"2006","(3b) higher tertiary education","vocational + Abi","","","","","","","","",""
"2007","(0) in school","general elemantary","","","","","","","","",""
"2007","(0) in school","higher education","","","","","","","","",""
"2007","(0) in school","higher vocational","","","","","","","","",""
"2007","(0) in school","in school","4.55","5","262","4.15","4.95","0","1","7","8"
"2007","(0) in school","inadequately","","","","","","","","",""
"2007","(0) in school","middle vocational","","","","","","","","",""
"2007","(0) in school","vocational + Abi","","","","","","","","",""
"2007","(1a) inadequately completed","general elemantary","","","","","","","","",""
"2007","(1a) inadequately completed","higher education","","","","","","","","",""
"2007","(1a) inadequately completed","higher vocational","","","","","","","","",""
"2007","(1a) inadequately completed","in school","","","","","","","","",""
"2007","(1a) inadequately completed","inadequately","4.08","4","164","3.66","4.5","0","2","6","8"
"2007","(1a) inadequately completed","middle vocational","4.81","4.85","37","3.9","5.72","1","2","7","8"
"2007","(1a) inadequately completed","vocational + Abi","","","","","","","","",""
"2007","(1b) general elementary school","general elemantary","4.64","5","1641","4.51","4.77","1","3","7","8"
"2007","(1b) general elementary school","higher education","","","","","","","","",""
"2007","(1b) general elementary school","higher vocational","","","","","","","","",""
"2007","(1b) general elementary school","in school","","","","","","","","",""
"2007","(1b) general elementary school","inadequately","4.04","4","42","3.18","4.9","0","1","6","8"
"2007","(1b) general elementary school","middle vocational","","","","","","","","",""
"2007","(1b) general elementary school","vocational + Abi","","","","","","","","",""
"2007","(1c) basic vocational qualification","general elemantary","","","","","","","","",""
"2007","(1c) basic vocational qualification","higher education","","","","","","","","",""
"2007","(1c) basic vocational qualification","higher vocational","5.9","6","451","5.69","6.11","2","4","8","9"
"2007","(1c) basic vocational qualification","in school","","","","","","","","",""
"2007","(1c) basic vocational qualification","inadequately","","","","","","","","",""
"2007","(1c) basic vocational qualification","middle vocational","5.42","6","5074","5.35","5.49","2","4","7","8"
"2007","(1c) basic vocational qualification","vocational + Abi","","","","","","","","",""
"2007","(2a) intermediate vocational","general elemantary","","","","","","","","",""
"2007","(2a) intermediate vocational","higher education","","","","","","","","",""
"2007","(2a) intermediate vocational","higher vocational","5.7","6","671","5.52","5.88","2","4","8","8"
"2007","(2a) intermediate vocational","in school","","","","","","","","",""
"2007","(2a) intermediate vocational","inadequately","","","","","","","","",""
"2007","(2a) intermediate vocational","middle vocational","5.52","6","4122","5.44","5.6","2","4","8","9"
"2007","(2a) intermediate vocational","vocational + Abi","","","","","","","","",""
"2007","(2b) intermediate general qualification","general elemantary","4.9","5","497","4.65","5.15","1","3","7","8"
"2007","(2b) intermediate general qualification","higher education","","","","","","","","",""
"2007","(2b) intermediate general qualification","higher vocational","","","","","","","","",""
"2007","(2b) intermediate general qualification","in school","","","","","","","","",""
"2007","(2b) intermediate general qualification","inadequately","","","","","","","","",""
"2007","(2b) intermediate general qualification","middle vocational","","","","","","","","",""
