"year","pgcasmin","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"1984","(0) in school","7.99","9","180","7.67","8.31","5","7","10","10"
"1984","(1a) inadequately completed","6.41","7","1115","6.23","6.59","2","4","9","10"
"1984","(1b) general elementary school","7.95","9","2998","7.86","8.04","5","7","10","10"
"1984","(1c) basic vocational qualification","8.02","8","4250","7.95","8.09","5","7","10","10"
"1984","(2a) intermediate vocational","8.08","9","1401","7.96","8.2","5","7","10","10"
"1984","(2b) intermediate general qualification","7.85","9","463","7.63","8.07","4","7","10","10"
"1984","(2c_gen) general maturity certificate","6.86","8","409","6.58","7.14","3","5","9","10"
"1984","(2c_voc) vocational maturity certificate","7.79","8","456","7.55","8.03","4","7","10","10"
"1984","(3a) lower tertiary education","8.26","9","266","8.01","8.51","5","7","10","10"
"1984","(3b) higher tertiary education","7.8","8","526","7.59","8.01","4","7","10","10"
"1985","(0) in school","8.24","9","179","7.92","8.56","5","7","10","10"
"1985","(1a) inadequately completed","6.73","7","909","6.55","6.91","3","5","9","10"
"1985","(1b) general elementary school","7.86","8","2602","7.76","7.96","5","7","10","10"
"1985","(1c) basic vocational qualification","7.93","8","3808","7.86","8","5","7","10","10"
"1985","(2a) intermediate vocational","7.91","8","1339","7.8","8.02","5","7","10","10"
"1985","(2b) intermediate general qualification","7.84","8","459","7.63","8.05","5","7","10","10"
"1985","(2c_gen) general maturity certificate","7.22","8","373","6.96","7.48","4","6","9","10"
"1985","(2c_voc) vocational maturity certificate","7.53","8","411","7.28","7.78","4","6","10","10"
"1985","(3a) lower tertiary education","8.06","8","248","7.8","8.32","5","7","10","10"
"1985","(3b) higher tertiary education","7.79","8","507","7.6","7.98","5","7","9","10"
"1986","(0) in school","8.02","8","187","7.7","8.34","5","7","10","10"
"1986","(1a) inadequately completed","6.72","7","848","6.54","6.9","3","5","9","10"
"1986","(1b) general elementary school","7.84","8","2466","7.75","7.93","5","7","10","10"
"1986","(1c) basic vocational qualification","7.89","8","3620","7.82","7.96","5","7","10","10"
"1986","(2a) intermediate vocational","7.8","8","1303","7.69","7.91","5","7","10","10"
"1986","(2b) intermediate general qualification","7.74","8","462","7.54","7.94","5","7","10","10"
"1986","(2c_gen) general maturity certificate","7.18","8","402","6.94","7.42","4","6","9","10"
"1986","(2c_voc) vocational maturity certificate","7.47","8","412","7.23","7.71","5","6","9","10"
"1986","(3a) lower tertiary education","8.05","8","246","7.8","8.3","5","7","10","10"
"1986","(3b) higher tertiary education","7.56","8","503","7.37","7.75","5","7","9","10"
"1987","(0) in school","7.85","8","155","7.57","8.13","5","7","9","10"
"1987","(1a) inadequately completed","7.71","8","68","7.17","8.25","5","6","10","10"
"1987","(1b) general elementary school","8.02","8","1610","7.91","8.13","5","7","10","10"
"1987","(1c) basic vocational qualification","7.96","8","3090","7.89","8.03","5","7","10","10"
"1987","(2a) intermediate vocational","7.83","8","1294","7.72","7.94","5","7","10","10"
"1987","(2b) intermediate general qualification","7.86","8","380","7.66","8.06","5","7","10","10"
"1987","(2c_gen) general maturity certificate","7.35","8","275","7.09","7.61","4","6","9","10"
"1987","(2c_voc) vocational maturity certificate","7.55","8","307","7.3","7.8","4","7","9","10"
"1987","(3a) lower tertiary education","7.95","8","243","7.69","8.21","5","7","10","10"
"1987","(3b) higher tertiary education","7.82","8","446","7.63","8.01","5","7","9","10"
"1988","(0) in school","8.01","8","160","7.71","8.31","5","7","9","10"
"1988","(1a) inadequately completed","6.77","7","752","6.58","6.96","3","5","9","10"
"1988","(1b) general elementary school","7.75","8","2332","7.65","7.85","5","7","10","10"
"1988","(1c) basic vocational qualification","7.85","8","3425","7.78","7.92","5","7","10","10"
"1988","(2a) intermediate vocational","7.69","8","1269","7.58","7.8","5","7","9","10"
"1988","(2b) intermediate general qualification","7.83","8","422","7.63","8.03","5","7","9","10"
"1988","(2c_gen) general maturity certificate","7.19","8","348","6.95","7.43","4","6","9","10"
"1988","(2c_voc) vocational maturity certificate","7.54","8","391","7.32","7.76","5","7","9","10"
"1988","(3a) lower tertiary education","7.88","8","233","7.62","8.14","5","7","9","10"
"1988","(3b) higher tertiary education","7.73","8","468","7.54","7.92","5","7","9","10"
"1989","(0) in school","8.19","9","171","7.85","8.53","5","7","10","10"
"1989","(1a) inadequately completed","6.74","7","712","6.55","6.93","3","5","8","10"
"1989","(1b) general elementary school","7.67","8","2208","7.57","7.77","5","7","9","10"
"1989","(1c) basic vocational qualification","7.83","8","3289","7.76","7.9","5","7","10","10"
"1989","(2a) intermediate vocational","7.78","8","1258","7.67","7.89","5","7","9","10"
"1989","(2b) intermediate general qualification","7.64","8","388","7.42","7.86","5","7","9","10"
"1989","(2c_gen) general maturity certificate","7.33","8","349","7.11","7.55","5","6","9","10"
"1989","(2c_voc) vocational maturity certificate","7.48","8","402","7.25","7.71","5","7","9","10"
"1989","(3a) lower tertiary education","7.92","8","232","7.65","8.19","5","7","9","10"
"1989","(3b) higher tertiary education","7.56","8","466","7.37","7.75","4","7","9","10"
"1990","(0) in school","8.06","8.22","157","7.67","8.45","6","7","10","10"
"1990","(1a) inadequately completed","6.98","7.69","729","6.8","7.16","3","5","9","10"
"1990","(1b) general elementary school","7.57","8","2471","7.47","7.67","5","6","10","10"
"1990","(1c) basic vocational qualification","7.71","8","4568","7.64","7.78","5","7","10","10"
"1990","(2a) intermediate vocational","7.27","8","2644","7.17","7.37","4","6","9","10"
"1990","(2b) intermediate general qualification","7.37","8","534","7.15","7.59","4","6","9","10"
"1990","(2c_gen) general maturity certificate","6.91","7","386","6.68","7.14","4","6","8","9"
"1990","(2c_voc) vocational maturity certificate","7.34","8","497","7.14","7.54","5","6","9","10"
"1990","(3a) lower tertiary education","7.48","8","892","7.32","7.64","4","6","9","10"
"1990","(3b) higher tertiary education","7.42","8","803","7.26","7.58","4","6","9","10"
"1991","(0) in school","7.96","8","151","7.58","8.34","5","7","10","10"
"1991","(1a) inadequately completed","6.91","7","727","6.73","7.09","4","6","8","10"
"1991","(1b) general elementary school","7.76","8","2366","7.66","7.86","5","7","10","10"
"1991","(1c) basic vocational qualification","7.78","8","4427","7.72","7.84","5","7","9","10"
"1991","(2a) intermediate vocational","7.36","8","2615","7.27","7.45","4","6","9","10"
"1991","(2b) intermediate general qualification","7.32","8","528","7.11","7.53","4","6","9","10"
"1991","(2c_gen) general maturity certificate","6.73","7","388","6.49","6.97","3","5","8","10"
"1991","(2c_voc) vocational maturity certificate","7.31","8","505","7.11","7.51","4","6","9","10"
"1991","(3a) lower tertiary education","7.41","8","888","7.26","7.56","4","7","9","10"
"1991","(3b) higher tertiary education","7.2","8","794","7.04","7.36","4","6","9","10"
"1992","(0) in school","8.04","9","141","7.69","8.39","5","7","10","10"
"1992","(1a) inadequately completed","6.71","7","715","6.53","6.89","3","5","8","10"
"1992","(1b) general elementary school","7.65","8","2272","7.55","7.75","5","7","9","10"
"1992","(1c) basic vocational qualification","7.66","8","4282","7.59","7.73","5","7","9","10"
"1992","(2a) intermediate vocational","7.27","8","2556","7.18","7.36","4","6","9","10"
"1992","(2b) intermediate general qualification","7.35","8","533","7.15","7.55","4","6","9","10"
"1992","(2c_gen) general maturity certificate","7.14","7.97","381","6.89","7.39","4","6","9","10"
"1992","(2c_voc) vocational maturity certificate","7.31","8","522","7.12","7.5","4","6","9","10"
"1992","(3a) lower tertiary education","7.11","8","866","6.96","7.26","4","6","9","10"
"1992","(3b) higher tertiary education","7.13","8","787","6.97","7.29","4","6","9","10"
"1993","(0) in school","8.07","8","123","7.66","8.48","5","7","10","10"
"1993","(1a) inadequately completed","6.8","7","710","6.61","6.99","3","5","9","10"
"1993","(1b) general elementary school","7.72","8","2193","7.62","7.82","5","7","10","10"
"1993","(1c) basic vocational qualification","7.7","8","4167","7.63","7.77","5","7","9","10"
"1993","(2a) intermediate vocational","7.35","8","2580","7.26","7.44","4","6","9","10"
"1993","(2b) intermediate general qualification","7.25","8","513","7.02","7.48","4","6","9","10"
"1993","(2c_gen) general maturity certificate","7.19","7","399","6.96","7.42","4","6","9","10"
"1993","(2c_voc) vocational maturity certificate","7.46","8","515","7.27","7.65","5","6","9","10"
"1993","(3a) lower tertiary education","7.16","8","847","7.01","7.31","4","6","9","10"
"1993","(3b) higher tertiary education","7.14","8","788","6.97","7.31","4","6","9","10"
"1994","(0) in school","7.92","8","192","7.62","8.22","5","7","9","10"
"1994","(1a) inadequately completed","6.72","7","635","6.53","6.91","3","5","8","10"
"1994","(1b) general elementary school","7.69","8","2053","7.59","7.79","5","7","10","10"
"1994","(1c) basic vocational qualification","7.68","8","4063","7.61","7.75","5","7","9","10"
"1994","(2a) intermediate vocational","7.42","8","2580","7.33","7.51","5","6","9","10"
"1994","(2b) intermediate general qualification","7.41","8","461","7.19","7.63","4","6","9","10"
"1994","(2c_gen) general maturity certificate","7.25","7.47","405","7.03","7.47","5","6","9","10"
"1994","(2c_voc) vocational maturity certificate","7.52","8","522","7.34","7.7","5","6","9","10"
"1994","(3a) lower tertiary education","7.43","8","852","7.28","7.58","4","6","9","10"
"1994","(3b) higher tertiary education","7.26","8","803","7.1","7.42","4","6","9","10"
"1995","(0) in school","7.71","8","245","7.45","7.97","5","7","9","10"
"1995","(1a) inadequately completed","6.72","7","604","6.53","6.91","3","5","8","10"
"1995","(1b) general elementary school","7.57","8","2045","7.47","7.67","5","6","9","10"
"1995","(1c) basic vocational qualification","7.61","8","4085","7.54","7.68","5","7","9","10"
"1995","(2a) intermediate vocational","7.4","8","2624","7.32","7.48","5","6","9","10"
"1995","(2b) intermediate general qualification","7.48","8","463","7.26","7.7","4","6","9","10"
"1995","(2c_gen) general maturity certificate","7.14","8","464","6.93","7.35","4","5","9","10"
"1995","(2c_voc) vocational maturity certificate","7.27","8","603","7.09","7.45","4","6","9","10"
"1995","(3a) lower tertiary education","7.41","8","865","7.27","7.55","5","6","9","10"
"1995","(3b) higher tertiary education","7.36","8","894","7.21","7.51","4","6","9","10"
"1996","(0) in school","7.64","8","273","7.37","7.91","5","7","9","10"
