"year","sampreg","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"1984","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"1984","Westdeutschland, alte Bundeslaender","Female","7.96","9","6194","5","7","10","10","7.9","8.02","8","8"
"1984","Westdeutschland, alte Bundeslaender","Male","7.86","8","5959","5","7","10","10","7.8","7.92","8","8"
"1985","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"1985","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"1985","Westdeutschland, alte Bundeslaender","Female","7.88","8","5572","5","7","10","10","7.82","7.94","8","8"
"1985","Westdeutschland, alte Bundeslaender","Male","7.8","8","5404","5","7","10","10","7.74","7.86","8","8"
"1986","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"1986","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"1986","Westdeutschland, alte Bundeslaender","Female","7.81","8","5340","5","7","10","10","7.75","7.87","8","8"
"1986","Westdeutschland, alte Bundeslaender","Male","7.73","8","5245","5","7","10","10","7.67","7.79","8","8"
"1987","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"1987","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"1987","Westdeutschland, alte Bundeslaender","Female","7.94","8","4133","5","7","10","10","7.88","8","8","8"
"1987","Westdeutschland, alte Bundeslaender","Male","7.85","8","3809","5","7","9","10","7.79","7.91","8","8"
"1988","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"1988","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"1988","Westdeutschland, alte Bundeslaender","Female","7.77","8","5046","5","7","10","10","7.71","7.83","8","8"
"1988","Westdeutschland, alte Bundeslaender","Male","7.7","8","4932","5","7","9","10","7.64","7.76","8","8"
"1989","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"1989","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"1989","Westdeutschland, alte Bundeslaender","Female","7.74","8","4891","5","7","9","10","7.68","7.8","8","8"
"1989","Westdeutschland, alte Bundeslaender","Male","7.69","8","4761","5","7","9","10","7.63","7.75","8","8"
"1990","Ostdeutschland, neue Bundeslaender","Female","7.02","8","2318","3","5","10","10","6.91","7.13","8","8"
"1990","Ostdeutschland, neue Bundeslaender","Male","6.82","8","2094","2","5","9","10","6.7","6.94","7","8"
"1990","Westdeutschland, alte Bundeslaender","Female","7.71","8","4805","5","7","9","10","7.65","7.77","8","8"
"1990","Westdeutschland, alte Bundeslaender","Male","7.58","8","4670","5","7","9","10","7.52","7.64","8","8"
"1991","Ostdeutschland, neue Bundeslaender","Female","6.89","7.91","2174","3","5","9","10","6.78","7","7","8"
"1991","Ostdeutschland, neue Bundeslaender","Male","6.86","7","1974","3","5","9","10","6.75","6.97","7","8"
"1991","Westdeutschland, alte Bundeslaender","Female","7.79","8","4814","5","7","9","10","7.73","7.85","8","8"
"1991","Westdeutschland, alte Bundeslaender","Male","7.65","8","4659","5","7","9","10","7.59","7.71","8","8"
"1992","Ostdeutschland, neue Bundeslaender","Female","6.66","7","2084","3","5","8","10","6.56","6.76","7","7"
"1992","Ostdeutschland, neue Bundeslaender","Male","6.47","7","1874","3","5","8","9","6.37","6.57","7","7"
"1992","Westdeutschland, alte Bundeslaender","Female","7.71","8","4772","5","7","9","10","7.65","7.77","8","8"
"1992","Westdeutschland, alte Bundeslaender","Male","7.64","8","4571","5","7","9","10","7.58","7.7","8","8"
"1993","Ostdeutschland, neue Bundeslaender","Female","6.77","7","2004","3","5","8","10","6.66","6.88","7","7"
"1993","Ostdeutschland, neue Bundeslaender","Male","6.58","7","1812","3","5","8","10","6.47","6.69","7","7"
"1993","Westdeutschland, alte Bundeslaender","Female","7.8","8","4734","5","7","9","10","7.74","7.86","8","8"
"1993","Westdeutschland, alte Bundeslaender","Male","7.61","8","4544","5","7","9","10","7.55","7.67","8","8"
"1994","Ostdeutschland, neue Bundeslaender","Female","6.93","7","1978","4","5","9","10","6.83","7.03","7","7"
"1994","Ostdeutschland, neue Bundeslaender","Male","6.73","7","1786","3","5","8","10","6.62","6.84","7","7"
"1994","Westdeutschland, alte Bundeslaender","Female","7.75","8","4673","5","7","9","10","7.69","7.81","8","8"
"1994","Westdeutschland, alte Bundeslaender","Male","7.65","8","4424","5","7","9","10","7.59","7.71","8","8"
"1995","Ostdeutschland, neue Bundeslaender","Female","6.87","7","1929","3","5","9","10","6.77","6.97","7","7"
"1995","Ostdeutschland, neue Bundeslaender","Male","6.72","7","1726","3","5","8","10","6.61","6.83","7","7"
"1995","Westdeutschland, alte Bundeslaender","Female","7.67","8","4930","5","7","9","10","7.61","7.73","8","8"
"1995","Westdeutschland, alte Bundeslaender","Male","7.59","8","4647","5","7","9","10","7.53","7.65","8","8"
"1996","Ostdeutschland, neue Bundeslaender","Female","6.95","7","1926","4","5","9","10","6.85","7.05","7","8"
"1996","Ostdeutschland, neue Bundeslaender","Male","6.8","7","1744","3","5","8","10","6.69","6.91","7","7"
"1996","Westdeutschland, alte Bundeslaender","Female","7.75","8","4839","5","7","9","10","7.69","7.81","8","8"
"1996","Westdeutschland, alte Bundeslaender","Male","7.59","8","4532","5","7","9","10","7.53","7.65","8","8"
"1997","Ostdeutschland, neue Bundeslaender","Female","7","7","1886","4","5","9","10","6.9","7.1","7","8"
"1997","Ostdeutschland, neue Bundeslaender","Male","6.94","7","1732","4","5","8","9","6.84","7.04","7","8"
"1997","Westdeutschland, alte Bundeslaender","Female","7.68","8","4741","5","7","9","10","7.62","7.74","8","8"
"1997","Westdeutschland, alte Bundeslaender","Male","7.52","8","4444","5","7","9","10","7.46","7.58","8","8"
"1998","Ostdeutschland, neue Bundeslaender","Female","7.22","8","1987","4","6","9","10","7.13","7.31","8","8"
"1998","Ostdeutschland, neue Bundeslaender","Male","7.17","8","1849","5","6","9","10","7.08","7.26","8","8"
"1998","Westdeutschland, alte Bundeslaender","Female","7.71","8","5353","5","7","9","10","7.65","7.77","8","8"
"1998","Westdeutschland, alte Bundeslaender","Male","7.62","8","4999","5","7","9","10","7.56","7.68","8","8"
"1999","Ostdeutschland, neue Bundeslaender","Female","7.41","8","1958","5","6","9","10","7.32","7.5","8","8"
"1999","Ostdeutschland, neue Bundeslaender","Male","7.3","8","1804","5","6","9","10","7.21","7.39","8","8"
"1999","Westdeutschland, alte Bundeslaender","Female","7.78","8","5088","5","7","9","10","7.72","7.84","8","8"
"1999","Westdeutschland, alte Bundeslaender","Male","7.58","8","4800","5","7","9","10","7.52","7.64","8","8"
"2000","Ostdeutschland, neue Bundeslaender","Female","7.52","8","3039","5","7","9","10","7.45","7.59","8","8"
"2000","Ostdeutschland, neue Bundeslaender","Male","7.41","8","2781","5","6","9","10","7.34","7.48","8","8"
"2000","Westdeutschland, alte Bundeslaender","Female","7.86","8","9478","5","7","9","10","7.82","7.9","8","8"
"2000","Westdeutschland, alte Bundeslaender","Male","7.73","8","8797","5","7","9","10","7.69","7.77","8","8"
"2001","Ostdeutschland, neue Bundeslaender","Female","7.67","8","2816","5","7","9","10","7.6","7.74","8","8"
"2001","Ostdeutschland, neue Bundeslaender","Male","7.51","8","2611","5","7","9","10","7.44","7.58","8","8"
"2001","Westdeutschland, alte Bundeslaender","Female","7.86","8","8581","5","7","9","10","7.82","7.9","8","8"
"2001","Westdeutschland, alte Bundeslaender","Male","7.71","8","7900","5","7","9","10","7.67","7.75","8","8"
"2002","Ostdeutschland, neue Bundeslaender","Female","7.54","8","2794","5","7","9","10","7.47","7.61","8","8"
"2002","Ostdeutschland, neue Bundeslaender","Male","7.43","8","2619","5","6","9","10","7.36","7.5","8","8"
"2002","Westdeutschland, alte Bundeslaender","Female","7.75","8","9093","5","7","9","10","7.71","7.79","8","8"
"2002","Westdeutschland, alte Bundeslaender","Male","7.65","8","8488","5","7","9","10","7.61","7.69","8","8"
"2003","Ostdeutschland, neue Bundeslaender","Female","7.55","8","2765","5","7","9","10","7.48","7.62","8","8"
"2003","Ostdeutschland, neue Bundeslaender","Male","7.4","8","2576","5","6","9","10","7.33","7.47","8","8"
"2003","Westdeutschland, alte Bundeslaender","Female","7.75","8","8743","5","7","9","10","7.71","7.79","8","8"
"2003","Westdeutschland, alte Bundeslaender","Male","7.66","8","8098","5","7","9","10","7.62","7.7","8","8"
"2004","Ostdeutschland, neue Bundeslaender","Female","7.66","8","2708","5","7","9","10","7.59","7.73","8","8"
"2004","Ostdeutschland, neue Bundeslaender","Male","7.59","8","2495","5","7","9","10","7.52","7.66","8","8"
"2004","Westdeutschland, alte Bundeslaender","Female","7.83","8","8499","5","7","9","10","7.79","7.87","8","8"
"2004","Westdeutschland, alte Bundeslaender","Male","7.7","8","7872","5","7","9","10","7.66","7.74","8","8"
"2005","Ostdeutschland, neue Bundeslaender","Female","7.59","8","2609","5","7","9","10","7.52","7.66","8","8"
"2005","Ostdeutschland, neue Bundeslaender","Male","7.44","8","2416","5","6","9","10","7.37","7.51","8","8"
"2005","Westdeutschland, alte Bundeslaender","Female","7.79","8","8173","5","7","9","10","7.75","7.83","8","8"
"2005","Westdeutschland, alte Bundeslaender","Male","7.65","8","7478","5","7","9","10","7.61","7.69","8","8"
"2006","Ostdeutschland, neue Bundeslaender","Female","7.62","8","2745","5","7","9","10","7.55","7.69","8","8"
"2006","Ostdeutschland, neue Bundeslaender","Male","7.41","8","2523","5","6","9","10","7.34","7.48","8","8"
"2006","Westdeutschland, alte Bundeslaender","Female","7.74","8","8743","5","7","9","10","7.7","7.78","8","8"
"2006","Westdeutschland, alte Bundeslaender","Male","7.62","8","7942","5","7","9","10","7.58","7.66","8","8"
"2007","Ostdeutschland, neue Bundeslaender","Female","7.65","8","2601","5","7","9","10","7.58","7.72","8","8"
"2007","Ostdeutschland, neue Bundeslaender","Male","7.44","8","2398","5","7","9","10","7.37","7.51","8","8"
"2007","Westdeutschland, alte Bundeslaender","Female","7.73","8","8142","5","7","9","10","7.69","7.77","8","8"
"2007","Westdeutschland, alte Bundeslaender","Male","7.68","8","7361","5","7","9","10","7.64","7.72","8","8"
"2008","Ostdeutschland, neue Bundeslaender","Female","7.84","8","2472","5","7","9","10","7.77","7.91","8","8"
"2008","Ostdeutschland, neue Bundeslaender","Male","7.67","8","2297","5","7","9","10","7.6","7.74","8","8"
