"year","hgtyp1hh","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","(Married) couple without C.","Rural Area","7.63","8","493","5","6","10","10","10","7.43","7.83","0","10","8","8"
"1985","(Married) couple without C.","Urban Area","7.66","8","1916","5","6","10","10","10","7.56","7.76","0","10","8","8"
"1985","1-pers.-HH","Rural Area","8.32","9","176","5","8","10","10","10","8","8.64","0","10","8","9"
"1985","1-pers.-HH","Urban Area","7.63","8","998","4","6","10","10","10","7.48","7.78","0","10","8","8"
"1985","Couple + C. GT 16 ","Rural Area","7.18","8","385","4","6","9","10","10","6.93","7.43","0","10","7","8"
"1985","Couple + C. GT 16 ","Urban Area","7.26","8","1634","4","6","9","10","10","7.14","7.38","0","10","8","8"
"1985","Couple + C. LE 16","Rural Area","6.98","7","542","3","5","9","10","10","6.77","7.19","0","10","7","8"
"1985","Couple + C. LE 16","Urban Area","6.83","7","2128","3","5","9","10","10","6.72","6.94","0","10","7","7"
"1985","Couple + C. LE and GT 16","Rural Area","7.14","8","329","4","6","9","10","10","6.89","7.39","0","10","7","8"
"1985","Couple + C. LE and GT 16","Urban Area","7.02","8","1149","3","5","9","10","10","6.88","7.16","0","10","7","8"
"1985","Single parent","Rural Area","6.91","7","115","3","5","9","10","10","6.47","7.35","0","10","7","8"
"1985","Single parent","Urban Area","6.92","7","425","3","5","9","10","10","6.67","7.17","0","10","7","8"
"1986","(Married) couple without C.","Rural Area","7.56","8","438","5","6","10","10","10","7.36","7.76","0","10","8","8"
"1986","(Married) couple without C.","Urban Area","7.5","8","1934","4","6","10","10","10","7.4","7.6","0","10","8","8"
"1986","1-pers.-HH","Rural Area","8.19","8","167","5","7","10","10","10","7.88","8.5","1","10","8","9"
"1986","1-pers.-HH","Urban Area","7.7","8","950","5","7","10","10","10","7.55","7.85","0","10","8","8"
"1986","Couple + C. GT 16 ","Rural Area","6.98","7.68","423","3","5","9","10","10","6.75","7.21","0","10","7","8"
"1986","Couple + C. GT 16 ","Urban Area","7.1","8","1678","4","5","9","10","10","6.99","7.21","0","10","7","8"
"1986","Couple + C. LE 16","Rural Area","6.64","7","489","3","5","8","10","10","6.42","6.86","0","10","7","7"
"1986","Couple + C. LE 16","Urban Area","6.58","7","1912","3","5","8","10","10","6.47","6.69","0","10","7","7"
"1986","Couple + C. LE and GT 16","Rural Area","7.07","7","318","4","6","9","10","10","6.81","7.33","0","10","7","8"
"1986","Couple + C. LE and GT 16","Urban Area","6.88","7","1079","3","5","9","10","10","6.74","7.02","0","10","7","7"
"1986","Single parent","Rural Area","6.73","7","117","3","5","9","10","10","6.23","7.23","0","10","7","8"
"1986","Single parent","Urban Area","6.85","7","394","3","5","9","10","10","6.61","7.09","0","10","7","8"
"1987","(Married) couple without C.","Rural Area","7.67","8","458","5","6","10","10","10","7.47","7.87","0","10","8","8"
"1987","(Married) couple without C.","Urban Area","7.67","8","1891","5","6","10","10","10","7.57","7.77","0","10","8","8"
"1987","1-pers.-HH","Rural Area","8.09","8","167","5","7","10","10","10","7.76","8.42","0","10","8","9"
"1987","1-pers.-HH","Urban Area","7.61","8","948","4","7","10","10","10","7.46","7.76","0","10","8","8"
"1987","Couple + C. GT 16 ","Rural Area","7.14","8","446","4","6","9","10","10","6.92","7.36","0","10","7","8"
"1987","Couple + C. GT 16 ","Urban Area","7.15","8","1706","4","6","9","10","10","7.04","7.26","0","10","7","8"
"1987","Couple + C. LE 16","Rural Area","6.81","7","487","4","5","8","10","10","6.6","7.02","0","10","7","7"
"1987","Couple + C. LE 16","Urban Area","6.5","7","1868","3","5","8","10","10","6.39","6.61","0","10","7","7"
"1987","Couple + C. LE and GT 16","Rural Area","6.86","7","271","3","6","8","10","10","6.56","7.16","0","10","7","8"
"1987","Couple + C. LE and GT 16","Urban Area","6.89","7","978","3","5","9","10","10","6.74","7.04","0","10","7","8"
"1987","Single parent","Rural Area","7.21","8","122","4","5","9","10","10","6.8","7.62","2","10","7","8"
"1987","Single parent","Urban Area","7.07","8","399","4","5","9","10","10","6.84","7.3","0","10","7","8"
"1988","(Married) couple without C.","Rural Area","7.58","8","429","4","7","9","10","10","7.37","7.79","0","10","8","8"
"1988","(Married) couple without C.","Urban Area","7.41","8","1851","4","6","9","10","10","7.3","7.52","0","10","8","8"
