"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","direct migration background","7.33","8","3401","5","6","9","10","7.25","7.41","8","8"
"1984","indirect migration background","7.63","8","128","5","6","9","10","7.32","7.94","8","9"
"1984","no migration background","7.43","8","8649","5","6","9","10","7.39","7.47","8","8"
"1985","direct migration background","7.12","7","2934","5","6","9","10","7.04","7.2","7","8"
"1985","indirect migration background","7.56","8","143","5","7","9","10","7.24","7.88","8","8"
"1985","no migration background","7.24","8","7970","5","6","9","10","7.2","7.28","8","8"
"1986","direct migration background","7.19","8","2847","5","6","9","10","7.11","7.27","7","8"
"1986","indirect migration background","7.33","8","156","5","6","9","9","7.05","7.61","8","8"
"1986","no migration background","7.31","8","7605","5","6","9","10","7.27","7.35","8","8"
"1987","direct migration background","7.07","7","2837","5","6","8","10","7","7.14","7","8"
"1987","indirect migration background","7.24","8","176","5","6","9","10","6.96","7.52","8","8"
"1987","no migration background","7.1","7","7466","5","6","8","9","7.06","7.14","7","8"
"1988","direct migration background","7.05","7","2679","5","6","8","9","6.98","7.12","7","8"
"1988","indirect migration background","7.22","8","223","4","6","9","10","6.98","7.46","8","8"
"1988","no migration background","7","7","7077","4","6","8","9","6.95","7.05","7","8"
"1989","direct migration background","6.99","7","2602","5","6","8","10","6.92","7.06","7","7"
"1989","indirect migration background","7.48","8","260","5","7","9","9","7.27","7.69","8","8"
"1989","no migration background","7.06","8","6816","5","6","8","9","7.01","7.11","7","8"
"1990","direct migration background","7.07","7","2682","5","6","8","9","7","7.14","7","8"
"1990","indirect migration background","7.48","8","296","5","7","9","9","7.29","7.67","8","8"
"1990","no migration background","7.1","7","10923","5","6","8","9","7.06","7.14","7","7"
"1991","direct migration background","7.11","7","2633","5","6","8","10","7.04","7.18","7","8"
"1991","indirect migration background","7.38","8","349","5","6","9","10","7.21","7.55","8","8"
"1991","no migration background","7.05","7","10552","5","6","8","9","7.01","7.09","7","7"
"1992","direct migration background","7.02","7","2558","5","6","8","9","6.95","7.09","7","7"
"1992","indirect migration background","7.36","8","406","5","6","9","9","7.2","7.52","8","8"
"1992","no migration background","6.99","7","10337","5","6","8","9","6.95","7.03","7","7"
"1993","direct migration background","6.88","7","2487","4","5","8","9","6.8","6.96","7","7"
"1993","indirect migration background","7.32","8","474","5","6","9","10","7.16","7.48","8","8"
"1993","no migration background","6.96","7","10151","5","6","8","9","6.92","7","7","7"
"1994","direct migration background","6.79","7","2367","4","5","8","9","6.71","6.87","7","7"
"1994","indirect migration background","7.14","8","491","5","6","8","9","6.98","7.3","8","8"
"1994","no migration background","6.89","7","10014","5","6","8","9","6.85","6.93","7","7"
"1995","direct migration background","6.86","7","2800","5","5","8","9","6.79","6.93","7","7"
"1995","indirect migration background","7.13","8","512","5","6","8","9","6.98","7.28","8","8"
"1995","no migration background","6.84","7","9989","5","6","8","9","6.8","6.88","7","7"
"1996","direct migration background","6.82","7","2615","5","5","8","9","6.75","6.89","7","7"
"1996","indirect migration background","7.02","7.64","547","4","6","8","9","6.87","7.17","7","8"
"1996","no migration background","6.91","7","9942","5","6","8","9","6.88","6.94","7","7"
"1997","direct migration background","6.77","7","2486","4","5","8","9","6.7","6.84","7","7"
"1997","indirect migration background","7.29","8","572","5","6","8","9","7.14","7.44","8","8"
"1997","no migration background","6.76","7","9831","4","6","8","9","6.72","6.8","7","7"
"1998","direct migration background","6.87","7","2414","5","6","8","9","6.8","6.94","7","7"
"1998","indirect migration background","7.38","8","601","5","6","9","10","7.25","7.51","8","8"
"1998","no migration background","6.94","7","11274","5","6","8","9","6.91","6.97","7","7"
"1999","direct migration background","6.88","7","2212","5","6","8","9","6.81","6.95","7","7"
"1999","indirect migration background","7.31","8","610","5","7","8","9","7.18","7.44","8","8"
