"year","migback","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","direct migration background","Rural Area","7.17","7.96","348","4","6","9","10","10","6.93","7.41","0","10","7","8"
"1985","direct migration background","Urban Area","7.11","7","2586","5","6","9","10","10","7.03","7.19","0","10","7","8"
"1985","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"1985","indirect migration background","Urban Area","7.48","8","126","4","7","8","10","10","7.15","7.81","0","10","8","8"
"1985","no migration background","Rural Area","7.19","8","1908","5","6","9","10","10","7.1","7.28","0","10","7","8"
"1985","no migration background","Urban Area","7.26","8","6062","5","6","9","10","10","7.21","7.31","0","10","8","8"
"1986","direct migration background","Rural Area","7.49","8","356","5","6","9","10","10","7.28","7.7","0","10","8","8"
"1986","direct migration background","Urban Area","7.14","7","2491","5","6","8","10","10","7.06","7.22","0","10","7","8"
"1986","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"1986","indirect migration background","Urban Area","7.26","8","137","5","6","9","9","10","6.96","7.56","3","10","8","8"
"1986","no migration background","Rural Area","7.29","8","1801","5","6","8","10","10","7.21","7.37","0","10","8","8"
"1986","no migration background","Urban Area","7.32","8","5804","5","6","9","10","10","7.27","7.37","0","10","8","8"
"1987","direct migration background","Rural Area","7.41","8","363","5","6","9","10","10","7.2","7.62","0","10","8","8"
"1987","direct migration background","Urban Area","7.02","7","2474","5","6","8","10","10","6.94","7.1","0","10","7","8"
"1987","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"1987","indirect migration background","Urban Area","7.02","8","155","5","6","8","9","10","6.72","7.32","0","10","8","8"
"1987","no migration background","Rural Area","7.04","7","1769","5","6","8","10","10","6.95","7.13","0","10","7","7"
"1987","no migration background","Urban Area","7.11","8","5697","5","6","8","9","10","7.06","7.16","0","10","7","8"
"1988","direct migration background","Rural Area","7.26","8","332","5","6","9","10","10","7.04","7.48","0","10","8","8"
"1988","direct migration background","Urban Area","7.02","7","2347","5","6","8","9","10","6.94","7.1","0","10","7","8"
"1988","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"1988","indirect migration background","Urban Area","6.98","8","194","4","6","8","9","10","6.72","7.24","0","10","8","8"
"1988","no migration background","Rural Area","6.92","7","1655","4","6","8","9","10","6.82","7.02","0","10","7","7"
"1988","no migration background","Urban Area","7.02","7","5422","4","6","8","9","10","6.97","7.07","0","10","7","8"
"1989","direct migration background","Rural Area","6.75","7","316","5","5","8","9","10","6.53","6.97","0","10","7","8"
