"year","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","(Married) couple without C.","7.28","8","948","5","6","9","10","10","7.14","7.42","0","10","8","8"
"1990","1-pers.-HH","6.9","7","330","3","5","9","10","10","6.64","7.16","0","10","7","8"
"1990","Couple + C. GT 16 ","7.55","8","823","5","7","9","10","10","7.42","7.68","0","10","8","8"
"1990","Couple + C. LE 16","7.62","8","1471","5","7","9","10","10","7.53","7.71","0","10","8","8"
"1990","Couple + C. LE and GT 16","7.77","8","319","5","7","9","10","10","7.58","7.96","0","10","8","8"
"1990","Single parent","7.32","8","191","4","6","9","10","10","7","7.64","0","10","7","8"
"1991","(Married) couple without C.","7.19","8","3146","5","6","8","10","10","7.12","7.26","0","10","8","8"
"1991","1-pers.-HH","6.75","7","1288","4","5","8","9","10","6.63","6.87","0","10","7","7"
"1991","Couple + C. GT 16 ","7.24","8","2745","5","6","8","9","10","7.17","7.31","0","10","8","8"
"1991","Couple + C. LE 16","7.5","8","3410","5","7","9","9","10","7.44","7.56","0","10","8","8"
"1991","Couple + C. LE and GT 16","7.51","8","1203","5","7","9","9","10","7.42","7.6","1","10","8","8"
"1991","Single parent","7.13","8","634","5","6","8","9","10","6.98","7.28","0","10","7","8"
"1992","(Married) couple without C.","6.87","7","3215","4","5","8","9","10","6.8","6.94","0","10","7","7"
"1992","1-pers.-HH","6.64","7","1292","4","5","8","9","10","6.53","6.75","0","10","7","7"
"1992","Couple + C. GT 16 ","7.05","8","2685","4","6","8","9","10","6.98","7.12","0","10","7","8"
"1992","Couple + C. LE 16","7.31","8","3253","5","6","8","9","10","7.25","7.37","0","10","8","8"
"1992","Couple + C. LE and GT 16","7.26","8","1146","5","6","8","9","10","7.15","7.37","0","10","8","8"
"1992","Single parent","6.87","7","628","4","5","8","9","10","6.71","7.03","0","10","7","8"
"1993","(Married) couple without C.","6.76","7","3280","4","5","8","9","10","6.69","6.83","0","10","7","7"
"1993","1-pers.-HH","6.46","7","1374","3","5","8","9","10","6.34","6.58","0","10","7","7"
"1993","Couple + C. GT 16 ","6.82","7","2560","4","6","8","9","10","6.74","6.9","0","10","7","7"
"1993","Couple + C. LE 16","7.04","7","3093","5","6","8","9","10","6.98","7.1","0","10","7","7"
"1993","Couple + C. LE and GT 16","7.18","8","1175","5","6","9","9","10","7.07","7.29","0","10","7","8"
"1993","Single parent","6.79","7","594","4","5","8","9","10","6.63","6.95","0","10","7","7"
"1994","(Married) couple without C.","6.72","7","3354","4","5","8","9","10","6.65","6.79","0","10","7","7"
"1994","1-pers.-HH","6.52","7","1366","3","5","8","9","10","6.4","6.64","0","10","7","7"
"1994","Couple + C. GT 16 ","6.83","7","2429","4","6","8","9","10","6.75","6.91","0","10","7","7"
"1994","Couple + C. LE 16","7.11","7","2996","5","6","8","9","10","7.05","7.17","0","10","7","8"
"1994","Couple + C. LE and GT 16","7.23","8","1171","5","6","8","9","10","7.13","7.33","0","10","7","8"
"1994","Single parent","6.83","7","568","4","5","8","9","10","6.66","7","0","10","7","7"
"1995","(Married) couple without C.","6.77","7","3473","4","5","8","9","10","6.7","6.84","0","10","7","7"
"1995","1-pers.-HH","6.42","7","1417","3","5","8","9","10","6.31","6.53","0","10","7","7"
"1995","Couple + C. GT 16 ","6.94","7","2470","5","6","8","9","10","6.87","7.01","0","10","7","7"
"1995","Couple + C. LE 16","7.22","8","3124","5","6","8","9","10","7.16","7.28","0","10","8","8"
"1995","Couple + C. LE and GT 16","7.19","8","1230","5","6","8","9","10","7.09","7.29","0","10","7","8"
"1995","Single parent","7.04","7","608","5","5","8","10","10","6.88","7.2","0","10","7","8"
"1996","(Married) couple without C.","6.61","7","3538","4","5","8","9","10","6.54","6.68","0","10","7","7"
"1996","1-pers.-HH","6.33","7","1449","3","5","8","9","10","6.22","6.44","0","10","7","7"
"1996","Couple + C. GT 16 ","6.84","7","2358","4","6","8","9","10","6.76","6.92","0","10","7","7"
"1996","Couple + C. LE 16","7.13","8","2988","5","6","8","9","10","7.07","7.19","0","10","7","8"
"1996","Couple + C. LE and GT 16","7.05","7","1245","5","6","8","9","10","6.94","7.16","0","10","7","8"
"1996","Single parent","6.91","7","647","4","6","8","9","10","6.75","7.07","0","10","7","8"
"1997","(Married) couple without C.","6.38","7","3569","3","5","8","9","10","6.31","6.45","0","10","7","7"
"1997","1-pers.-HH","6.13","6","1431","3","5","8","9","10","6.01","6.25","0","10","6","7"
"1997","Couple + C. GT 16 ","6.68","7","2360","4","5","8","9","10","6.6","6.76","0","10","7","7"
"1997","Couple + C. LE 16","6.96","7","2833","5","6","8","9","10","6.89","7.03","0","10","7","7"
"1997","Couple + C. LE and GT 16","6.91","7","1199","4","5","8","9","10","6.8","7.02","0","10","7","7"
"1997","Single parent","6.74","7","630","4","5","8","9","10","6.59","6.89","0","10","7","7"
"1998","(Married) couple without C.","6.73","7","4141","4","5","8","9","10","6.67","6.79","0","10","7","7"
"1998","1-pers.-HH","6.4","7","1715","3","5","8","9","10","6.3","6.5","0","10","7","7"
"1998","Couple + C. GT 16 ","6.99","7","2549","4","6","8","9","10","6.92","7.06","0","10","7","7"
"1998","Couple + C. LE 16","7.29","8","3089","5","6","8","9","10","7.23","7.35","0","10","8","8"
"1998","Couple + C. LE and GT 16","7.12","8","1241","5","6","8","9","10","7.02","7.22","0","10","7","8"
"1998","Single parent","6.96","7","700","5","6","8","9","10","6.81","7.11","0","10","7","8"
"1999","(Married) couple without C.","6.84","7","4091","4","5","8","9","10","6.78","6.9","0","10","7","7"
"1999","1-pers.-HH","6.58","7","1650","4","5","8","9","10","6.48","6.68","0","10","7","7"
"1999","Couple + C. GT 16 ","7.14","8","2481","5","6","8","9","10","7.07","7.21","0","10","7","8"
"1999","Couple + C. LE 16","7.42","8","2994","5","7","9","9","10","7.36","7.48","0","10","8","8"
"1999","Couple + C. LE and GT 16","7.18","8","1155","5","6","8","9","10","7.07","7.29","0","10","8","8"
"1999","Single parent","6.98","7","712","5","6","8","9","10","6.83","7.13","0","10","7","8"
"2000","(Married) couple without C.","6.9","7","7417","4","6","8","9","10","6.85","6.95","0","10","7","7"
"2000","1-pers.-HH","6.81","7","3237","4","5","8","9","10","6.74","6.88","0","10","7","7"
"2000","Couple + C. GT 16 ","7.24","8","3905","5","6","8","9","10","7.18","7.3","0","10","8","8"
"2000","Couple + C. LE 16","7.48","8","5170","5","7","9","9","10","7.43","7.53","0","10","8","8"
"2000","Couple + C. LE and GT 16","7.43","8","1907","5","6","9","9","10","7.35","7.51","0","10","8","8"
"2000","Single parent","7.22","8","1186","5","6","8","9","10","7.11","7.33","0","10","7","8"
"2001","(Married) couple without C.","6.95","7","6725","4","6","8","9","10","6.9","7","0","10","7","7"
"2001","1-pers.-HH","6.89","7","2885","4","5","8","9","10","6.82","6.96","0","10","7","7"
"2001","Couple + C. GT 16 ","7.34","8","3579","5","6","9","9","10","7.28","7.4","0","10","8","8"
