"year","e11102","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2007","Employed","3.05","3","12588","2","2","4","4","5","3.03","3.07","1","5","3","3"
"2007","Not Employed","2.68","3","7980","1","2","3","4","5","2.66","2.7","1","5","3","3"
"2008","Employed","2.96","3","11909","2","2","4","4","5","2.94","2.98","1","5","3","3"
"2008","Not Employed","2.64","3","7471","1","2","3","4","5","2.62","2.66","1","5","3","3"
"2009","Employed","2.96","3","11223","2","2","4","4","5","2.94","2.98","1","5","3","3"
"2009","Not Employed","2.57","3","6834","1","2","3","4","5","2.55","2.59","1","5","3","3"
"2010","Employed","2.89","3","10357","2","2","3","4","5","2.87","2.91","1","5","3","3"
"2010","Not Employed","2.52","3","6336","1","2","3","4","5","2.5","2.54","1","5","3","3"
"2011","Employed","2.89","3","12672","2","2","3","4","5","2.87","2.91","1","5","3","3"
"2011","Not Employed","2.51","3","8090","1","2","3","4","5","2.49","2.53","1","5","3","3"
"2012","Employed","2.85","3","12491","2","2","3","4","5","2.83","2.87","1","5","3","3"
"2012","Not Employed","2.52","3","8045","1","2","3","4","5","2.5","2.54","1","5","3","3"
"2013","Employed","2.87","3","16873","2","2","3","4","5","2.86","2.88","1","5","3","3"
"2013","Not Employed","2.56","3","8851","1","2","3","4","5","2.54","2.58","1","5","3","3"
"2014","Employed","2.88","3","17791","2","2","3","4","5","2.87","2.89","1","5","3","3"
"2014","Not Employed","2.54","3","9360","1","2","3","4","5","2.52","2.56","1","5","3","3"
"2015","Employed","2.83","3","16639","2","2","3","4","5","2.82","2.84","1","5","3","3"
"2015","Not Employed","2.59","3","8476","1","2","3","4","5","2.57","2.61","1","5","3","3"
"2016","Employed","2.84","3","16152","2","2","3","4","5","2.82","2.86","1","5","3","3"
"2016","Not Employed","2.59","3","8103","1","2","3","4","5","2.57","2.61","1","5","3","3"
"2017","Employed","2.83","3","18071","2","2","3","4","5","2.82","2.84","1","5","3","3"
"2017","Not Employed","2.57","3","8485","1","2","3","4","5","2.55","2.59","1","5","3","3"
"2018","Employed","2.81","3","17479","2","2","3","4","5","2.8","2.82","1","5","3","3"
"2018","Not Employed","2.57","3","8206","1","2","3","4","5","2.55","2.59","1","5","3","3"
"2019","Employed","2.79","3","17747","2","2","3","4","5","2.78","2.8","1","5","3","3"
"2019","Not Employed","2.5","3","8098","1","2","3","4","5","2.48","2.52","1","5","3","3"
