"year","regtyp","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2007","Rural Area","Female","2.2","2","3602","1","1","3","4","5","2.17","2.23","1","5","2","2"
"2007","Rural Area","Male","1.84","2","3346","1","1","2","3","4","1.81","1.87","1","5","2","2"
"2007","Urban Area","Female","2.19","2","7160","1","1","3","4","5","2.17","2.21","1","5","2","2"
"2007","Urban Area","Male","1.79","2","6427","1","1","2","3","5","1.77","1.81","1","5","1","2"
"2008","Rural Area","Female","2.15","2","3391","1","1","3","4","5","2.12","2.18","1","5","2","2"
"2008","Rural Area","Male","1.82","2","3155","1","1","2","3","5","1.79","1.85","1","5","2","2"
"2008","Urban Area","Female","2.15","2","6743","1","1","3","4","5","2.13","2.17","1","5","2","2"
"2008","Urban Area","Male","1.78","2","6062","1","1","2","3","5","1.76","1.8","1","5","1","2"
"2009","Rural Area","Female","2.2","2","3212","1","1","3","4","5","2.16","2.24","1","5","2","2"
"2009","Rural Area","Male","1.83","2","3003","1","1","2","3","4","1.8","1.86","1","5","2","2"
"2009","Urban Area","Female","2.16","2","6202","1","1","3","4","5","2.13","2.19","1","5","2","2"
"2009","Urban Area","Male","1.76","2","5585","1","1","2","3","5","1.74","1.78","1","5","1","2"
"2010","Rural Area","Female","2.21","2","2925","1","1","3","4","5","2.17","2.25","1","5","2","2"
"2010","Rural Area","Male","1.83","2","2730","1","1","2","3","4","1.8","1.86","1","5","2","2"
"2010","Urban Area","Female","2.16","2","5815","1","1","3","4","5","2.13","2.19","1","5","2","2"
"2010","Urban Area","Male","1.8","2","5210","1","1","2","3","4","1.78","1.82","1","5","2","2"
"2011","Rural Area","Female","2.22","2","3768","1","1","3","4","5","2.19","2.25","1","5","2","2"
"2011","Rural Area","Male","1.81","2","3452","1","1","2","3","5","1.78","1.84","1","5","2","2"
"2011","Urban Area","Female","2.21","2","7181","1","1","3","4","5","2.19","2.23","1","5","2","2"
"2011","Urban Area","Male","1.78","2","6328","1","1","2","3","4","1.76","1.8","1","5","1","2"
"2012","Rural Area","Female","2.1","2","3816","1","1","3","3","5","2.07","2.13","1","5","2","2"
"2012","Rural Area","Male","1.75","2","3465","1","1","2","3","4","1.72","1.78","1","5","1","2"
"2012","Urban Area","Female","2.09","2","7040","1","1","3","3","5","2.07","2.11","1","5","2","2"
"2012","Urban Area","Male","1.75","2","6203","1","1","2","3","4","1.73","1.77","1","5","1","2"
"2013","Rural Area","Female","2.13","2","4982","1","1","3","4","5","2.1","2.16","1","5","2","2"
"2013","Rural Area","Male","1.74","2","4218","1","1","2","3","4","1.71","1.77","1","5","1","2"
"2013","Urban Area","Female","2.1","2","9103","1","1","3","4","5","2.08","2.12","1","5","2","2"
"2013","Urban Area","Male","1.73","2","7398","1","1","2","3","4","1.71","1.75","1","5","1","2"
"2014","Rural Area","Female","2.13","2","4984","1","1","3","4","5","2.1","2.16","1","5","2","2"
"2014","Rural Area","Male","1.71","1","4304","1","1","2","3","4","1.69","1.73","1","5","1","1"
"2014","Urban Area","Female","2.1","2","9700","1","1","3","4","5","2.08","2.12","1","5","2","2"
"2014","Urban Area","Male","1.73","2","8141","1","1","2","3","4","1.71","1.75","1","5","1","1"
"2015","Rural Area","Female","2.13","2","4689","1","1","3","3","5","2.1","2.16","1","5","2","2"
"2015","Rural Area","Male","1.77","2","4017","1","1","2","3","4","1.74","1.8","1","5","1","2"
"2015","Urban Area","Female","2.11","2","8921","1","1","3","4","5","2.09","2.13","1","5","2","2"
"2015","Urban Area","Male","1.72","2","7458","1","1","2","3","4","1.7","1.74","1","5","1","1"
"2016","Rural Area","Female","2.22","2","4487","1","1","3","4","5","2.19","2.25","1","5","2","2"
"2016","Rural Area","Male","1.8","2","3874","1","1","2","3","4","1.77","1.83","1","5","2","2"
"2016","Urban Area","Female","2.15","2","8664","1","1","3","4","5","2.13","2.17","1","5","2","2"
"2016","Urban Area","Male","1.78","2","7209","1","1","2","3","5","1.76","1.8","1","5","2","2"
"2017","Rural Area","Female","2.16","2","5013","1","1","3","4","5","2.13","2.19","1","5","2","2"
"2017","Rural Area","Male","1.75","2","4391","1","1","2","3","4","1.72","1.78","1","5","1","2"
"2017","Urban Area","Female","2.11","2","9272","1","1","3","4","5","2.09","2.13","1","5","2","2"
"2017","Urban Area","Male","1.76","2","7872","1","1","2","3","4","1.74","1.78","1","5","1","2"
"2018","Rural Area","Female","2.15","2","4829","1","1","3","3","5","2.12","2.18","1","5","2","2"
"2018","Rural Area","Male","1.7","2","4194","1","1","2","3","4","1.67","1.73","1","5","1","2"
"2018","Urban Area","Female","2.07","2","9032","1","1","3","3","5","2.05","2.09","1","5","2","2"
"2018","Urban Area","Male","1.75","2","7616","1","1","2","3","4","1.73","1.77","1","5","1","1"
"2019","Rural Area","Female","2.11","2","4611","1","1","3","3","5","2.08","2.14","1","5","2","2"
"2019","Rural Area","Male","1.73","2","4249","1","1","2","3","4","1.71","1.75","1","5","1","2"
"2019","Urban Area","Female","2.07","2","8151","1","1","3","3","5","2.05","2.09","1","5","2","2"
"2019","Urban Area","Male","1.69","1","7296","1","1","2","3","4","1.67","1.71","1","5","1","1"
