"year","bula_h","e11103","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2007","Baden-W?rttemberg","Full Time","3.53","4","993","3","3","4","4","5","3.48","3.58","1","5","4","4"
"2007","Baden-W?rttemberg","Not Working","3.37","3","936","2","3","4","4","5","3.31","3.43","1","5","3","4"
"2007","Baden-W?rttemberg","Part Time","3.61","4","565","3","3","4","5","5","3.54","3.68","1","5","4","4"
"2007","Bavaria","Full Time","3.55","4","1188","2","3","4","4","5","3.5","3.6","1","5","4","4"
"2007","Bavaria","Not Working","3.31","3","1051","2","3","4","4","5","3.26","3.36","1","5","3","3"
"2007","Bavaria","Part Time","3.49","4","720","2","3","4","5","5","3.43","3.55","1","5","4","4"
"2007","Berlin","Full Time","3.45","4","297","2","3","4","4","5","3.35","3.55","1","5","3","4"
"2007","Berlin","Not Working","3.11","3","275","2","2","4","4","5","2.99","3.23","1","5","3","4"
"2007","Berlin","Part Time","3.45","4","184","2","3","4","4","5","3.33","3.57","1","5","4","4"
"2007","Brandenburg","Full Time","3.42","3","313","2","3","4","4","5","3.33","3.51","1","5","3","4"
"2007","Brandenburg","Not Working","3.21","3","385","2","3","4","4","5","3.12","3.3","1","5","3","3"
"2007","Brandenburg","Part Time","3.46","3","167","3","3","4","4","5","3.34","3.58","1","5","3","4"
"2007","Bremen","Full Time","3.68","4","52","3","3","4","5","5","3.45","3.91","2","5","4","4"
"2007","Bremen","Not Working","3.52","3","65","3","3","4","5","5","3.3","3.74","1","5","3","4"
"2007","Bremen","Part Time","3.96","4","31","3","4","4","5","5","3.66","4.26","2","5","4","4"
"2007","Hamburg","Full Time","3.67","4","105","3","3","4","4","5","3.53","3.81","2","5","4","4"
"2007","Hamburg","Not Working","2.99","3","126","2","3","3","4","5","2.84","3.14","1","5","3","3"
"2007","Hamburg","Part Time","3.66","4","64","3","3","4","5","5","3.48","3.84","2","5","3","4"
"2007","Hesse","Full Time","3.52","4","559","2","3","4","5","5","3.45","3.59","1","5","4","4"
"2007","Hesse","Not Working","3.3","3","475","2","3","4","4","5","3.21","3.39","1","5","3","4"
"2007","Hesse","Part Time","3.54","4","361","2","3","4","5","5","3.45","3.63","1","5","4","4"
"2007","Lower Saxony","Full Time","3.53","4","666","3","3","4","4","5","3.47","3.59","1","5","4","4"
"2007","Lower Saxony","Not Working","3.4","3","707","2","3","4","4","5","3.34","3.46","1","5","4","4"
"2007","Lower Saxony","Part Time","3.71","4","460","3","3","4","5","5","3.63","3.79","1","5","4","4"
"2007","Mecklenburg-Western Pomerania","Full Time","3.61","4","201","3","3","4","5","5","3.5","3.72","1","5","4","4"
"2007","Mecklenburg-Western Pomerania","Not Working","3.31","3","205","2","3","4","4","5","3.19","3.43","1","5","3","4"
"2007","Mecklenburg-Western Pomerania","Part Time","3.61","4","105","3","3","4","4","5","3.46","3.76","1","5","4","4"
"2007","North Rhine-Westphalia","Full Time","3.48","4","1573","2","3","4","4","5","3.44","3.52","1","5","4","4"
"2007","North Rhine-Westphalia","Not Working","3.23","3","1642","2","3","4","4","5","3.18","3.28","1","5","3","3"
