"year","e11103","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2007","Full Time","direct migration background","2.35","2","703","1","2","3","4","5","2.27","2.43","1","5","2","2"
"2007","Full Time","indirect migration background","2.6","3","328","1","2","3","4","5","2.48","2.72","1","5","2","3"
"2007","Full Time","no migration background","2.33","2","6831","1","2","3","4","5","2.31","2.35","1","5","2","2"
"2007","Not Working","direct migration background","2.77","3","880","1","2","4","4","5","2.7","2.84","1","5","3","3"
"2007","Not Working","indirect migration background","2.62","3","231","1","2","3","4","5","2.47","2.77","1","5","2","3"
"2007","Not Working","no migration background","2.48","2","6868","1","2","3","4","5","2.45","2.51","1","5","2","2"
"2007","Part Time","direct migration background","2.49","3","543","1","2","3","4","5","2.4","2.58","1","5","2","3"
"2007","Part Time","indirect migration background","2.65","3","225","1","2","3","4","5","2.5","2.8","1","5","2","3"
"2007","Part Time","no migration background","2.55","3","3948","1","2","3","4","5","2.52","2.58","1","5","2","2"
"2008","Full Time","direct migration background","2.44","2","631","1","2","3","4","5","2.36","2.52","1","5","2","2"
"2008","Full Time","indirect migration background","2.39","2","341","1","1","3","4","5","2.27","2.51","1","5","2","2"
"2008","Full Time","no migration background","2.28","2","6515","1","2","3","4","5","2.26","2.3","1","5","2","2"
"2008","Not Working","direct migration background","2.72","3","796","1","2","3","4","5","2.64","2.8","1","5","3","3"
"2008","Not Working","indirect migration background","2.59","3","207","1","2","3","4","5","2.44","2.74","1","5","2","3"
"2008","Not Working","no migration background","2.5","2","6464","1","2","3","4","5","2.47","2.53","1","5","2","2"
"2008","Part Time","direct migration background","2.48","3","478","1","2","3","4","5","2.39","2.57","1","5","2","3"
"2008","Part Time","indirect migration background","2.61","3","224","1","2","3","4","5","2.47","2.75","1","5","2","3"
"2008","Part Time","no migration background","2.48","2","3713","1","2","3","4","5","2.45","2.51","1","5","2","2"
"2009","Full Time","direct migration background","2.47","2","530","1","2","3","4","5","2.38","2.56","1","5","2","3"
"2009","Full Time","indirect migration background","2.4","2","310","1","2","3","4","5","2.29","2.51","1","5","2","3"
"2009","Full Time","no migration background","2.32","2","6145","1","2","3","4","5","2.3","2.34","1","5","2","2"
"2009","Not Working","direct migration background","2.8","3","679","1","2","3","4","5","2.72","2.88","1","5","3","3"
"2009","Not Working","indirect migration background","2.47","2","194","1","2","3","4","5","2.32","2.62","1","5","2","3"
"2009","Not Working","no migration background","2.43","2","5954","1","2","3","4","5","2.4","2.46","1","5","2","2"
"2009","Part Time","direct migration background","2.49","2","450","1","2","3","4","5","2.4","2.58","1","5","2","3"
"2009","Part Time","indirect migration background","2.64","3","211","1","2","3","4","5","2.5","2.78","1","5","2","3"
"2009","Part Time","no migration background","2.53","2","3554","1","2","3","4","5","2.5","2.56","1","5","2","2"
"2010","Full Time","direct migration background","2.24","2","471","1","1","3","4","5","2.15","2.33","1","5","2","2"
"2010","Full Time","indirect migration background","2.35","2","287","1","1","3","4","5","2.23","2.47","1","5","2","2"
"2010","Full Time","no migration background","2.29","2","5686","1","2","3","4","5","2.26","2.32","1","5","2","2"
"2010","Not Working","direct migration background","2.81","3","624","1","2","4","4","5","2.72","2.9","1","5","3","3"
"2010","Not Working","indirect migration background","2.6","2","175","1","2","3","4","5","2.44","2.76","1","5","2","3"
"2010","Not Working","no migration background","2.52","3","5537","1","2","3","4","5","2.49","2.55","1","5","2","2"
"2010","Part Time","direct migration background","2.46","2","377","1","2","3","4","5","2.35","2.57","1","5","2","3"
"2010","Part Time","indirect migration background","2.75","3","195","1","2","3","4","5","2.6","2.9","1","5","2","3"
"2010","Part Time","no migration background","2.45","2","3335","1","2","3","4","5","2.42","2.48","1","5","2","2"
"2011","Full Time","direct migration background","2.26","2","646","1","1","3","4","5","2.18","2.34","1","5","2","2"
"2011","Full Time","indirect migration background","2.41","2","330","1","2","3","4","5","2.3","2.52","1","5","2","3"
"2011","Full Time","no migration background","2.36","2","6804","1","2","3","4","5","2.34","2.38","1","5","2","2"
"2011","Not Working","direct migration background","2.63","3","849","1","2","3","4","5","2.56","2.7","1","5","2","3"
"2011","Not Working","indirect migration background","2.68","3","226","1","2","3","4","5","2.55","2.81","1","5","2","3"
"2011","Not Working","no migration background","2.48","2","7016","1","2","3","4","5","2.46","2.5","1","5","2","2"
"2011","Part Time","direct migration background","2.41","2","519","1","2","3","4","5","2.32","2.5","1","5","2","3"
"2011","Part Time","indirect migration background","2.43","2","238","1","2","3","4","5","2.29","2.57","1","5","2","3"
"2011","Part Time","no migration background","2.49","2","4129","1","2","3","4","5","2.46","2.52","1","5","2","2"
"2012","Full Time","direct migration background","2.31","2","646","1","2","3","4","5","2.23","2.39","1","5","2","2"
"2012","Full Time","indirect migration background","2.11","2","342","1","1","3","3","5","2","2.22","1","5","2","2"
"2012","Full Time","no migration background","2.23","2","6624","1","1","3","4","5","2.21","2.25","1","5","2","2"
"2012","Not Working","direct migration background","2.64","3","790","1","2","3","4","5","2.56","2.72","1","5","2","3"
"2012","Not Working","indirect migration background","2.43","2","192","1","2","3","4","5","2.28","2.58","1","5","2","3"
"2012","Not Working","no migration background","2.44","2","7060","1","2","3","4","5","2.42","2.46","1","5","2","2"
"2012","Part Time","direct migration background","2.4","2","509","1","2","3","4","5","2.31","2.49","1","5","2","3"
"2012","Part Time","indirect migration background","2.25","2","263","1","1","3","4","5","2.13","2.37","1","5","2","2"
"2012","Part Time","no migration background","2.41","2","4104","1","2","3","4","5","2.38","2.44","1","5","2","2"
"2013","Full Time","direct migration background","2.33","2","947","1","2","3","4","5","2.27","2.39","1","5","2","2"
"2013","Full Time","indirect migration background","2.14","2","481","1","1","3","3","5","2.05","2.23","1","5","2","2"
"2013","Full Time","no migration background","2.2","2","8274","1","1","3","3","5","2.18","2.22","1","5","2","2"
"2013","Not Working","direct migration background","2.76","3","961","1","2","3","4","5","2.69","2.83","1","5","3","3"
"2013","Not Working","indirect migration background","2.39","2","316","1","2","3","4","5","2.27","2.51","1","5","2","3"
"2013","Not Working","no migration background","2.44","2","7580","1","2","3","4","5","2.42","2.46","1","5","2","2"
"2013","Part Time","direct migration background","2.53","3","782","1","2","3","4","5","2.46","2.6","1","5","2","3"
"2013","Part Time","indirect migration background","2.45","2","407","1","2","3","4","5","2.35","2.55","1","5","2","3"
"2013","Part Time","no migration background","2.42","2","5978","1","2","3","4","5","2.39","2.45","1","5","2","2"
"2014","Full Time","direct migration background","2.2","2","1840","1","1","3","3","5","2.15","2.25","1","5","2","2"
"2014","Full Time","indirect migration background","2.27","2","710","1","1","3","4","5","2.2","2.34","1","5","2","2"
"2014","Full Time","no migration background","2.18","2","7670","1","1","3","3","5","2.16","2.2","1","5","2","2"
"2014","Not Working","direct migration background","2.65","3","1706","1","2","3","4","5","2.6","2.7","1","5","2","3"
"2014","Not Working","indirect migration background","2.34","2","515","1","2","3","4","5","2.25","2.43","1","5","2","3"
"2014","Not Working","no migration background","2.42","2","7135","1","2","3","4","5","2.4","2.44","1","5","2","2"
"2014","Part Time","direct migration background","2.49","2","1569","1","2","3","4","5","2.44","2.54","1","5","2","3"
"2014","Part Time","indirect migration background","2.37","2","568","1","2","3","4","5","2.28","2.46","1","5","2","3"
"2014","Part Time","no migration background","2.41","2","5422","1","2","3","4","5","2.38","2.44","1","5","2","2"
"2015","Full Time","direct migration background","2.19","2","1617","1","1","3","3","5","2.14","2.24","1","5","2","2"
"2015","Full Time","indirect migration background","2.18","2","655","1","1","3","3","5","2.1","2.26","1","5","2","2"
"2015","Full Time","no migration background","2.18","2","7237","1","1","3","3","5","2.16","2.2","1","5","2","2"
"2015","Not Working","direct migration background","2.7","3","1318","1","2","3","4","5","2.64","2.76","1","5","3","3"
"2015","Not Working","indirect migration background","2.49","2","442","1","2","3","4","5","2.39","2.59","1","5","2","3"
"2015","Not Working","no migration background","2.46","2","6704","1","2","3","4","5","2.43","2.49","1","5","2","2"
"2015","Part Time","direct migration background","2.48","2","1369","1","2","3","4","5","2.43","2.53","1","5","2","3"
"2015","Part Time","indirect migration background","2.37","2","533","1","2","3","4","5","2.28","2.46","1","5","2","2"
"2015","Part Time","no migration background","2.41","2","5223","1","2","3","4","5","2.38","2.44","1","5","2","2"
"2016","Full Time","direct migration background","2.18","2","1817","1","1","3","3","5","2.14","2.22","1","5","2","2"
"2016","Full Time","indirect migration background","2.18","2","630","1","1","3","3","5","2.1","2.26","1","5","2","2"
"2016","Full Time","no migration background","2.19","2","6727","1","1","3","3","5","2.17","2.21","1","5","2","2"
"2016","Not Working","direct migration background","2.66","3","1425","1","2","3","4","5","2.6","2.72","1","5","3","3"
"2016","Not Working","indirect migration background","2.57","2","397","1","2","3","4","5","2.46","2.68","1","5","2","3"
"2016","Not Working","no migration background","2.44","2","6277","1","2","3","4","5","2.41","2.47","1","5","2","2"
"2016","Part Time","direct migration background","2.42","2","1549","1","2","3","4","5","2.37","2.47","1","5","2","2"
"2016","Part Time","indirect migration background","2.33","2","520","1","2","3","4","5","2.24","2.42","1","5","2","2"
"2016","Part Time","no migration background","2.38","2","4901","1","2","3","4","5","2.35","2.41","1","5","2","2"
"2017","Full Time","direct migration background","2.21","2","1766","1","2","3","3","5","2.17","2.25","1","5","2","2"
"2017","Full Time","indirect migration background","2.16","2","653","1","1","3","3","5","2.09","2.23","1","5","2","2"
"2017","Full Time","no migration background","2.18","2","7979","1","1","3","3","5","2.16","2.2","1","5","2","2"
"2017","Not Working","direct migration background","2.71","3","1351","1","2","3","4","5","2.65","2.77","1","5","2","3"
"2017","Not Working","indirect migration background","2.46","2","426","1","2","3","4","5","2.35","2.57","1","5","2","2"
"2017","Not Working","no migration background","2.44","2","6706","1","2","3","4","5","2.42","2.46","1","5","2","2"
"2017","Part Time","direct migration background","2.43","2","1466","1","2","3","4","5","2.38","2.48","1","5","2","2"
"2017","Part Time","indirect migration background","2.47","2","610","1","2","3","4","5","2.38","2.56","1","5","2","2"
"2017","Part Time","no migration background","2.34","2","5593","1","2","3","4","5","2.31","2.37","1","5","2","2"
"2018","Full Time","direct migration background","2.26","2","1670","1","2","3","4","5","2.21","2.31","1","5","2","2"
"2018","Full Time","indirect migration background","2.25","2","689","1","1","3","4","5","2.17","2.33","1","5","2","2"
"2018","Full Time","no migration background","2.14","2","7568","1","1","3","3","5","2.12","2.16","1","5","2","2"
"2018","Not Working","direct migration background","2.74","3","1306","1","2","3","4","5","2.68","2.8","1","5","3","3"
"2018","Not Working","indirect migration background","2.42","2","391","1","2","3","4","5","2.31","2.53","1","5","2","2"
"2018","Not Working","no migration background","2.43","2","6513","1","2","3","4","5","2.4","2.46","1","5","2","2"
"2018","Part Time","direct migration background","2.47","2","1413","1","2","3","4","5","2.42","2.52","1","5","2","2"
"2018","Part Time","indirect migration background","2.45","2","619","1","2","3","4","5","2.37","2.53","1","5","2","2"
"2018","Part Time","no migration background","2.32","2","5513","1","2","3","4","5","2.29","2.35","1","5","2","2"
"2019","Full Time","direct migration background","2.22","2","1529","1","1","3","3","5","2.17","2.27","1","5","2","2"
"2019","Full Time","indirect migration background","2.15","2","719","1","1","3","3","5","2.08","2.22","1","5","2","2"
"2019","Full Time","no migration background","2.16","2","8262","1","1","3","3","5","2.14","2.18","1","5","2","2"
"2019","Not Working","direct migration background","2.57","3","1129","1","2","3","4","5","2.51","2.63","1","5","2","3"
"2019","Not Working","indirect migration background","2.4","2","394","1","2","3","4","5","2.29","2.51","1","5","2","3"
"2019","Not Working","no migration background","2.43","2","6577","1","2","3","4","5","2.4","2.46","1","5","2","2"
"2019","Part Time","direct migration background","2.43","2","1196","1","2","3","4","5","2.37","2.49","1","5","2","2"
"2019","Part Time","indirect migration background","2.43","2","596","1","2","3","4","5","2.35","2.51","1","5","2","2"
"2019","Part Time","no migration background","2.35","2","5439","1","2","3","4","5","2.32","2.38","1","5","2","2"
