"year","migback","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","direct migration background","Female","2.18","2","78","1","2","3","3","4","2.02","2.34","1","4","2","2"
"1990","direct migration background","Male","2.22","2","64","1","2","3","3","4","2.03","2.41","1","4","2","2"
"1990","indirect migration background","Female","","","","","","","","","","","","","",""
"1990","indirect migration background","Male","","","","","","","","","","","","","",""
"1990","no migration background","Female","2.32","2","2245","1","2","3","3","4","2.29","2.35","1","4","2","2"
"1990","no migration background","Male","2.22","2","2042","1","2","3","3","4","2.18","2.26","1","4","2","2"
"1991","direct migration background","Female","2.08","2","81","1","1","3","3","4","1.89","2.27","1","4","2","2"
"1991","direct migration background","Male","2.47","3","62","1","2","3","4","4","2.23","2.71","1","4","2","3"
"1991","indirect migration background","Female","","","","","","","","","","","","","",""
"1991","indirect migration background","Male","","","","","","","","","","","","","",""
"1991","no migration background","Female","2.46","2","2102","1","2","3","4","4","2.42","2.5","1","4","2","2"
"1991","no migration background","Male","2.33","2","1931","1","2","3","3","4","2.29","2.37","1","4","2","2"
"1992","direct migration background","Female","2.32","2","314","1","2","3","3","4","2.23","2.41","1","4","2","2"
"1992","direct migration background","Male","2.25","2","260","1","2","3","3","4","2.15","2.35","1","4","2","2"
"1992","indirect migration background","Female","2.33","2","42","1","2","3","3","4","2.07","2.59","1","4","2","3"
"1992","indirect migration background","Male","2.42","2","39","1","2","3","3","4","2.13","2.71","1","4","2","3"
"1992","no migration background","Female","2.4","2","5421","1","2","3","3","4","2.38","2.42","1","4","2","2"
"1992","no migration background","Male","2.29","2","4922","1","2","3","3","4","2.27","2.31","1","4","2","2"
"1993","direct migration background","Female","2.42","2","1194","1","2","3","4","4","2.37","2.47","1","4","2","2"
"1993","direct migration background","Male","2.45","2","1282","1","2","3","4","4","2.4","2.5","1","4","2","2"
"1993","indirect migration background","Female","2.33","2","235","1","2","3","3","4","2.22","2.44","1","4","2","2"
"1993","indirect migration background","Male","2.37","2","238","1","2","3","4","4","2.26","2.48","1","4","2","2"
"1993","no migration background","Female","2.54","3","5315","2","2","3","4","4","2.52","2.56","1","4","2","3"
"1993","no migration background","Male","2.47","2","4841","1","2","3","4","4","2.45","2.49","1","4","2","2"
"1994","direct migration background","Female","","","","","","","","","","","","","",""
"1994","direct migration background","Male","","","","","","","","","","","","","",""
"1994","indirect migration background","Female","","","","","","","","","","","","","",""
"1994","indirect migration background","Male","","","","","","","","","","","","","",""
"1994","no migration background","Female","","","","","","","","","","","","","",""
"1994","no migration background","Male","","","","","","","","","","","","","",""
"1995","direct migration background","Female","2.2","2","1382","1","2","3","3","4","2.16","2.24","1","4","2","2"
"1995","direct migration background","Male","2.21","2","1412","1","2","3","3","4","2.17","2.25","1","4","2","2"
