"year","age_gr","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","16-34 y.","college entrance qualification","3.04","3","225","2","3","4","4","4","2.92","3.16","1","4","3","3"
"1990","16-34 y.","lower secondary degree","2.88","3","180","1","2","4","4","4","2.73","3.03","1","4","3","3"
"1990","16-34 y.","no degree/no degree yet","2.84","3","34","2","2","4","4","4","2.54","3.14","1","4","3","3"
"1990","16-34 y.","Other degree","","","","","","","","","","","","","",""
"1990","16-34 y.","secondary school degree","3.1","3","1242","2","3","4","4","4","3.05","3.15","1","4","3","3"
"1990","35-65 y.","college entrance qualification","3.14","3","304","2","3","4","4","4","3.05","3.23","1","4","3","3"
"1990","35-65 y.","lower secondary degree","2.89","3","1205","1","2","4","4","4","2.84","2.94","1","4","3","3"
"1990","35-65 y.","no degree/no degree yet","","","","","","","","","","","","","",""
"1990","35-65 y.","Other degree","2.81","3","34","1","2","4","4","4","2.45","3.17","1","4","2","4"
"1990","35-65 y.","secondary school degree","3.05","3","738","2","2","4","4","4","2.98","3.12","1","4","3","3"
"1990","66 and older","college entrance qualification","","","","","","","","","","","","","",""
"1990","66 and older","lower secondary degree","2.67","3","353","1","2","4","4","4","2.55","2.79","1","4","3","3"
"1990","66 and older","no degree/no degree yet","","","","","","","","","","","","","",""
"1990","66 and older","Other degree","","","","","","","","","","","","","",""
"1990","66 and older","secondary school degree","2.82","3","50","1","2","4","4","4","2.53","3.11","1","4","3","3"
"1991","16-34 y.","college entrance qualification","3.26","3","195","2","3","4","4","4","3.16","3.36","1","4","3","3"
"1991","16-34 y.","lower secondary degree","2.83","3","149","1","2","4","4","4","2.67","2.99","1","4","3","3"
"1991","16-34 y.","no degree/no degree yet","3.08","3","32","2","3","4","4","4","2.78","3.38","1","4","3","4"
"1991","16-34 y.","Other degree","","","","","","","","","","","","","",""
"1991","16-34 y.","secondary school degree","3.07","3","1128","2","3","4","4","4","3.02","3.12","1","4","3","3"
"1991","35-65 y.","college entrance qualification","3.12","3","300","2","3","4","4","4","3.03","3.21","1","4","3","3"
"1991","35-65 y.","lower secondary degree","2.7","3","1097","1","2","3","4","4","2.64","2.76","1","4","3","3"
"1991","35-65 y.","no degree/no degree yet","","","","","","","","","","","","","",""
"1991","35-65 y.","Other degree","","","","","","","","","","","","","",""
"1991","35-65 y.","secondary school degree","2.93","3","778","2","2","4","4","4","2.87","2.99","1","4","3","3"
"1991","66 and older","college entrance qualification","","","","","","","","","","","","","",""
"1991","66 and older","lower secondary degree","2.48","3","329","1","2","3","4","4","2.37","2.59","1","4","2","3"
"1991","66 and older","no degree/no degree yet","","","","","","","","","","","","","",""
"1991","66 and older","Other degree","","","","","","","","","","","","","",""
"1991","66 and older","secondary school degree","2.69","3","47","1","2","3","4","4","2.41","2.97","1","4","2","3"
"1992","16-34 y.","college entrance qualification","3.57","4","743","3","3","4","4","4","3.52","3.62","1","4","4","4"
"1992","16-34 y.","lower secondary degree","3.34","4","1037","2","3","4","4","4","3.29","3.39","1","4","3","4"
"1992","16-34 y.","no degree/no degree yet","3.47","4","186","3","3","4","4","4","3.36","3.58","1","4","3","4"
"1992","16-34 y.","Other degree","3.06","3","37","2","2","4","4","4","2.74","3.38","1","4","3","4"
"1992","16-34 y.","secondary school degree","3.37","4","1811","2","3","4","4","4","3.33","3.41","1","4","3","4"
"1992","35-65 y.","college entrance qualification","3.47","4","827","2","3","4","4","4","3.42","3.52","1","4","4","4"
"1992","35-65 y.","lower secondary degree","3.17","3","3245","2","3","4","4","4","3.14","3.2","1","4","3","3"
"1992","35-65 y.","no degree/no degree yet","2.76","2.84","31","2","2","4","4","4","2.39","3.13","1","4","2","4"
"1992","35-65 y.","Other degree","2.95","3","46","2","2","4","4","4","2.67","3.23","1","4","2","4"
"1992","35-65 y.","secondary school degree","3.35","4","1450","2","3","4","4","4","3.31","3.39","1","4","3","4"
"1992","66 and older","college entrance qualification","3.35","4","100","2","3","4","4","4","3.18","3.52","1","4","3","4"
"1992","66 and older","lower secondary degree","2.85","3","1076","1","2","4","4","4","2.79","2.91","1","4","3","3"
"1992","66 and older","no degree/no degree yet","","","","","","","","","","","","","",""
"1992","66 and older","Other degree","","","","","","","","","","","","","",""
"1992","66 and older","secondary school degree","3.19","4","213","2","3","4","4","4","3.05","3.33","1","4","3","4"
"1993","16-34 y.","college entrance qualification","3.44","4","825","3","3","4","4","4","3.39","3.49","1","4","4","4"
"1993","16-34 y.","lower secondary degree","3.22","3","1416","2","3","4","4","4","3.18","3.26","1","4","3","3"
"1993","16-34 y.","no degree/no degree yet","3.28","3","333","2","3","4","4","4","3.19","3.37","1","4","3","4"
"1993","16-34 y.","Other degree","2.8","3","227","2","2","4","4","4","2.68","2.92","1","4","3","3"
"1993","16-34 y.","secondary school degree","3.25","3","1872","2","3","4","4","4","3.21","3.29","1","4","3","3"
"1993","35-65 y.","college entrance qualification","3.28","4","847","2","3","4","4","4","3.22","3.34","1","4","3","4"
