"year","age_gr","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2003","16-34 y.","(Married) couple without C.","2.4","2","1024","2","2","3","3","4","2.36","2.44","1","4","2","2"
"2003","16-34 y.","1-pers.-HH","2.38","2","675","2","2","3","3","4","2.33","2.43","1","4","2","2"
"2003","16-34 y.","Couple + C. GT 16 ","2.36","2","1463","2","2","3","3","4","2.33","2.39","1","4","2","2"
"2003","16-34 y.","Couple + C. LE 16","2.47","2","1389","2","2","3","3","4","2.43","2.51","1","4","2","2"
"2003","16-34 y.","Couple + C. LE and GT 16","2.35","2","674","2","2","3","3","4","2.3","2.4","1","4","2","2"
"2003","16-34 y.","Single parent","2.48","2","468","2","2","3","3","4","2.42","2.54","1","4","2","3"
"2003","35-65 y.","(Married) couple without C.","2.41","2","4050","2","2","3","3","4","2.39","2.43","1","4","2","2"
"2003","35-65 y.","1-pers.-HH","2.45","2","1241","2","2","3","3","4","2.41","2.49","1","4","2","2"
"2003","35-65 y.","Couple + C. GT 16 ","2.36","2","2303","2","2","3","3","4","2.33","2.39","1","4","2","2"
"2003","35-65 y.","Couple + C. LE 16","2.41","2","2977","2","2","3","3","4","2.39","2.43","1","4","2","2"
"2003","35-65 y.","Couple + C. LE and GT 16","2.4","2","1159","2","2","3","3","4","2.36","2.44","1","4","2","2"
"2003","35-65 y.","Single parent","2.41","2","569","2","2","3","3","4","2.35","2.47","1","4","2","2"
"2003","66 and older","(Married) couple without C.","2.3","2","2230","2","2","3","3","4","2.27","2.33","1","4","2","2"
"2003","66 and older","1-pers.-HH","2.3","2","1060","1","2","3","3","4","2.26","2.34","1","4","2","2"
"2003","66 and older","Couple + C. GT 16 ","2.44","2","179","2","2","3","3","4","2.34","2.54","1","4","2","2"
"2003","66 and older","Couple + C. LE 16","","","","","","","","","","","","","",""
"2003","66 and older","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2003","66 and older","Single parent","2.24","2","74","1","2","3","3","4","2.07","2.41","1","4","2","2"
"2004","16-34 y.","(Married) couple without C.","","","","","","","","","","","","","",""
"2004","16-34 y.","1-pers.-HH","","","","","","","","","","","","","",""
"2004","16-34 y.","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2004","16-34 y.","Couple + C. LE 16","","","","","","","","","","","","","",""
"2004","16-34 y.","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2004","16-34 y.","Single parent","","","","","","","","","","","","","",""
"2004","35-65 y.","(Married) couple without C.","","","","","","","","","","","","","",""
"2004","35-65 y.","1-pers.-HH","","","","","","","","","","","","","",""
"2004","35-65 y.","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2004","35-65 y.","Couple + C. LE 16","","","","","","","","","","","","","",""
"2004","35-65 y.","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2004","35-65 y.","Single parent","","","","","","","","","","","","","",""
"2004","66 and older","(Married) couple without C.","","","","","","","","","","","","","",""
"2004","66 and older","1-pers.-HH","","","","","","","","","","","","","",""
"2004","66 and older","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2004","66 and older","Couple + C. LE 16","","","","","","","","","","","","","",""
"2004","66 and older","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2004","66 and older","Single parent","","","","","","","","","","","","","",""
"2005","16-34 y.","(Married) couple without C.","","","","","","","","","","","","","",""
"2005","16-34 y.","1-pers.-HH","","","","","","","","","","","","","",""
"2005","16-34 y.","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2005","16-34 y.","Couple + C. LE 16","","","","","","","","","","","","","",""
"2005","16-34 y.","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2005","16-34 y.","Single parent","","","","","","","","","","","","","",""
"2005","35-65 y.","(Married) couple without C.","","","","","","","","","","","","","",""
"2005","35-65 y.","1-pers.-HH","","","","","","","","","","","","","",""
"2005","35-65 y.","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2005","35-65 y.","Couple + C. LE 16","","","","","","","","","","","","","",""
"2005","35-65 y.","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2005","35-65 y.","Single parent","","","","","","","","","","","","","",""
"2005","66 and older","(Married) couple without C.","","","","","","","","","","","","","",""
"2005","66 and older","1-pers.-HH","","","","","","","","","","","","","",""
"2005","66 and older","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2005","66 and older","Couple + C. LE 16","","","","","","","","","","","","","",""
"2005","66 and older","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2005","66 and older","Single parent","","","","","","","","","","","","","",""
"2006","16-34 y.","(Married) couple without C.","","","","","","","","","","","","","",""
"2006","16-34 y.","1-pers.-HH","","","","","","","","","","","","","",""
"2006","16-34 y.","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2006","16-34 y.","Couple + C. LE 16","","","","","","","","","","","","","",""
"2006","16-34 y.","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2006","16-34 y.","Single parent","","","","","","","","","","","","","",""
"2006","35-65 y.","(Married) couple without C.","","","","","","","","","","","","","",""
"2006","35-65 y.","1-pers.-HH","","","","","","","","","","","","","",""
"2006","35-65 y.","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2006","35-65 y.","Couple + C. LE 16","","","","","","","","","","","","","",""
"2006","35-65 y.","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2006","35-65 y.","Single parent","","","","","","","","","","","","","",""
"2006","66 and older","(Married) couple without C.","","","","","","","","","","","","","",""
"2006","66 and older","1-pers.-HH","","","","","","","","","","","","","",""
"2006","66 and older","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2006","66 and older","Couple + C. LE 16","","","","","","","","","","","","","",""
"2006","66 and older","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2006","66 and older","Single parent","","","","","","","","","","","","","",""
"2007","16-34 y.","(Married) couple without C.","","","","","","","","","","","","","",""
"2007","16-34 y.","1-pers.-HH","","","","","","","","","","","","","",""
"2007","16-34 y.","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2007","16-34 y.","Couple + C. LE 16","","","","","","","","","","","","","",""
"2007","16-34 y.","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2007","16-34 y.","Single parent","","","","","","","","","","","","","",""
"2007","35-65 y.","(Married) couple without C.","","","","","","","","","","","","","",""
"2007","35-65 y.","1-pers.-HH","","","","","","","","","","","","","",""
"2007","35-65 y.","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2007","35-65 y.","Couple + C. LE 16","","","","","","","","","","","","","",""
"2007","35-65 y.","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2007","35-65 y.","Single parent","","","","","","","","","","","","","",""
"2007","66 and older","(Married) couple without C.","","","","","","","","","","","","","",""
"2007","66 and older","1-pers.-HH","","","","","","","","","","","","","",""
"2007","66 and older","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2007","66 and older","Couple + C. LE 16","","","","","","","","","","","","","",""
"2007","66 and older","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2007","66 and older","Single parent","","","","","","","","","","","","","",""
"2008","16-34 y.","(Married) couple without C.","2.42","2","811","2","2","3","3","4","2.38","2.46","1","4","2","2"
"2008","16-34 y.","1-pers.-HH","2.41","2","608","2","2","3","3","4","2.36","2.46","1","4","2","2"
"2008","16-34 y.","Couple + C. GT 16 ","2.38","2","1151","2","2","3","3","4","2.34","2.42","1","4","2","2"
"2008","16-34 y.","Couple + C. LE 16","2.41","2","868","2","2","3","3","4","2.37","2.45","1","4","2","2"
"2008","16-34 y.","Couple + C. LE and GT 16","2.33","2","381","2","2","3","3","4","2.26","2.4","1","4","2","2"
"2008","16-34 y.","Single parent","2.37","2","441","2","2","3","3","4","2.31","2.43","1","4","2","2"
"2008","35-65 y.","(Married) couple without C.","2.45","2","3466","2","2","3","3","4","2.43","2.47","1","4","2","2"
"2008","35-65 y.","1-pers.-HH","2.47","2","1228","2","2","3","3","4","2.43","2.51","1","4","2","2"
"2008","35-65 y.","Couple + C. GT 16 ","2.43","2","2028","2","2","3","3","4","2.4","2.46","1","4","2","2"
"2008","35-65 y.","Couple + C. LE 16","2.39","2","2337","2","2","3","3","4","2.36","2.42","1","4","2","2"
"2008","35-65 y.","Couple + C. LE and GT 16","2.35","2","832","2","2","3","3","4","2.31","2.39","1","4","2","2"
"2008","35-65 y.","Single parent","2.53","3","579","2","2","3","3","4","2.47","2.59","1","4","2","3"
"2008","66 and older","(Married) couple without C.","2.34","2","2785","2","2","3","3","4","2.32","2.36","1","4","2","2"
"2008","66 and older","1-pers.-HH","2.36","2","1212","2","2","3","3","4","2.32","2.4","1","4","2","2"
"2008","66 and older","Couple + C. GT 16 ","2.45","2","182","2","2","3","3","4","2.34","2.56","1","4","2","3"
"2008","66 and older","Couple + C. LE 16","","","","","","","","","","","","","",""
"2008","66 and older","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2008","66 and older","Single parent","2.37","2","65","2","2","3","3","4","2.18","2.56","1","4","2","3"
"2009","16-34 y.","(Married) couple without C.","","","","","","","","","","","","","",""
"2009","16-34 y.","1-pers.-HH","","","","","","","","","","","","","",""
"2009","16-34 y.","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2009","16-34 y.","Couple + C. LE 16","","","","","","","","","","","","","",""
"2009","16-34 y.","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2009","16-34 y.","Single parent","","","","","","","","","","","","","",""
"2009","35-65 y.","(Married) couple without C.","","","","","","","","","","","","","",""
"2009","35-65 y.","1-pers.-HH","","","","","","","","","","","","","",""
"2009","35-65 y.","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2009","35-65 y.","Couple + C. LE 16","","","","","","","","","","","","","",""
"2009","35-65 y.","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2009","35-65 y.","Single parent","","","","","","","","","","","","","",""
"2009","66 and older","(Married) couple without C.","","","","","","","","","","","","","",""
"2009","66 and older","1-pers.-HH","","","","","","","","","","","","","",""
"2009","66 and older","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2009","66 and older","Couple + C. LE 16","","","","","","","","","","","","","",""
"2009","66 and older","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2009","66 and older","Single parent","","","","","","","","","","","","","",""
"2010","16-34 y.","(Married) couple without C.","","","","","","","","","","","","","",""
"2010","16-34 y.","1-pers.-HH","","","","","","","","","","","","","",""
"2010","16-34 y.","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2010","16-34 y.","Couple + C. LE 16","","","","","","","","","","","","","",""
"2010","16-34 y.","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2010","16-34 y.","Single parent","","","","","","","","","","","","","",""
"2010","35-65 y.","(Married) couple without C.","","","","","","","","","","","","","",""
"2010","35-65 y.","1-pers.-HH","","","","","","","","","","","","","",""
"2010","35-65 y.","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2010","35-65 y.","Couple + C. LE 16","","","","","","","","","","","","","",""
"2010","35-65 y.","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2010","35-65 y.","Single parent","","","","","","","","","","","","","",""
"2010","66 and older","(Married) couple without C.","","","","","","","","","","","","","",""
"2010","66 and older","1-pers.-HH","","","","","","","","","","","","","",""
"2010","66 and older","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2010","66 and older","Couple + C. LE 16","","","","","","","","","","","","","",""
"2010","66 and older","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2010","66 and older","Single parent","","","","","","","","","","","","","",""
"2011","16-34 y.","(Married) couple without C.","","","","","","","","","","","","","",""
"2011","16-34 y.","1-pers.-HH","","","","","","","","","","","","","",""
"2011","16-34 y.","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2011","16-34 y.","Couple + C. LE 16","","","","","","","","","","","","","",""
"2011","16-34 y.","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2011","16-34 y.","Single parent","","","","","","","","","","","","","",""
"2011","35-65 y.","(Married) couple without C.","","","","","","","","","","","","","",""
"2011","35-65 y.","1-pers.-HH","","","","","","","","","","","","","",""
"2011","35-65 y.","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2011","35-65 y.","Couple + C. LE 16","","","","","","","","","","","","","",""
"2011","35-65 y.","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2011","35-65 y.","Single parent","","","","","","","","","","","","","",""
"2011","66 and older","(Married) couple without C.","","","","","","","","","","","","","",""
"2011","66 and older","1-pers.-HH","","","","","","","","","","","","","",""
"2011","66 and older","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2011","66 and older","Couple + C. LE 16","","","","","","","","","","","","","",""
"2011","66 and older","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2011","66 and older","Single parent","","","","","","","","","","","","","",""
"2012","16-34 y.","(Married) couple without C.","","","","","","","","","","","","","",""
"2012","16-34 y.","1-pers.-HH","","","","","","","","","","","","","",""
"2012","16-34 y.","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2012","16-34 y.","Couple + C. LE 16","","","","","","","","","","","","","",""
"2012","16-34 y.","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2012","16-34 y.","Single parent","","","","","","","","","","","","","",""
"2012","35-65 y.","(Married) couple without C.","","","","","","","","","","","","","",""
"2012","35-65 y.","1-pers.-HH","","","","","","","","","","","","","",""
"2012","35-65 y.","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2012","35-65 y.","Couple + C. LE 16","","","","","","","","","","","","","",""
"2012","35-65 y.","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2012","35-65 y.","Single parent","","","","","","","","","","","","","",""
