"year","sampreg","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2003","East Germany","Female","2.51","2","2764","2","2","3","3","4","2.49","2.53","1","4","2","2"
"2003","East Germany","Male","2.5","2","2589","2","2","3","3","4","2.47","2.53","1","4","2","2"
"2003","West Germany","Female","2.36","2","8726","2","2","3","3","4","2.35","2.37","1","4","2","2"
"2003","West Germany","Male","2.37","2","8099","2","2","3","3","4","2.36","2.38","1","4","2","2"
"2004","East Germany","Female","","","","","","","","","","","","","",""
"2004","East Germany","Male","","","","","","","","","","","","","",""
"2004","West Germany","Female","","","","","","","","","","","","","",""
"2004","West Germany","Male","","","","","","","","","","","","","",""
"2005","East Germany","Female","","","","","","","","","","","","","",""
"2005","East Germany","Male","","","","","","","","","","","","","",""
"2005","West Germany","Female","","","","","","","","","","","","","",""
"2005","West Germany","Male","","","","","","","","","","","","","",""
"2006","East Germany","Female","","","","","","","","","","","","","",""
"2006","East Germany","Male","","","","","","","","","","","","","",""
"2006","West Germany","Female","","","","","","","","","","","","","",""
"2006","West Germany","Male","","","","","","","","","","","","","",""
"2007","East Germany","Female","","","","","","","","","","","","","",""
"2007","East Germany","Male","","","","","","","","","","","","","",""
"2007","West Germany","Female","","","","","","","","","","","","","",""
"2007","West Germany","Male","","","","","","","","","","","","","",""
"2008","East Germany","Female","2.45","2","2479","2","2","3","3","4","2.42","2.48","1","4","2","2"
"2008","East Germany","Male","2.48","2","2309","2","2","3","3","4","2.45","2.51","1","4","2","2"
"2008","West Germany","Female","2.37","2","7665","2","2","3","3","4","2.36","2.38","1","4","2","2"
"2008","West Germany","Male","2.42","2","6919","2","2","3","3","4","2.4","2.44","1","4","2","2"
"2009","East Germany","Female","","","","","","","","","","","","","",""
"2009","East Germany","Male","","","","","","","","","","","","","",""
"2009","West Germany","Female","","","","","","","","","","","","","",""
"2009","West Germany","Male","","","","","","","","","","","","","",""
"2010","East Germany","Female","","","","","","","","","","","","","",""
"2010","East Germany","Male","","","","","","","","","","","","","",""
"2010","West Germany","Female","","","","","","","","","","","","","",""
"2010","West Germany","Male","","","","","","","","","","","","","",""
"2011","East Germany","Female","","","","","","","","","","","","","",""
"2011","East Germany","Male","","","","","","","","","","","","","",""
"2011","West Germany","Female","","","","","","","","","","","","","",""
"2011","West Germany","Male","","","","","","","","","","","","","",""
"2012","East Germany","Female","","","","","","","","","","","","","",""
"2012","East Germany","Male","","","","","","","","","","","","","",""
"2012","West Germany","Female","","","","","","","","","","","","","",""
"2012","West Germany","Male","","","","","","","","","","","","","",""
"2013","East Germany","Female","2.39","2","3122","2","2","3","3","4","2.37","2.41","1","4","2","2"
"2013","East Germany","Male","2.42","2","2608","2","2","3","3","4","2.39","2.45","1","4","2","2"
"2013","West Germany","Female","2.29","2","10868","2","2","3","3","4","2.28","2.3","1","4","2","2"
"2013","West Germany","Male","2.3","2","8931","2","2","3","3","4","2.29","2.31","1","4","2","2"
"2014","East Germany","Female","","","","","","","","","","","","","",""
"2014","East Germany","Male","","","","","","","","","","","","","",""
"2014","West Germany","Female","","","","","","","","","","","","","",""
"2014","West Germany","Male","","","","","","","","","","","","","",""
"2015","East Germany","Female","","","","","","","","","","","","","",""
"2015","East Germany","Male","","","","","","","","","","","","","",""
"2015","West Germany","Female","","","","","","","","","","","","","",""
"2015","West Germany","Male","","","","","","","","","","","","","",""
"2016","East Germany","Female","","","","","","","","","","","","","",""
"2016","East Germany","Male","","","","","","","","","","","","","",""
"2016","West Germany","Female","","","","","","","","","","","","","",""
"2016","West Germany","Male","","","","","","","","","","","","","",""
"2017","East Germany","Female","","","","","","","","","","","","","",""
"2017","East Germany","Male","","","","","","","","","","","","","",""
"2017","West Germany","Female","","","","","","","","","","","","","",""
"2017","West Germany","Male","","","","","","","","","","","","","",""
"2018","East Germany","Female","2.34","2","3180","2","2","3","3","4","2.32","2.36","1","4","2","2"
"2018","East Germany","Male","2.37","2","2870","2","2","3","3","4","2.34","2.4","1","4","2","2"
"2018","West Germany","Female","2.26","2","12122","2","2","3","3","4","2.25","2.27","1","4","2","2"
"2018","West Germany","Male","2.29","2","11323","2","2","3","3","4","2.28","2.3","1","4","2","2"
