"year","e11103","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2004","Full Time","4.93","5","8438","2","3","7","8","10","4.88","4.98","0","10","5","5"
"2004","Not Working","3.59","4","8150","0","2","5","7","9","3.54","3.64","0","10","4","4"
"2004","Part Time","4.42","5","5008","1","3","6","7","10","4.36","4.48","0","10","5","5"
"2005","Full Time","","","","","","","","","","","","","",""
"2005","Not Working","","","","","","","","","","","","","",""
"2005","Part Time","","","","","","","","","","","","","",""
"2006","Full Time","5.17","5","8401","2","4","7","8","10","5.12","5.22","0","10","5","5"
"2006","Not Working","4.17","5","8533","1","2","6","7","10","4.12","4.22","0","10","5","5"
"2006","Part Time","4.85","5","5000","2","3","6","8","10","4.79","4.91","0","10","5","5"
"2007","Full Time","","","","","","","","","","","","","",""
"2007","Not Working","","","","","","","","","","","","","",""
"2007","Part Time","","","","","","","","","","","","","",""
"2008","Full Time","4.82","5","7494","2","3","7","8","10","4.77","4.87","0","10","5","5"
"2008","Not Working","3.96","4","7476","1","2","5","7","10","3.91","4.01","0","10","4","4"
"2008","Part Time","4.53","5","4419","2","3","6","8","10","4.46","4.6","0","10","4","5"
"2009","Full Time","4.26","4","6996","2","3","6","7","9","4.21","4.31","0","10","4","4"
"2009","Not Working","3.14","3","6828","0","1","5","6","9","3.09","3.19","0","10","3","3"
"2009","Part Time","3.93","4","4225","1","2","5","7","9","3.87","3.99","0","10","4","4"
"2010","Full Time","4.7","5","9230","2","3","6","8","10","4.65","4.75","0","10","5","5"
"2010","Not Working","3.76","4","8410","0","2","5","7","10","3.71","3.81","0","10","4","4"
"2010","Part Time","4.41","5","6347","1","3","6","7","10","4.35","4.47","0","10","4","5"
"2011","Full Time","5","5","7795","2","3","7","8","10","4.95","5.05","0","10","5","5"
"2011","Not Working","3.95","4","8118","1","2","5","7","9","3.9","4","0","10","4","4"
"2011","Part Time","4.66","5","4889","2","3","6","7","10","4.6","4.72","0","10","5","5"
"2012","Full Time","5.27","5","10414","2","4","7","8","10","5.23","5.31","0","10","5","5"
"2012","Not Working","4.32","5","9793","1","3","6","7","10","4.27","4.37","0","10","5","5"
"2012","Part Time","4.87","5","7457","2","3","7","8","10","4.82","4.92","0","10","5","5"
"2013","Full Time","4.88","5","6989","2","3","7","8","10","4.83","4.93","0","10","5","5"
"2013","Not Working","4.21","4","12297","1","2","6","8","10","4.16","4.26","0","10","5","5"
"2013","Part Time","4.54","5","4595","1","3","6","8","10","4.47","4.61","0","10","5","5"
"2014","Full Time","5.21","5","10185","2","4","7","8","10","5.17","5.25","0","10","5","5"
"2014","Not Working","4.23","5","9325","1","2","6","8","10","4.18","4.28","0","10","5","5"
"2014","Part Time","4.8","5","7516","2","3","7","8","10","4.75","4.85","0","10","5","5"
"2015","Full Time","5.28","5","9507","2","4","7","8","10","5.23","5.33","0","10","5","5"
"2015","Not Working","4.37","5","10253","1","2","6","8","10","4.32","4.42","0","10","5","5"
"2015","Part Time","4.89","5","7132","2","3","7","8","10","4.84","4.94","0","10","5","5"
"2016","Full Time","5.28","5","9181","2","4","7","8","10","5.23","5.33","0","10","5","5"
"2016","Not Working","4.38","5","12374","1","2","6","8","10","4.33","4.43","0","10","5","5"
"2016","Part Time","4.94","5","6970","2","3","7","8","10","4.88","5","0","10","5","5"
"2017","Full Time","5.16","5","10460","2","3","7","8","10","5.12","5.2","0","10","5","5"
"2017","Not Working","4.27","4","13742","1","2","6","8","10","4.22","4.32","0","10","5","5"
"2017","Part Time","4.75","5","7839","2","3","7","8","10","4.7","4.8","0","10","5","5"
"2018","Full Time","4.84","5","10082","2","3","7","8","10","4.79","4.89","0","10","5","5"
"2018","Not Working","3.98","4","11966","1","2","6","7","10","3.93","4.03","0","10","4","4"
"2018","Part Time","4.39","4","7897","1","2","6","8","10","4.34","4.44","0","10","4","5"
"2019","Full Time","5.4","6","10856","2","4","7","8","10","5.36","5.44","0","10","6","6"
"2019","Not Working","4.53","5","11018","1","3","6","8","10","4.48","4.58","0","10","5","5"
"2019","Part Time","4.99","5","7744","2","3","7","8","10","4.93","5.05","0","10","5","5"
