"year","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","East Germany","6.49","7","5051","5","6","7","7","7","6.47","6.51","1","7","7","7"
"2005","West Germany","6.45","7","15672","5","6","7","7","7","6.44","6.46","1","7","7","7"
"2006","East Germany","","","","","","","","","","","","","",""
"2006","West Germany","","","","","","","","","","","","","",""
"2007","East Germany","","","","","","","","","","","","","",""
"2007","West Germany","","","","","","","","","","","","","",""
"2008","East Germany","","","","","","","","","","","","","",""
"2008","West Germany","","","","","","","","","","","","","",""
"2009","East Germany","","","","","","","","","","","","","",""
"2009","West Germany","","","","","","","","","","","","","",""
"2010","East Germany","6.39","7","4137","5","6","7","7","7","6.36","6.42","1","7","7","7"
"2010","West Germany","6.4","7","12554","5","6","7","7","7","6.38","6.42","1","7","7","7"
"2011","East Germany","","","","","","","","","","","","","",""
"2011","West Germany","","","","","","","","","","","","","",""
"2012","East Germany","","","","","","","","","","","","","",""
"2012","West Germany","","","","","","","","","","","","","",""
"2013","East Germany","","","","","","","","","","","","","",""
"2013","West Germany","","","","","","","","","","","","","",""
"2014","East Germany","","","","","","","","","","","","","",""
"2014","West Germany","","","","","","","","","","","","","",""
"2015","East Germany","6.37","7","5438","5","6","7","7","7","6.34","6.4","1","7","7","7"
"2015","West Germany","6.4","7","21325","5","6","7","7","7","6.39","6.41","1","7","7","7"
"2016","East Germany","6.68","7","741","6","7","7","7","7","6.62","6.74","1","7","7","7"
"2016","West Germany","6.52","7","3659","5","6","7","7","7","6.5","6.54","1","7","7","7"
"2017","East Germany","6.88","7","265","7","7","7","7","7","6.82","6.94","4","7","7","7"
"2017","West Germany","6.79","7","2613","6","7","7","7","7","6.77","6.81","1","7","7","7"
"2018","East Germany","6.83","7","49","6","7","7","7","7","6.71","6.95","5","7","7","7"
"2018","West Germany","6.81","7","374","6","7","7","7","7","6.75","6.87","1","7","7","7"
"2019","East Germany","","","","","","","","","","","","","",""
"2019","West Germany","6.74","7","256","6","7","7","7","7","6.64","6.84","1","7","7","7"
