"year","e11102","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","Employed","college entrance qualification","2.76","2","3942","1","2","4","5","7","2.71","2.81","1","7","2","3"
"2005","Employed","lower secondary degree","3.1","3","3309","1","2","4","6","7","3.04","3.16","1","7","3","3"
"2005","Employed","no degree/no degree yet","2.8","3","193","1","2","4","5","7","2.59","3.01","1","7","2","3"
"2005","Employed","Other degree","2.86","3","640","1","1","4","5","7","2.73","2.99","1","7","2","3"
"2005","Employed","secondary school degree","2.98","3","4482","1","2","4","5","7","2.93","3.03","1","7","3","3"
"2005","Not Employed","college entrance qualification","2.61","2","1241","1","1","4","5","7","2.53","2.69","1","7","2","2"
"2005","Not Employed","lower secondary degree","2.77","2","3745","1","1","4","5","7","2.72","2.82","1","7","2","3"
"2005","Not Employed","no degree/no degree yet","3.06","3","699","1","1","4","6","7","2.93","3.19","1","7","3","3"
"2005","Not Employed","Other degree","2.81","2","475","1","1","4","6","7","2.64","2.98","1","7","2","3"
"2005","Not Employed","secondary school degree","2.61","2","1521","1","1","4","5","7","2.53","2.69","1","7","2","2"
"2006","Employed","college entrance qualification","","","","","","","","","","","","","",""
"2006","Employed","lower secondary degree","","","","","","","","","","","","","",""
"2006","Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2006","Employed","Other degree","","","","","","","","","","","","","",""
"2006","Employed","secondary school degree","","","","","","","","","","","","","",""
"2006","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"2006","Not Employed","lower secondary degree","","","","","","","","","","","","","",""
"2006","Not Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2006","Not Employed","Other degree","","","","","","","","","","","","","",""
"2006","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"2007","Employed","college entrance qualification","","","","","","","","","","","","","",""
"2007","Employed","lower secondary degree","","","","","","","","","","","","","",""
"2007","Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2007","Employed","Other degree","","","","","","","","","","","","","",""
"2007","Employed","secondary school degree","","","","","","","","","","","","","",""
"2007","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"2007","Not Employed","lower secondary degree","","","","","","","","","","","","","",""
"2007","Not Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2007","Not Employed","Other degree","","","","","","","","","","","","","",""
"2007","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"2008","Employed","college entrance qualification","","","","","","","","","","","","","",""
