"year","e11102","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","Employed","(0) in school","5.83","6","103","4","5","7","7","7","5.62","6.04","3","7","6","6"
"2005","Employed","(1a) inadequately completed","5.87","6","88","4","6","7","7","7","5.62","6.12","1","7","6","7"
"2005","Employed","(1b) general elementary school","5.98","6","697","4","5","7","7","7","5.89","6.07","1","7","6","6"
"2005","Employed","(1c) basic vocational qualification","5.99","6","2902","4","5","7","7","7","5.95","6.03","1","7","6","6"
"2005","Employed","(2a) intermediate vocational","5.94","6","3664","4","5","7","7","7","5.9","5.98","1","7","6","6"
"2005","Employed","(2b) intermediate general qualification","5.93","6","369","4","5","7","7","7","5.82","6.04","1","7","6","6"
"2005","Employed","(2c_gen) general maturity certificate","5.72","6","477","4","5","7","7","7","5.61","5.83","1","7","6","6"
"2005","Employed","(2c_voc) vocational maturity certificate","5.8","6","1137","4","5","7","7","7","5.73","5.87","1","7","6","6"
"2005","Employed","(3a) lower tertiary education","5.87","6","1183","4","5","7","7","7","5.81","5.93","1","7","6","6"
"2005","Employed","(3b) higher tertiary education","5.81","6","1981","4","5","7","7","7","5.76","5.86","1","7","6","6"
"2005","Not Employed","(0) in school","5.75","6","549","4","5","7","7","7","5.64","5.86","1","7","6","6"
"2005","Not Employed","(1a) inadequately completed","5.9","6","154","4","5","7","7","7","5.69","6.11","1","7","6","7"
"2005","Not Employed","(1b) general elementary school","5.76","6","1159","4","5","7","7","7","5.69","5.83","1","7","6","6"
"2005","Not Employed","(1c) basic vocational qualification","5.9","6","2808","4","5","7","7","7","5.85","5.95","1","7","6","6"
"2005","Not Employed","(2a) intermediate vocational","5.88","6","1132","4","5","7","7","7","5.81","5.95","1","7","6","6"
"2005","Not Employed","(2b) intermediate general qualification","5.77","6","210","4","5","7","7","7","5.59","5.95","1","7","6","6"
"2005","Not Employed","(2c_gen) general maturity certificate","5.61","6","318","4","5","6","7","7","5.48","5.74","1","7","6","6"
"2005","Not Employed","(2c_voc) vocational maturity certificate","5.89","6","377","4","5","7","7","7","5.77","6.01","1","7","6","6"
"2005","Not Employed","(3a) lower tertiary education","5.99","6","461","4","5","7","7","7","5.89","6.09","1","7","6","6"
"2005","Not Employed","(3b) higher tertiary education","6.01","6","540","4","5","7","7","7","5.92","6.1","2","7","6","6"
"2006","Employed","(0) in school","","","","","","","","","","","","","",""
"2006","Employed","(1a) inadequately completed","","","","","","","","","","","","","",""
"2006","Employed","(1b) general elementary school","","","","","","","","","","","","","",""
"2006","Employed","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"2006","Employed","(2a) intermediate vocational","","","","","","","","","","","","","",""
