"year","e11103","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","Full Time","general elemantary","5.95","6","553","4","5","7","7","7","5.85","6.05","1","7","6","6"
"2005","Full Time","higher education","5.84","6","2233","4","5","7","7","7","5.79","5.89","1","7","6","6"
"2005","Full Time","higher vocational","5.78","6","769","4","5","7","7","7","5.7","5.86","1","7","6","6"
"2005","Full Time","in school","","","","","","","","","","","","","",""
"2005","Full Time","inadequately","5.88","6","49","4","5","7","7","7","5.54","6.22","3","7","6","7"
"2005","Full Time","middle vocational","5.98","6","3813","4","5","7","7","7","5.94","6.02","1","7","6","6"
"2005","Full Time","vocational + Abi","5.75","6","528","4","5","7","7","7","5.65","5.85","1","7","6","6"
"2005","Not Working","general elemantary","5.76","6","1348","4","5","7","7","7","5.69","5.83","1","7","6","6"
"2005","Not Working","higher education","6","6","1001","4","5","7","7","7","5.93","6.07","1","7","6","6"
"2005","Not Working","higher vocational","5.85","6","457","4","5","7","7","7","5.73","5.97","1","7","6","6"
"2005","Not Working","in school","5.75","6","549","4","5","7","7","7","5.64","5.86","1","7","6","6"
"2005","Not Working","inadequately","5.95","7","148","4","5","7","7","7","5.74","6.16","1","7","6","7"
"2005","Not Working","middle vocational","5.89","6","3928","4","5","7","7","7","5.85","5.93","1","7","6","6"
"2005","Not Working","vocational + Abi","5.87","6","284","4","5","7","7","7","5.73","6.01","1","7","6","6"
"2005","Part Time","general elemantary","5.98","6","497","4","5","7","7","7","5.88","6.08","2","7","6","6"
"2005","Part Time","higher education","5.84","6","931","4","5","7","7","7","5.77","5.91","1","7","6","6"
"2005","Part Time","higher vocational","5.99","6","333","4","5","7","7","7","5.87","6.11","1","7","6","6"
"2005","Part Time","in school","5.81","6","96","4","5","7","7","7","5.59","6.03","3","7","6","6"
"2005","Part Time","inadequately","6.21","6","36","5","6","7","7","7","5.88","6.54","4","7","6","7"
"2005","Part Time","middle vocational","5.94","6","2504","4","5","7","7","7","5.89","5.99","1","7","6","6"
"2005","Part Time","vocational + Abi","5.75","6","320","4","5","7","7","7","5.62","5.88","1","7","6","6"
"2006","Full Time","general elemantary","","","","","","","","","","","","","",""
"2006","Full Time","higher education","","","","","","","","","","","","","",""
"2006","Full Time","higher vocational","","","","","","","","","","","","","",""
"2006","Full Time","in school","","","","","","","","","","","","","",""
"2006","Full Time","inadequately","","","","","","","","","","","","","",""
"2006","Full Time","middle vocational","","","","","","","","","","","","","",""
"2006","Full Time","vocational + Abi","","","","","","","","","","","","","",""
"2006","Not Working","general elemantary","","","","","","","","","","","","","",""
"2006","Not Working","higher education","","","","","","","","","","","","","",""
"2006","Not Working","higher vocational","","","","","","","","","","","","","",""
"2006","Not Working","in school","","","","","","","","","","","","","",""
"2006","Not Working","inadequately","","","","","","","","","","","","","",""
"2006","Not Working","middle vocational","","","","","","","","","","","","","",""
"2006","Not Working","vocational + Abi","","","","","","","","","","","","","",""
"2006","Part Time","general elemantary","","","","","","","","","","","","","",""
"2006","Part Time","higher education","","","","","","","","","","","","","",""
"2006","Part Time","higher vocational","","","","","","","","","","","","","",""
"2006","Part Time","in school","","","","","","","","","","","","","",""
"2006","Part Time","inadequately","","","","","","","","","","","","","",""
"2006","Part Time","middle vocational","","","","","","","","","","","","","",""
"2006","Part Time","vocational + Abi","","","","","","","","","","","","","",""
"2007","Full Time","general elemantary","","","","","","","","","","","","","",""
"2007","Full Time","higher education","","","","","","","","","","","","","",""
"2007","Full Time","higher vocational","","","","","","","","","","","","","",""
"2007","Full Time","in school","","","","","","","","","","","","","",""
"2007","Full Time","inadequately","","","","","","","","","","","","","",""
"2007","Full Time","middle vocational","","","","","","","","","","","","","",""
"2007","Full Time","vocational + Abi","","","","","","","","","","","","","",""
"2007","Not Working","general elemantary","","","","","","","","","","","","","",""
"2007","Not Working","higher education","","","","","","","","","","","","","",""
"2007","Not Working","higher vocational","","","","","","","","","","","","","",""
"2007","Not Working","in school","","","","","","","","","","","","","",""
"2007","Not Working","inadequately","","","","","","","","","","","","","",""
"2007","Not Working","middle vocational","","","","","","","","","","","","","",""
"2007","Not Working","vocational + Abi","","","","","","","","","","","","","",""
"2007","Part Time","general elemantary","","","","","","","","","","","","","",""
"2007","Part Time","higher education","","","","","","","","","","","","","",""
"2007","Part Time","higher vocational","","","","","","","","","","","","","",""
"2007","Part Time","in school","","","","","","","","","","","","","",""
"2007","Part Time","inadequately","","","","","","","","","","","","","",""
"2007","Part Time","middle vocational","","","","","","","","","","","","","",""
"2007","Part Time","vocational + Abi","","","","","","","","","","","","","",""
"2008","Full Time","general elemantary","","","","","","","","","","","","","",""
"2008","Full Time","higher education","","","","","","","","","","","","","",""
"2008","Full Time","higher vocational","","","","","","","","","","","","","",""
"2008","Full Time","in school","","","","","","","","","","","","","",""
"2008","Full Time","inadequately","","","","","","","","","","","","","",""
"2008","Full Time","middle vocational","","","","","","","","","","","","","",""
"2008","Full Time","vocational + Abi","","","","","","","","","","","","","",""
"2008","Not Working","general elemantary","","","","","","","","","","","","","",""
"2008","Not Working","higher education","","","","","","","","","","","","","",""
"2008","Not Working","higher vocational","","","","","","","","","","","","","",""
"2008","Not Working","in school","","","","","","","","","","","","","",""
