"year","hgtyp1hh","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","(Married) couple without C.","East Germany","5.95","6","1755","4","5","7","7","7","5.9","6","1","7","6","6"
"2005","(Married) couple without C.","West Germany","5.95","6","5259","4","5","7","7","7","5.92","5.98","1","7","6","6"
"2005","1-pers.-HH","East Germany","6.03","6","730","4","6","7","7","7","5.95","6.11","1","7","6","6"
"2005","1-pers.-HH","West Germany","5.85","6","2231","4","5","7","7","7","5.8","5.9","1","7","6","6"
"2005","Couple + C. GT 16 ","East Germany","5.77","6","1050","4","5","7","7","7","5.7","5.84","1","7","6","6"
"2005","Couple + C. GT 16 ","West Germany","5.85","6","2593","4","5","7","7","7","5.81","5.89","1","7","6","6"
"2005","Couple + C. LE 16","East Germany","5.85","6","695","4","5","7","7","7","5.77","5.93","1","7","6","6"
"2005","Couple + C. LE 16","West Germany","5.9","6","3011","4","5","7","7","7","5.86","5.94","1","7","6","6"
"2005","Couple + C. LE and GT 16","East Germany","5.97","6","373","4","5","7","7","7","5.86","6.08","2","7","6","6"
"2005","Couple + C. LE and GT 16","West Germany","5.83","6","1332","4","5","7","7","7","5.77","5.89","1","7","6","6"
"2005","Single parent","East Germany","5.82","6","306","4","5","7","7","7","5.68","5.96","1","7","6","6"
"2005","Single parent","West Germany","5.83","6","792","4","5","7","7","7","5.74","5.92","1","7","6","6"
"2006","(Married) couple without C.","East Germany","","","","","","","","","","","","","",""
"2006","(Married) couple without C.","West Germany","","","","","","","","","","","","","",""
"2006","1-pers.-HH","East Germany","","","","","","","","","","","","","",""
"2006","1-pers.-HH","West Germany","","","","","","","","","","","","","",""
"2006","Couple + C. GT 16 ","East Germany","","","","","","","","","","","","","",""
"2006","Couple + C. GT 16 ","West Germany","","","","","","","","","","","","","",""
"2006","Couple + C. LE 16","East Germany","","","","","","","","","","","","","",""
"2006","Couple + C. LE 16","West Germany","","","","","","","","","","","","","",""
"2006","Couple + C. LE and GT 16","East Germany","","","","","","","","","","","","","",""
"2006","Couple + C. LE and GT 16","West Germany","","","","","","","","","","","","","",""
"2006","Single parent","East Germany","","","","","","","","","","","","","",""
"2006","Single parent","West Germany","","","","","","","","","","","","","",""
"2007","(Married) couple without C.","East Germany","","","","","","","","","","","","","",""
"2007","(Married) couple without C.","West Germany","","","","","","","","","","","","","",""
"2007","1-pers.-HH","East Germany","","","","","","","","","","","","","",""
"2007","1-pers.-HH","West Germany","","","","","","","","","","","","","",""
"2007","Couple + C. GT 16 ","East Germany","","","","","","","","","","","","","",""
"2007","Couple + C. GT 16 ","West Germany","","","","","","","","","","","","","",""
"2007","Couple + C. LE 16","East Germany","","","","","","","","","","","","","",""
"2007","Couple + C. LE 16","West Germany","","","","","","","","","","","","","",""
"2007","Couple + C. LE and GT 16","East Germany","","","","","","","","","","","","","",""
"2007","Couple + C. LE and GT 16","West Germany","","","","","","","","","","","","","",""
"2007","Single parent","East Germany","","","","","","","","","","","","","",""
"2007","Single parent","West Germany","","","","","","","","","","","","","",""
"2008","(Married) couple without C.","East Germany","","","","","","","","","","","","","",""
"2008","(Married) couple without C.","West Germany","","","","","","","","","","","","","",""
"2008","1-pers.-HH","East Germany","","","","","","","","","","","","","",""
"2008","1-pers.-HH","West Germany","","","","","","","","","","","","","",""
