"year","age_gr","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","16-34 y.","Ostdeutschland, neue Bundeslaender","3.72","4","1351","1","2","5","6","3.63","3.81","4","4"
"2005","16-34 y.","Westdeutschland, alte Bundeslaender","3.62","4","3960","1","2","5","6","3.57","3.67","3","4"
"2005","35-65 y.","Ostdeutschland, neue Bundeslaender","3.22","3","2731","1","2","4","6","3.16","3.28","3","3"
"2005","35-65 y.","Westdeutschland, alte Bundeslaender","3.23","3","8851","1","2","4","6","3.19","3.27","3","3"
"2005","66 and older","Ostdeutschland, neue Bundeslaender","3.03","3","965","1","1","4","6","2.92","3.14","3","3"
"2005","66 and older","Westdeutschland, alte Bundeslaender","2.94","3","2801","1","1","4","6","2.88","3","2","3"
"2006","16-34 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","16-34 y.","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","35-65 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","35-65 y.","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","66 and older","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","16-34 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","16-34 y.","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","35-65 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","35-65 y.","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","66 and older","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","16-34 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","16-34 y.","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","35-65 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","35-65 y.","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","66 and older","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2009","16-34 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2009","16-34 y.","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2009","35-65 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2009","35-65 y.","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2009","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2009","66 and older","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2010","16-34 y.","Ostdeutschland, neue Bundeslaender","3.62","4","897","2","2","5","6","3.51","3.73","3","4"
"2010","16-34 y.","Westdeutschland, alte Bundeslaender","3.46","3","2678","1","2","5","6","3.4","3.52","3","3"
"2010","35-65 y.","Ostdeutschland, neue Bundeslaender","3.18","3","2167","1","2","4","6","3.11","3.25","3","3"
"2010","35-65 y.","Westdeutschland, alte Bundeslaender","3.15","3","6888","1","2","4","6","3.11","3.19","3","3"
"2010","66 and older","Ostdeutschland, neue Bundeslaender","3.08","3","1068","1","1","4","6","2.97","3.19","3","3"
"2010","66 and older","Westdeutschland, alte Bundeslaender","2.92","3","2956","1","1","4","5","2.86","2.98","2","3"
"2011","16-34 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2011","16-34 y.","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
