"year","age_gr","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","16-34 y.","Rural Area","5.09","5","1761","3","4","6","7","7","5.02","5.16","1","7","5","5"
"2005","16-34 y.","Urban Area","5.17","5","3551","3","4","6","7","7","5.12","5.22","1","7","5","5"
"2005","35-65 y.","Rural Area","5.25","6","3812","3","4","7","7","7","5.2","5.3","1","7","6","6"
"2005","35-65 y.","Urban Area","5.32","6","7771","3","4","7","7","7","5.29","5.35","1","7","6","6"
"2005","66 and older","Rural Area","5.23","6","1253","3","4","7","7","7","5.15","5.31","1","7","5","6"
"2005","66 and older","Urban Area","5.26","6","2508","3","4","7","7","7","5.2","5.32","1","7","5","6"
"2006","16-34 y.","Rural Area","","","","","","","","","","","","","",""
"2006","16-34 y.","Urban Area","","","","","","","","","","","","","",""
"2006","35-65 y.","Rural Area","","","","","","","","","","","","","",""
"2006","35-65 y.","Urban Area","","","","","","","","","","","","","",""
"2006","66 and older","Rural Area","","","","","","","","","","","","","",""
"2006","66 and older","Urban Area","","","","","","","","","","","","","",""
"2007","16-34 y.","Rural Area","","","","","","","","","","","","","",""
"2007","16-34 y.","Urban Area","","","","","","","","","","","","","",""
"2007","35-65 y.","Rural Area","","","","","","","","","","","","","",""
"2007","35-65 y.","Urban Area","","","","","","","","","","","","","",""
"2007","66 and older","Rural Area","","","","","","","","","","","","","",""
"2007","66 and older","Urban Area","","","","","","","","","","","","","",""
"2008","16-34 y.","Rural Area","","","","","","","","","","","","","",""
"2008","16-34 y.","Urban Area","","","","","","","","","","","","","",""
"2008","35-65 y.","Rural Area","","","","","","","","","","","","","",""
"2008","35-65 y.","Urban Area","","","","","","","","","","","","","",""
"2008","66 and older","Rural Area","","","","","","","","","","","","","",""
"2008","66 and older","Urban Area","","","","","","","","","","","","","",""
"2009","16-34 y.","Rural Area","","","","","","","","","","","","","",""
"2009","16-34 y.","Urban Area","","","","","","","","","","","","","",""
"2009","35-65 y.","Rural Area","","","","","","","","","","","","","",""
"2009","35-65 y.","Urban Area","","","","","","","","","","","","","",""
"2009","66 and older","Rural Area","","","","","","","","","","","","","",""
"2009","66 and older","Urban Area","","","","","","","","","","","","","",""
"2010","16-34 y.","Rural Area","5.03","5","1168","3","4","6","7","7","4.95","5.11","1","7","5","5"
"2010","16-34 y.","Urban Area","5.23","5","2408","3","4","6","7","7","5.17","5.29","1","7","5","5"
"2010","35-65 y.","Rural Area","5.21","5","3112","3","4","6","7","7","5.16","5.26","1","7","5","5"
"2010","35-65 y.","Urban Area","5.22","5","5942","3","4","6","7","7","5.18","5.26","1","7","5","6"
"2010","66 and older","Rural Area","5.21","5","1363","3","4","6","7","7","5.13","5.29","1","7","5","6"
"2010","66 and older","Urban Area","5.2","5","2651","3","4","7","7","7","5.14","5.26","1","7","5","6"
"2011","16-34 y.","Rural Area","","","","","","","","","","","","","",""
"2011","16-34 y.","Urban Area","","","","","","","","","","","","","",""
"2011","35-65 y.","Rural Area","","","","","","","","","","","","","",""
"2011","35-65 y.","Urban Area","","","","","","","","","","","","","",""
"2011","66 and older","Rural Area","","","","","","","","","","","","","",""
"2011","66 and older","Urban Area","","","","","","","","","","","","","",""
"2012","16-34 y.","Rural Area","","","","","","","","","","","","","",""
"2012","16-34 y.","Urban Area","","","","","","","","","","","","","",""
