"year","e11103","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","Full Time","Female","6.4","7","2681","5","6","7","7","7","6.37","6.43","1","7","7","7"
"2005","Full Time","Male","6.29","6","5351","5","6","7","7","7","6.27","6.31","1","7","6","6"
"2005","Not Working","Female","6.04","6","4681","5","5","7","7","7","6.01","6.07","1","7","6","6"
"2005","Not Working","Male","5.99","6","3139","4","5","7","7","7","5.95","6.03","1","7","6","6"
"2005","Part Time","Female","6.26","7","3430","5","6","7","7","7","6.23","6.29","1","7","6","7"
"2005","Part Time","Male","6.08","6","1388","5","6","7","7","7","6.03","6.13","1","7","6","6"
"2006","Full Time","Female","","","","","","","","","","","","","",""
"2006","Full Time","Male","","","","","","","","","","","","","",""
"2006","Not Working","Female","","","","","","","","","","","","","",""
"2006","Not Working","Male","","","","","","","","","","","","","",""
"2006","Part Time","Female","","","","","","","","","","","","","",""
"2006","Part Time","Male","","","","","","","","","","","","","",""
"2007","Full Time","Female","","","","","","","","","","","","","",""
"2007","Full Time","Male","","","","","","","","","","","","","",""
"2007","Not Working","Female","","","","","","","","","","","","","",""
"2007","Not Working","Male","","","","","","","","","","","","","",""
"2007","Part Time","Female","","","","","","","","","","","","","",""
"2007","Part Time","Male","","","","","","","","","","","","","",""
"2008","Full Time","Female","","","","","","","","","","","","","",""
"2008","Full Time","Male","","","","","","","","","","","","","",""
"2008","Not Working","Female","","","","","","","","","","","","","",""
"2008","Not Working","Male","","","","","","","","","","","","","",""
"2008","Part Time","Female","","","","","","","","","","","","","",""
"2008","Part Time","Male","","","","","","","","","","","","","",""
"2009","Full Time","Female","6.33","7","2413","5","6","7","7","7","6.3","6.36","2","7","7","7"
"2009","Full Time","Male","6.16","6","4583","5","6","7","7","7","6.13","6.19","1","7","6","6"
"2009","Not Working","Female","6","6","3930","4","5","7","7","7","5.96","6.04","1","7","6","6"
"2009","Not Working","Male","5.9","6","2825","4","5","7","7","7","5.85","5.95","1","7","6","6"
