"year","age_gr","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","16-34 y.","5.54","6","5322","4","5","7","7","5.5","5.58","6","6"
"2005","35-65 y.","5.5","6","11607","4","5","7","7","5.48","5.52","6","6"
"2005","66 and older","5.38","6","3771","3","4","7","7","5.33","5.43","5","6"
"2006","16-34 y.","","","","","","","","","","",""
"2006","35-65 y.","","","","","","","","","","",""
"2006","66 and older","","","","","","","","","","",""
"2007","16-34 y.","","","","","","","","","","",""
"2007","35-65 y.","","","","","","","","","","",""
"2007","66 and older","","","","","","","","","","",""
"2008","16-34 y.","","","","","","","","","","",""
"2008","35-65 y.","","","","","","","","","","",""
"2008","66 and older","","","","","","","","","","",""
"2009","16-34 y.","5.45","6","3990","4","5","7","7","5.41","5.49","6","6"
"2009","35-65 y.","5.37","6","9861","3","4","7","7","5.34","5.4","6","6"
"2009","66 and older","5.29","5","4147","3","4","7","7","5.25","5.33","5","6"
"2010","16-34 y.","","","","","","","","","","",""
"2010","35-65 y.","","","","","","","","","","",""
"2010","66 and older","","","","","","","","","","",""
"2011","16-34 y.","","","","","","","","","","",""
"2011","35-65 y.","","","","","","","","","","",""
"2011","66 and older","","","","","","","","","","",""
"2012","16-34 y.","5.77","6","2200","4","5","7","7","5.72","5.82","6","6"
"2012","35-65 y.","5.74","6","4903","4","5","7","7","5.71","5.77","6","6"
"2012","66 and older","","","","","","","","","","",""
"2013","16-34 y.","5.51","6","3696","4","5","7","7","5.47","5.55","6","6"
"2013","35-65 y.","5.5","6","10224","4","5","7","7","5.47","5.53","6","6"
"2013","66 and older","5.56","6","4945","4","5","7","7","5.52","5.6","6","6"
"2014","16-34 y.","","","","","","","","","","",""
"2014","35-65 y.","","","","","","","","","","",""
"2014","66 and older","","","","","","","","","","",""
"2015","16-34 y.","","","","","","","","","","",""
"2015","35-65 y.","","","","","","","","","","",""
"2015","66 and older","","","","","","","","","","",""
"2016","16-34 y.","","","","","","","","","","",""
"2016","35-65 y.","","","","","","","","","","",""
"2016","66 and older","","","","","","","","","","",""
"2017","16-34 y.","5.5","6","7580","4","5","7","7","5.47","5.53","6","6"
"2017","35-65 y.","5.56","6","16691","4","5","7","7","5.54","5.58","6","6"
"2017","66 and older","5.5","6","5030","4","5","7","7","5.46","5.54","6","6"
"2018","16-34 y.","","","","","","","","","","",""
"2018","35-65 y.","","","","","","","","","","",""
"2018","66 and older","","","","","","","","","","",""
"2019","16-34 y.","5.47","6","5431","4","5","7","7","5.43","5.51","6","6"
"2019","35-65 y.","5.52","6","15139","4","5","7","7","5.5","5.54","6","6"
"2019","66 and older","5.49","6","5208","4","5","7","7","5.45","5.53","6","6"
