"year","e11103","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","Full Time","(0) in school","","","","","","","","","","","","","",""
"2005","Full Time","(1a) inadequately completed","5.5","6","52","3","5","6","7","7","5.07","5.93","1","7","5","6"
"2005","Full Time","(1b) general elementary school","5.32","6","351","3","4","7","7","7","5.16","5.48","1","7","5","6"
"2005","Full Time","(1c) basic vocational qualification","5.44","6","1818","4","5","7","7","7","5.38","5.5","1","7","5","6"
"2005","Full Time","(2a) intermediate vocational","5.55","6","2345","4","5","7","7","7","5.5","5.6","1","7","6","6"
"2005","Full Time","(2b) intermediate general qualification","5.77","6","213","4","5","7","7","7","5.59","5.95","2","7","6","6"
"2005","Full Time","(2c_gen) general maturity certificate","5.54","6","160","4","5","7","7","7","5.36","5.72","2","7","6","6"
"2005","Full Time","(2c_voc) vocational maturity certificate","5.5","6","727","4","5","7","7","7","5.41","5.59","1","7","6","6"
"2005","Full Time","(3a) lower tertiary education","5.57","6","845","4","5","7","7","7","5.48","5.66","1","7","6","6"
"2005","Full Time","(3b) higher tertiary education","5.42","6","1395","4","5","6","7","7","5.35","5.49","1","7","6","6"
"2005","Not Working","(0) in school","5.64","6","549","4","5","7","7","7","5.53","5.75","1","7","6","6"
"2005","Not Working","(1a) inadequately completed","5.03","5","157","3","4","6","7","7","4.77","5.29","1","7","4","5"
"2005","Not Working","(1b) general elementary school","5.2","5","1160","3","4","7","7","7","5.11","5.29","1","7","5","5"
"2005","Not Working","(1c) basic vocational qualification","5.34","6","2802","3","4","7","7","7","5.29","5.39","1","7","5","6"
"2005","Not Working","(2a) intermediate vocational","5.49","6","1138","4","5","7","7","7","5.41","5.57","1","7","6","6"
"2005","Not Working","(2b) intermediate general qualification","5.66","6","209","4","5","7","7","7","5.48","5.84","1","7","5","6"
"2005","Not Working","(2c_gen) general maturity certificate","5.49","6","318","4","5","7","7","7","5.34","5.64","1","7","6","6"
"2005","Not Working","(2c_voc) vocational maturity certificate","5.55","6","378","4","5","7","7","7","5.42","5.68","1","7","5","6"
"2005","Not Working","(3a) lower tertiary education","5.6","6","462","4","5","7","7","7","5.49","5.71","1","7","6","6"
"2005","Not Working","(3b) higher tertiary education","5.58","6","537","4","5","7","7","7","5.46","5.7","1","7","6","6"
"2005","Part Time","(0) in school","5.67","6","100","4","5","7","7","7","5.42","5.92","2","7","6","6"
"2005","Part Time","(1a) inadequately completed","5.03","5","38","3","4","6","7","7","4.55","5.51","2","7","4","6"
"2005","Part Time","(1b) general elementary school","5.42","6","348","3","4","7","7","7","5.27","5.57","1","7","6","6"
"2005","Part Time","(1c) basic vocational qualification","5.64","6","1085","4","5","7","7","7","5.56","5.72","1","7","6","6"
"2005","Part Time","(2a) intermediate vocational","5.7","6","1316","4","5","7","7","7","5.64","5.76","1","7","6","6"
"2005","Part Time","(2b) intermediate general qualification","5.89","6","157","5","5","7","7","7","5.72","6.06","2","7","6","6"
"2005","Part Time","(2c_gen) general maturity certificate","5.74","6","319","4","5","7","7","7","5.61","5.87","1","7","6","6"
"2005","Part Time","(2c_voc) vocational maturity certificate","5.77","6","413","4","5","7","7","7","5.65","5.89","1","7","6","6"
"2005","Part Time","(3a) lower tertiary education","5.39","6","344","3","4","6","7","7","5.26","5.52","1","7","6","6"
