"year","education","sampreg","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","college entrance qualification","Ostdeutschland, neue Bundeslaender","5.56","6","1128","5.48","5.64","4","5","7","7"
"2005","college entrance qualification","Westdeutschland, alte Bundeslaender","5.57","6","4070","5.53","5.61","4","5","7","7"
"2005","lower secondary degree","Ostdeutschland, neue Bundeslaender","5.42","6","1388","5.35","5.49","4","5","7","7"
"2005","lower secondary degree","Westdeutschland, alte Bundeslaender","5.41","6","5688","5.37","5.45","3","5","7","7"
"2005","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","5.46","6","167","5.25","5.67","4","4","7","7"
"2005","no degree/no degree yet","Westdeutschland, alte Bundeslaender","5.44","6","734","5.34","5.54","3","5","7","7"
"2005","Other degree","Ostdeutschland, neue Bundeslaender","5.56","6","49","5.08","6.04","3","5","7","7"
"2005","Other degree","Westdeutschland, alte Bundeslaender","5.23","5","1069","5.14","5.32","3","4","6","7"
"2005","secondary school degree","Ostdeutschland, neue Bundeslaender","5.53","6","2219","5.48","5.58","4","5","7","7"
"2005","secondary school degree","Westdeutschland, alte Bundeslaender","5.63","6","3800","5.59","5.67","4","5","7","7"
"2006","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2006","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2006","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2006","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2006","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2007","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2007","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2007","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2007","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2007","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2007","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2007","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2007","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2007","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2007","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2008","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2008","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2008","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2008","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2008","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2008","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2008","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2008","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2008","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2008","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2009","college entrance qualification","Ostdeutschland, neue Bundeslaender","5.47","6","1084","5.39","5.55","4","5","7","7"
"2009","college entrance qualification","Westdeutschland, alte Bundeslaender","5.4","6","3807","5.36","5.44","3","5","7","7"
"2009","lower secondary degree","Ostdeutschland, neue Bundeslaender","5.24","5","1200","5.16","5.32","3","4","6","7"
"2009","lower secondary degree","Westdeutschland, alte Bundeslaender","5.3","5","4712","5.26","5.34","3","4","6","7"
"2009","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","5.16","5","74","4.84","5.48","3","4","6","7"
"2009","no degree/no degree yet","Westdeutschland, alte Bundeslaender","5.16","5","411","5.02","5.3","3","4","6","7"
"2009","Other degree","Ostdeutschland, neue Bundeslaender","5.13","5","46","4.63","5.63","2","4","7","7"
"2009","Other degree","Westdeutschland, alte Bundeslaender","5.25","5","753","5.15","5.35","3","4","6","7"
"2009","secondary school degree","Ostdeutschland, neue Bundeslaender","5.38","6","2007","5.32","5.44","4","5","6","7"
"2009","secondary school degree","Westdeutschland, alte Bundeslaender","5.5","6","3398","5.46","5.54","4","5","7","7"
"2010","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2010","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2010","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2010","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2010","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2010","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2010","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2010","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2010","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2010","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2011","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2011","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2011","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2011","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2011","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2011","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2011","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2011","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2011","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2011","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2012","college entrance qualification","Ostdeutschland, neue Bundeslaender","5.68","6","364","5.55","5.81","4","5","7","7"
"2012","college entrance qualification","Westdeutschland, alte Bundeslaender","5.72","6","1784","5.67","5.77","4","5","7","7"
"2012","lower secondary degree","Ostdeutschland, neue Bundeslaender","5.51","6","154","5.27","5.75","3","4","7","7"
"2012","lower secondary degree","Westdeutschland, alte Bundeslaender","5.81","6","1253","5.74","5.88","4","5","7","7"
"2012","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","5.97","6","39","5.58","6.36","5","5","7","7"
"2012","no degree/no degree yet","Westdeutschland, alte Bundeslaender","5.57","6","312","5.41","5.73","4","5","7","7"
"2012","Other degree","Ostdeutschland, neue Bundeslaender","5.26","5","56","4.82","5.7","3","5","6","7"
"2012","Other degree","Westdeutschland, alte Bundeslaender","5.68","6","623","5.57","5.79","4","5","7","7"
"2012","secondary school degree","Ostdeutschland, neue Bundeslaender","5.83","6","697","5.74","5.92","4","5","7","7"
"2012","secondary school degree","Westdeutschland, alte Bundeslaender","5.86","6","1691","5.8","5.92","4","5","7","7"
"2013","college entrance qualification","Ostdeutschland, neue Bundeslaender","5.54","6","1083","5.47","5.61","4","5","7","7"
"2013","college entrance qualification","Westdeutschland, alte Bundeslaender","5.52","6","4306","5.48","5.56","4","5","7","7"
"2013","lower secondary degree","Ostdeutschland, neue Bundeslaender","5.4","6","1128","5.32","5.48","4","5","7","7"
