"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","direct migration background","2.72","2","2362","1","1","4","5","7","2.65","2.79","1","7","2","2"
"2005","indirect migration background","2.96","3","831","1","2","4","5","7","2.85","3.07","1","7","2","3"
"2005","no migration background","2.93","3","17489","1","1","4","5","7","2.91","2.95","1","7","3","3"
"2006","direct migration background","","","","","","","","","","","","","",""
"2006","indirect migration background","","","","","","","","","","","","","",""
"2006","no migration background","","","","","","","","","","","","","",""
"2007","direct migration background","","","","","","","","","","","","","",""
"2007","indirect migration background","","","","","","","","","","","","","",""
"2007","no migration background","","","","","","","","","","","","","",""
"2008","direct migration background","","","","","","","","","","","","","",""
"2008","indirect migration background","","","","","","","","","","","","","",""
"2008","no migration background","","","","","","","","","","","","","",""
"2009","direct migration background","2.92","3","1649","1","1","4","5","7","2.84","3","1","7","2","3"
"2009","indirect migration background","3.17","3","711","1","2","4","5","7","3.05","3.29","1","7","3","3"
"2009","no migration background","3.11","3","15631","1","2","4","5","7","3.08","3.14","1","7","3","3"
"2010","direct migration background","","","","","","","","","","","","","",""
"2010","indirect migration background","","","","","","","","","","","","","",""
"2010","no migration background","","","","","","","","","","","","","",""
"2011","direct migration background","","","","","","","","","","","","","",""
"2011","indirect migration background","","","","","","","","","","","","","",""
"2011","no migration background","","","","","","","","","","","","","",""
"2012","direct migration background","2.87","2","1088","1","1","4","6","7","2.77","2.97","1","7","2","3"
"2012","indirect migration background","3.16","3","483","1","2","5","6","7","3","3.32","1","7","2","3"
"2012","no migration background","3.19","3","5553","1","2","5","6","7","3.14","3.24","1","7","3","3"
"2013","direct migration background","2.93","3","1682","1","1","4","5","7","2.85","3.01","1","7","2","3"
"2013","indirect migration background","3.32","3","713","1","2","5","6","7","3.2","3.44","1","7","3","3"
"2013","no migration background","3.07","3","16447","1","2","4","5","7","3.04","3.1","1","7","3","3"
"2014","direct migration background","","","","","","","","","","","","","",""
"2014","indirect migration background","","","","","","","","","","","","","",""
"2014","no migration background","","","","","","","","","","","","","",""
"2015","direct migration background","","","","","","","","","","","","","",""
"2015","indirect migration background","","","","","","","","","","","","","",""
"2015","no migration background","","","","","","","","","","","","","",""
"2016","direct migration background","","","","","","","","","","","","","",""
"2016","indirect migration background","","","","","","","","","","","","","",""
"2016","no migration background","","","","","","","","","","","","","",""
"2017","direct migration background","2.95","3","7256","1","1","4","5","7","2.91","2.99","1","7","2","2"
"2017","indirect migration background","3.27","3","1714","1","2","5","6","7","3.19","3.35","1","7","3","3"
"2017","no migration background","3.15","3","20294","1","2","5","6","7","3.13","3.17","1","7","3","3"
"2018","direct migration background","","","","","","","","","","","","","",""
"2018","indirect migration background","","","","","","","","","","","","","",""
"2018","no migration background","","","","","","","","","","","","","",""
"2019","direct migration background","2.82","2","3831","1","1","4","5","7","2.77","2.87","1","7","2","2"
"2019","indirect migration background","3.21","3","1698","1","2","5","6","7","3.13","3.29","1","7","3","3"
"2019","no migration background","2.98","3","20220","1","2","4","5","7","2.96","3","1","7","3","3"
