"year","pgisced97","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","general elemantary","Female","2.54","2","1620","1","1","4","5","7","2.46","2.62","1","7","2","2"
"2005","general elemantary","Male","3.17","3","778","1","2","4","6","7","3.06","3.28","1","7","3","3"
"2005","higher education","Female","2.61","2","1857","1","1","4","5","7","2.54","2.68","1","7","2","2"
"2005","higher education","Male","3.08","3","2308","1","2","4","5","7","3.01","3.15","1","7","3","3"
"2005","higher vocational","Female","2.76","2","661","1","1","4","5","7","2.63","2.89","1","7","2","2"
"2005","higher vocational","Male","3.18","3","892","1","2","5","5","7","3.07","3.29","1","7","3","3"
"2005","in school","Female","2.83","2","340","1","1","4","5","7","2.65","3.01","1","7","2","3"
"2005","in school","Male","3.46","4","310","1","2","5","6","7","3.27","3.65","1","7","3","3"
"2005","inadequately","Female","2.39","2","135","1","1","3","5","7","2.12","2.66","1","7","2","2"
"2005","inadequately","Male","3.46","3","102","1","2","5","5","7","3.12","3.8","1","7","3","3"
"2005","middle vocational","Female","2.67","2","5364","1","1","4","5","7","2.63","2.71","1","7","2","2"
"2005","middle vocational","Male","3.2","3","4879","1","2","5","5","7","3.15","3.25","1","7","3","3"
"2005","vocational + Abi","Female","2.6","2","665","1","1","4","5","7","2.48","2.72","1","7","2","2"
"2005","vocational + Abi","Male","3.22","3","468","1","2","4","5","7","3.07","3.37","1","7","3","3"
"2006","general elemantary","Female","","","","","","","","","","","","","",""
"2006","general elemantary","Male","","","","","","","","","","","","","",""
"2006","higher education","Female","","","","","","","","","","","","","",""
"2006","higher education","Male","","","","","","","","","","","","","",""
"2006","higher vocational","Female","","","","","","","","","","","","","",""
"2006","higher vocational","Male","","","","","","","","","","","","","",""
"2006","in school","Female","","","","","","","","","","","","","",""
"2006","in school","Male","","","","","","","","","","","","","",""
"2006","inadequately","Female","","","","","","","","","","","","","",""
"2006","inadequately","Male","","","","","","","","","","","","","",""
"2006","middle vocational","Female","","","","","","","","","","","","","",""
"2006","middle vocational","Male","","","","","","","","","","","","","",""
"2006","vocational + Abi","Female","","","","","","","","","","","","","",""
"2006","vocational + Abi","Male","","","","","","","","","","","","","",""
"2007","general elemantary","Female","","","","","","","","","","","","","",""
"2007","general elemantary","Male","","","","","","","","","","","","","",""
"2007","higher education","Female","","","","","","","","","","","","","",""
"2007","higher education","Male","","","","","","","","","","","","","",""
"2007","higher vocational","Female","","","","","","","","","","","","","",""
"2007","higher vocational","Male","","","","","","","","","","","","","",""
"2007","in school","Female","","","","","","","","","","","","","",""
"2007","in school","Male","","","","","","","","","","","","","",""
"2007","inadequately","Female","","","","","","","","","","","","","",""
"2007","inadequately","Male","","","","","","","","","","","","","",""
"2007","middle vocational","Female","","","","","","","","","","","","","",""
"2007","middle vocational","Male","","","","","","","","","","","","","",""
"2007","vocational + Abi","Female","","","","","","","","","","","","","",""
"2007","vocational + Abi","Male","","","","","","","","","","","","","",""
"2008","general elemantary","Female","","","","","","","","","","","","","",""
"2008","general elemantary","Male","","","","","","","","","","","","","",""
