"year","e11102","e11103","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","Employed","Full Time","4.75","5","8016","3","4","6","7","7","4.72","4.78","1","7","5","5"
"2005","Employed","Not Working","","","","","","","","","","","","","",""
"2005","Employed","Part Time","4.63","5","4797","3","4","6","6","7","4.59","4.67","1","7","5","5"
"2005","Not Employed","Full Time","","","","","","","","","","","","","",""
"2005","Not Employed","Not Working","4.24","4","7804","2","3","5","6","7","4.21","4.27","1","7","4","4"
"2005","Not Employed","Part Time","","","","","","","","","","","","","",""
"2006","Employed","Full Time","","","","","","","","","","","","","",""
"2006","Employed","Not Working","","","","","","","","","","","","","",""
"2006","Employed","Part Time","","","","","","","","","","","","","",""
"2006","Not Employed","Full Time","","","","","","","","","","","","","",""
"2006","Not Employed","Not Working","","","","","","","","","","","","","",""
"2006","Not Employed","Part Time","","","","","","","","","","","","","",""
"2007","Employed","Full Time","","","","","","","","","","","","","",""
"2007","Employed","Not Working","","","","","","","","","","","","","",""
"2007","Employed","Part Time","","","","","","","","","","","","","",""
"2007","Not Employed","Full Time","","","","","","","","","","","","","",""
"2007","Not Employed","Not Working","","","","","","","","","","","","","",""
"2007","Not Employed","Part Time","","","","","","","","","","","","","",""
"2008","Employed","Full Time","","","","","","","","","","","","","",""
"2008","Employed","Not Working","","","","","","","","","","","","","",""
"2008","Employed","Part Time","","","","","","","","","","","","","",""
"2008","Not Employed","Full Time","","","","","","","","","","","","","",""
"2008","Not Employed","Not Working","","","","","","","","","","","","","",""
"2008","Not Employed","Part Time","","","","","","","","","","","","","",""
"2009","Employed","Full Time","4.73","5","6983","3","4","6","6","7","4.7","4.76","1","7","5","5"
"2009","Employed","Not Working","","","","","","","","","","","","","",""
"2009","Employed","Part Time","4.55","5","4217","3","4","6","6","7","4.51","4.59","1","7","4","5"
"2009","Not Employed","Full Time","","","","","","","","","","","","","",""
"2009","Not Employed","Not Working","4.17","4","6751","2","3","5","6","7","4.13","4.21","1","7","4","4"
"2009","Not Employed","Part Time","","","","","","","","","","","","","",""
"2010","Employed","Full Time","","","","","","","","","","","","","",""
"2010","Employed","Not Working","","","","","","","","","","","","","",""
"2010","Employed","Part Time","","","","","","","","","","","","","",""
"2010","Not Employed","Full Time","","","","","","","","","","","","","",""
"2010","Not Employed","Not Working","","","","","","","","","","","","","",""
"2010","Not Employed","Part Time","","","","","","","","","","","","","",""
"2011","Employed","Full Time","","","","","","","","","","","","","",""
"2011","Employed","Not Working","","","","","","","","","","","","","",""
"2011","Employed","Part Time","","","","","","","","","","","","","",""
"2011","Not Employed","Full Time","","","","","","","","","","","","","",""
"2011","Not Employed","Not Working","","","","","","","","","","","","","",""
