"year","hgtyp1hh","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","(Married) couple without C.","general elemantary","5.26","6","692","3","4","7","7","7","5.14","5.38","1","7","5","6"
"2005","(Married) couple without C.","higher education","4.52","5","1655","2","3","6","7","7","4.44","4.6","1","7","4","5"
"2005","(Married) couple without C.","higher vocational","4.92","5","561","3","4","6","7","7","4.79","5.05","1","7","5","5"
"2005","(Married) couple without C.","in school","","","","","","","","","","","","","",""
"2005","(Married) couple without C.","inadequately","4.6","5","62","2","3","6","7","7","4.16","5.04","1","7","4","6"
"2005","(Married) couple without C.","middle vocational","4.91","5","3651","2","4","6","7","7","4.86","4.96","1","7","5","5"
"2005","(Married) couple without C.","vocational + Abi","4.61","5","352","2","4","6","7","7","4.44","4.78","1","7","4","5"
"2005","1-pers.-HH","general elemantary","5.01","5","432","2","4","6","7","7","4.85","5.17","1","7","5","6"
"2005","1-pers.-HH","higher education","4.48","5","559","2","3","6","7","7","4.34","4.62","1","7","4","5"
"2005","1-pers.-HH","higher vocational","4.55","5","197","2","3","6","7","7","4.3","4.8","1","7","5","5"
"2005","1-pers.-HH","in school","","","","","","","","","","","","","",""
"2005","1-pers.-HH","inadequately","","","","","","","","","","","","","",""
"2005","1-pers.-HH","middle vocational","4.72","5","1542","2","3","6","7","7","4.63","4.81","1","7","5","5"
"2005","1-pers.-HH","vocational + Abi","4.25","4","177","2","3","6","7","7","4","4.5","1","7","4","5"
"2005","Couple + C. GT 16 ","general elemantary","4.62","5","429","2","3","6","7","7","4.45","4.79","1","7","4","5"
"2005","Couple + C. GT 16 ","higher education","4.55","5","628","2","3","6","7","7","4.43","4.67","1","7","4","5"
"2005","Couple + C. GT 16 ","higher vocational","5.02","5","208","3","4","6","7","7","4.82","5.22","1","7","5","5"
"2005","Couple + C. GT 16 ","in school","4.19","4","267","2","3","6","6","7","3.97","4.41","1","7","4","4"
