"year","bula_h","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","Baden-W?rttemberg","Rural Area","5.6","6","212","4","5","7","7","7","5.4","5.8","1","7","6","6"
"2005","Baden-W?rttemberg","Urban Area","5.46","6","2305","4","5","6","7","7","5.41","5.51","1","7","6","6"
"2005","Bavaria","Rural Area","5.37","6","1454","3","5","6","7","7","5.3","5.44","1","7","5","6"
"2005","Bavaria","Urban Area","5.33","6","1447","4","4","6","7","7","5.26","5.4","1","7","5","6"
"2005","Berlin","Rural Area","","","","","","","","","","","","","",""
"2005","Berlin","Urban Area","5.43","6","758","3","5","7","7","7","5.33","5.53","1","7","6","6"
"2005","Brandenburg","Rural Area","5.45","6","809","4","5","7","7","7","5.36","5.54","1","7","6","6"
"2005","Brandenburg","Urban Area","5.72","6","78","4","5","7","7","7","5.45","5.99","2","7","5","6"
"2005","Bremen","Rural Area","","","","","","","","","","","","","",""
"2005","Bremen","Urban Area","5.46","6","146","3","4","7","7","7","5.22","5.7","1","7","6","6"
"2005","Hamburg","Rural Area","","","","","","","","","","","","","",""
"2005","Hamburg","Urban Area","5.7","6","292","4","5","7","7","7","5.56","5.84","2","7","6","6"
"2005","Hesse","Rural Area","5.54","6","249","3","5","7","7","7","5.37","5.71","1","7","6","6"
"2005","Hesse","Urban Area","5.61","6","1118","4","5","7","7","7","5.53","5.69","1","7","6","6"
"2005","Lower Saxony","Rural Area","5.59","6","874","4","5","7","7","7","5.5","5.68","1","7","6","6"
"2005","Lower Saxony","Urban Area","5.64","6","909","4","5","7","7","7","5.55","5.73","1","7","6","6"
"2005","Mecklenburg-Western Pomerania","Rural Area","5.56","6","435","4","5","7","7","7","5.44","5.68","2","7","6","6"
"2005","Mecklenburg-Western Pomerania","Urban Area","5.61","6","69","4","4","7","7","7","5.3","5.92","1","7","5","6"
"2005","North Rhine-Westphalia","Rural Area","6.4","7","105","5","6","7","7","7","6.18","6.62","2","7","6","7"
"2005","North Rhine-Westphalia","Urban Area","5.58","6","4243","4","5","7","7","7","5.54","5.62","1","7","6","6"
"2005","Rhineland-Palatinate,Saarland","Rural Area","5.42","6","294","4","5","6","7","7","5.28","5.56","1","7","5","6"
"2005","Rhineland-Palatinate,Saarland","Urban Area","5.6","6","943","4","5","7","7","7","5.52","5.68","1","7","6","6"
"2005","Saxony","Rural Area","5.43","6","761","4","5","6","7","7","5.34","5.52","1","7","6","6"
"2005","Saxony","Urban Area","5.51","6","764","4","5","7","7","7","5.42","5.6","1","7","6","6"
"2005","Saxony-Anhalt","Rural Area","5.46","6","660","4","5","7","7","7","5.36","5.56","1","7","6","6"
"2005","Saxony-Anhalt","Urban Area","5.68","6","234","4","5","7","7","7","5.53","5.83","1","7","6","6"
"2005","Schleswig-Holstein","Rural Area","5.44","6","369","4","5","6","7","7","5.3","5.58","1","7","6","6"
"2005","Schleswig-Holstein","Urban Area","5.56","6","265","4","5","6","7","7","5.42","5.7","1","7","6","6"
"2005","Thuringia","Rural Area","5.28","5","616","3","4","6","7","7","5.17","5.39","1","7","5","6"
"2005","Thuringia","Urban Area","5.61","6","273","4","5","7","7","7","5.46","5.76","1","7","6","6"
"2006","Baden-W?rttemberg","Rural Area","","","","","","","","","","","","","",""
"2006","Baden-W?rttemberg","Urban Area","","","","","","","","","","","","","",""
"2006","Bavaria","Rural Area","","","","","","","","","","","","","",""
"2006","Bavaria","Urban Area","","","","","","","","","","","","","",""
"2006","Berlin","Rural Area","","","","","","","","","","","","","",""
"2006","Berlin","Urban Area","","","","","","","","","","","","","",""
"2006","Brandenburg","Rural Area","","","","","","","","","","","","","",""
"2006","Brandenburg","Urban Area","","","","","","","","","","","","","",""
"2006","Bremen","Rural Area","","","","","","","","","","","","","",""
"2006","Bremen","Urban Area","","","","","","","","","","","","","",""
"2006","Hamburg","Rural Area","","","","","","","","","","","","","",""
"2006","Hamburg","Urban Area","","","","","","","","","","","","","",""
"2006","Hesse","Rural Area","","","","","","","","","","","","","",""
"2006","Hesse","Urban Area","","","","","","","","","","","","","",""
"2006","Lower Saxony","Rural Area","","","","","","","","","","","","","",""
"2006","Lower Saxony","Urban Area","","","","","","","","","","","","","",""
"2006","Mecklenburg-Western Pomerania","Rural Area","","","","","","","","","","","","","",""
"2006","Mecklenburg-Western Pomerania","Urban Area","","","","","","","","","","","","","",""
"2006","North Rhine-Westphalia","Rural Area","","","","","","","","","","","","","",""
"2006","North Rhine-Westphalia","Urban Area","","","","","","","","","","","","","",""
"2006","Rhineland-Palatinate,Saarland","Rural Area","","","","","","","","","","","","","",""
"2006","Rhineland-Palatinate,Saarland","Urban Area","","","","","","","","","","","","","",""
"2006","Saxony","Rural Area","","","","","","","","","","","","","",""
"2006","Saxony","Urban Area","","","","","","","","","","","","","",""
"2006","Saxony-Anhalt","Rural Area","","","","","","","","","","","","","",""
"2006","Saxony-Anhalt","Urban Area","","","","","","","","","","","","","",""
"2006","Schleswig-Holstein","Rural Area","","","","","","","","","","","","","",""
"2006","Schleswig-Holstein","Urban Area","","","","","","","","","","","","","",""
"2006","Thuringia","Rural Area","","","","","","","","","","","","","",""
"2006","Thuringia","Urban Area","","","","","","","","","","","","","",""
"2007","Baden-W?rttemberg","Rural Area","","","","","","","","","","","","","",""
"2007","Baden-W?rttemberg","Urban Area","","","","","","","","","","","","","",""
"2007","Bavaria","Rural Area","","","","","","","","","","","","","",""
"2007","Bavaria","Urban Area","","","","","","","","","","","","","",""
"2007","Berlin","Rural Area","","","","","","","","","","","","","",""
"2007","Berlin","Urban Area","","","","","","","","","","","","","",""
"2007","Brandenburg","Rural Area","","","","","","","","","","","","","",""
"2007","Brandenburg","Urban Area","","","","","","","","","","","","","",""
"2007","Bremen","Rural Area","","","","","","","","","","","","","",""
"2007","Bremen","Urban Area","","","","","","","","","","","","","",""
"2007","Hamburg","Rural Area","","","","","","","","","","","","","",""
"2007","Hamburg","Urban Area","","","","","","","","","","","","","",""
"2007","Hesse","Rural Area","","","","","","","","","","","","","",""
"2007","Hesse","Urban Area","","","","","","","","","","","","","",""
"2007","Lower Saxony","Rural Area","","","","","","","","","","","","","",""
"2007","Lower Saxony","Urban Area","","","","","","","","","","","","","",""
"2007","Mecklenburg-Western Pomerania","Rural Area","","","","","","","","","","","","","",""
"2007","Mecklenburg-Western Pomerania","Urban Area","","","","","","","","","","","","","",""
"2007","North Rhine-Westphalia","Rural Area","","","","","","","","","","","","","",""
"2007","North Rhine-Westphalia","Urban Area","","","","","","","","","","","","","",""
"2007","Rhineland-Palatinate,Saarland","Rural Area","","","","","","","","","","","","","",""
"2007","Rhineland-Palatinate,Saarland","Urban Area","","","","","","","","","","","","","",""
"2007","Saxony","Rural Area","","","","","","","","","","","","","",""
"2007","Saxony","Urban Area","","","","","","","","","","","","","",""
