"year","education","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","college entrance qualification","(Married) couple without C.","2.4","2","1733","1","1","3","5","6","2.33","2.47","1","7","2","2"
"2005","college entrance qualification","1-pers.-HH","2.7","2","784","1","1","4","5","7","2.58","2.82","1","7","2","2"
"2005","college entrance qualification","Couple + C. GT 16 ","2.9","2","899","1","1","4","5","7","2.8","3","1","7","2","2"
"2005","college entrance qualification","Couple + C. LE 16","2.39","2","1153","1","1","3","5","7","2.31","2.47","1","7","2","2"
"2005","college entrance qualification","Couple + C. LE and GT 16","2.78","2","330","1","1","4","5","6","2.61","2.95","1","7","2","2"
"2005","college entrance qualification","Single parent","2.7","2","187","1","1","4","5","7","2.48","2.92","1","7","2","2"
"2005","lower secondary degree","(Married) couple without C.","1.94","1","2981","1","1","2","4","7","1.89","1.99","1","7","1","1"
"2005","lower secondary degree","1-pers.-HH","2","1","1231","1","1","2","4","7","1.92","2.08","1","7","1","1"
"2005","lower secondary degree","Couple + C. GT 16 ","2.17","2","974","1","1","3","5","7","2.08","2.26","1","7","1","2"
"2005","lower secondary degree","Couple + C. LE 16","2.05","2","933","1","1","3","4","7","1.96","2.14","1","7","1","2"
"2005","lower secondary degree","Couple + C. LE and GT 16","2.16","1.17","389","1","1","3","5","7","2.01","2.31","1","7","1","2"
"2005","lower secondary degree","Single parent","2.21","2","347","1","1","3","5","7","2.06","2.36","1","7","1","2"
"2005","no degree/no degree yet","(Married) couple without C.","2.14","1","84","1","1","3","4","7","1.82","2.46","1","7","1","2"
"2005","no degree/no degree yet","1-pers.-HH","2.26","2","37","1","1","3","5","6","1.75","2.77","1","6","1","3"
"2005","no degree/no degree yet","Couple + C. GT 16 ","3.7","4","303","1","2","5","6","7","3.49","3.91","1","7","3","4"
"2005","no degree/no degree yet","Couple + C. LE 16","2.53","3","37","1","1","3","4","7","2","3.06","1","7","1","3"
"2005","no degree/no degree yet","Couple + C. LE and GT 16","3.51","3","283","1","2","5","6","7","3.3","3.72","1","7","3","4"
"2005","no degree/no degree yet","Single parent","3.39","3","116","1","1","5","7","7","3.04","3.74","1","7","3","4"
"2005","Other degree","(Married) couple without C.","1.98","1","345","1","1","2","4","6","1.82","2.14","1","7","1","2"
"2005","Other degree","1-pers.-HH","2.21","1","97","1","1","4","4","6","1.93","2.49","1","6","1","2"
"2005","Other degree","Couple + C. GT 16 ","1.67","1","218","1","1","2","3","5","1.52","1.82","1","6","1","2"
"2005","Other degree","Couple + C. LE 16","2.07","1","208","1","1","3","4","7","1.86","2.28","1","7","1","2"
"2005","Other degree","Couple + C. LE and GT 16","1.73","1","118","1","1","2","4","5","1.54","1.92","1","5","1","1"
"2005","Other degree","Single parent","1.81","1","62","1","1","2","3","6","1.48","2.14","1","6","1","2"
"2005","secondary school degree","(Married) couple without C.","2.1","2","1795","1","1","3","4","7","2.03","2.17","1","7","1","2"
"2005","secondary school degree","1-pers.-HH","2.28","2","766","1","1","3","5","7","2.17","2.39","1","7","2","2"
"2005","secondary school degree","Couple + C. GT 16 ","2.25","2","1112","1","1","3","5","7","2.16","2.34","1","7","2","2"
"2005","secondary school degree","Couple + C. LE 16","2.22","2","1358","1","1","3","4","7","2.15","2.29","1","7","1","2"
"2005","secondary school degree","Couple + C. LE and GT 16","2.36","2","497","1","1","3","5","7","2.23","2.49","1","7","1","2"
"2005","secondary school degree","Single parent","2.28","2","346","1","1","3","5","7","2.12","2.44","1","7","2","2"
"2006","college entrance qualification","(Married) couple without C.","","","","","","","","","","","","","",""
"2006","college entrance qualification","1-pers.-HH","","","","","","","","","","","","","",""
"2006","college entrance qualification","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2006","college entrance qualification","Couple + C. LE 16","","","","","","","","","","","","","",""
"2006","college entrance qualification","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2006","college entrance qualification","Single parent","","","","","","","","","","","","","",""
