"year","age_gr","e11103","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","16-34 y.","Full Time","5.16","5","2094","3","4","6","7","7","5.1","5.22","1","7","5","5"
"2005","16-34 y.","Not Working","5.17","5","1616","3","4","6","7","7","5.1","5.24","1","7","5","5"
"2005","16-34 y.","Part Time","5.34","6","1609","4","4","6","7","7","5.27","5.41","1","7","5","6"
"2005","35-65 y.","Full Time","4.99","5","5891","3","4","6","7","7","4.95","5.03","1","7","5","5"
"2005","35-65 y.","Not Working","4.96","5","2689","3","4","6","7","7","4.9","5.02","1","7","5","5"
"2005","35-65 y.","Part Time","5.23","5","3020","3","4","6","7","7","5.18","5.28","1","7","5","5"
"2005","66 and older","Full Time","5.65","6","38","4","5","6","7","7","5.17","6.13","2","7","5","6"
"2005","66 and older","Not Working","4.92","5","3543","3","4","6","7","7","4.87","4.97","1","7","5","5"
"2005","66 and older","Part Time","5.16","5","187","3","4","7","7","7","4.94","5.38","1","7","5","6"
"2006","16-34 y.","Full Time","","","","","","","","","","","","","",""
"2006","16-34 y.","Not Working","","","","","","","","","","","","","",""
"2006","16-34 y.","Part Time","","","","","","","","","","","","","",""
"2006","35-65 y.","Full Time","","","","","","","","","","","","","",""
"2006","35-65 y.","Not Working","","","","","","","","","","","","","",""
"2006","35-65 y.","Part Time","","","","","","","","","","","","","",""
"2006","66 and older","Full Time","","","","","","","","","","","","","",""
"2006","66 and older","Not Working","","","","","","","","","","","","","",""
"2006","66 and older","Part Time","","","","","","","","","","","","","",""
"2007","16-34 y.","Full Time","","","","","","","","","","","","","",""
"2007","16-34 y.","Not Working","","","","","","","","","","","","","",""
"2007","16-34 y.","Part Time","","","","","","","","","","","","","",""
"2007","35-65 y.","Full Time","","","","","","","","","","","","","",""
"2007","35-65 y.","Not Working","","","","","","","","","","","","","",""
"2007","35-65 y.","Part Time","","","","","","","","","","","","","",""
"2007","66 and older","Full Time","","","","","","","","","","","","","",""
"2007","66 and older","Not Working","","","","","","","","","","","","","",""
"2007","66 and older","Part Time","","","","","","","","","","","","","",""
"2008","16-34 y.","Full Time","","","","","","","","","","","","","",""
"2008","16-34 y.","Not Working","","","","","","","","","","","","","",""
"2008","16-34 y.","Part Time","","","","","","","","","","","","","",""
"2008","35-65 y.","Full Time","","","","","","","","","","","","","",""
"2008","35-65 y.","Not Working","","","","","","","","","","","","","",""
"2008","35-65 y.","Part Time","","","","","","","","","","","","","",""
"2008","66 and older","Full Time","","","","","","","","","","","","","",""
"2008","66 and older","Not Working","","","","","","","","","","","","","",""
"2008","66 and older","Part Time","","","","","","","","","","","","","",""
"2009","16-34 y.","Full Time","5.12","5","1731","3","4","6","7","7","5.06","5.18","1","7","5","5"
"2009","16-34 y.","Not Working","5.18","5","1032","3","4","6","7","7","5.09","5.27","1","7","5","5"
"2009","16-34 y.","Part Time","5.1","5","1226","3","4","6","7","7","5.02","5.18","1","7","5","6"
"2009","35-65 y.","Full Time","4.87","5","5188","3","4","6","7","7","4.83","4.91","1","7","5","5"
"2009","35-65 y.","Not Working","4.82","5","1915","3","4","6","7","7","4.75","4.89","1","7","5","5"
"2009","35-65 y.","Part Time","4.98","5","2742","3","4","6","7","7","4.93","5.03","1","7","5","5"
"2009","66 and older","Full Time","4.49","4","66","3","3","6","6","7","4.1","4.88","1","7","4","6"
"2009","66 and older","Not Working","4.78","5","3829","3","4","6","7","7","4.73","4.83","1","7","5","5"
"2009","66 and older","Part Time","4.89","5","246","3","4","6","7","7","4.69","5.09","1","7","5","6"
"2010","16-34 y.","Full Time","","","","","","","","","","","","","",""
"2010","16-34 y.","Not Working","","","","","","","","","","","","","",""
"2010","16-34 y.","Part Time","","","","","","","","","","","","","",""
"2010","35-65 y.","Full Time","","","","","","","","","","","","","",""
"2010","35-65 y.","Not Working","","","","","","","","","","","","","",""
"2010","35-65 y.","Part Time","","","","","","","","","","","","","",""
"2010","66 and older","Full Time","","","","","","","","","","","","","",""
"2010","66 and older","Not Working","","","","","","","","","","","","","",""
"2010","66 and older","Part Time","","","","","","","","","","","","","",""
"2011","16-34 y.","Full Time","","","","","","","","","","","","","",""
"2011","16-34 y.","Not Working","","","","","","","","","","","","","",""
"2011","16-34 y.","Part Time","","","","","","","","","","","","","",""
"2011","35-65 y.","Full Time","","","","","","","","","","","","","",""
"2011","35-65 y.","Not Working","","","","","","","","","","","","","",""
"2011","35-65 y.","Part Time","","","","","","","","","","","","","",""
"2011","66 and older","Full Time","","","","","","","","","","","","","",""
"2011","66 and older","Not Working","","","","","","","","","","","","","",""
"2011","66 and older","Part Time","","","","","","","","","","","","","",""
"2012","16-34 y.","Full Time","5.43","6","599","4","5","6","7","7","5.33","5.53","1","7","6","6"
"2012","16-34 y.","Not Working","5.25","5","847","3","4","6","7","7","5.16","5.34","1","7","5","6"
"2012","16-34 y.","Part Time","5.44","6","755","4","5","6","7","7","5.35","5.53","1","7","5","6"
"2012","35-65 y.","Full Time","5.13","5","2203","3","4","6","7","7","5.07","5.19","1","7","5","5"
"2012","35-65 y.","Not Working","5.09","5","878","3","4","6","7","7","4.99","5.19","1","7","5","6"
"2012","35-65 y.","Part Time","5.41","6","1819","4","5","6","7","7","5.35","5.47","1","7","5","6"
"2012","66 and older","Full Time","","","","","","","","","","","","","",""
"2012","66 and older","Not Working","","","","","","","","","","","","","",""
"2012","66 and older","Part Time","","","","","","","","","","","","","",""
"2013","16-34 y.","Full Time","5.26","5","1644","3","4","6","7","7","5.2","5.32","1","7","5","6"
"2013","16-34 y.","Not Working","5.18","5","874","3","4","6","7","7","5.09","5.27","1","7","5","5"
"2013","16-34 y.","Part Time","5.29","5","1171","4","4","6","7","7","5.21","5.37","1","7","5","6"
"2013","35-65 y.","Full Time","5.05","5","5267","3","4","6","7","7","5.01","5.09","1","7","5","5"
"2013","35-65 y.","Not Working","5.01","5","1913","3","4","6","7","7","4.94","5.08","1","7","5","5"
"2013","35-65 y.","Part Time","5.2","5","3040","3","4","6","7","7","5.15","5.25","1","7","5","6"
"2013","66 and older","Full Time","5.1","5","55","3","4","6","7","7","4.75","5.45","1","7","5","6"
"2013","66 and older","Not Working","5.08","5","4506","3","4","6","7","7","5.04","5.12","1","7","5","5"
"2013","66 and older","Part Time","5.36","6","376","4","4","6","7","7","5.22","5.5","1","7","5","6"
"2014","16-34 y.","Full Time","","","","","","","","","","","","","",""
"2014","16-34 y.","Not Working","","","","","","","","","","","","","",""
"2014","16-34 y.","Part Time","","","","","","","","","","","","","",""
"2014","35-65 y.","Full Time","","","","","","","","","","","","","",""
"2014","35-65 y.","Not Working","","","","","","","","","","","","","",""
"2014","35-65 y.","Part Time","","","","","","","","","","","","","",""
"2014","66 and older","Full Time","","","","","","","","","","","","","",""
"2014","66 and older","Not Working","","","","","","","","","","","","","",""
"2014","66 and older","Part Time","","","","","","","","","","","","","",""
"2015","16-34 y.","Full Time","","","","","","","","","","","","","",""
"2015","16-34 y.","Not Working","","","","","","","","","","","","","",""
"2015","16-34 y.","Part Time","","","","","","","","","","","","","",""
"2015","35-65 y.","Full Time","","","","","","","","","","","","","",""
"2015","35-65 y.","Not Working","","","","","","","","","","","","","",""
"2015","35-65 y.","Part Time","","","","","","","","","","","","","",""
"2015","66 and older","Full Time","","","","","","","","","","","","","",""
"2015","66 and older","Not Working","","","","","","","","","","","","","",""
"2015","66 and older","Part Time","","","","","","","","","","","","","",""
"2016","16-34 y.","Full Time","","","","","","","","","","","","","",""
"2016","16-34 y.","Not Working","","","","","","","","","","","","","",""
"2016","16-34 y.","Part Time","","","","","","","","","","","","","",""
"2016","35-65 y.","Full Time","","","","","","","","","","","","","",""
"2016","35-65 y.","Not Working","","","","","","","","","","","","","",""
"2016","35-65 y.","Part Time","","","","","","","","","","","","","",""
"2016","66 and older","Full Time","","","","","","","","","","","","","",""
"2016","66 and older","Not Working","","","","","","","","","","","","","",""
"2016","66 and older","Part Time","","","","","","","","","","","","","",""
"2017","16-34 y.","Full Time","5.31","6","2494","3","5","6","7","7","5.26","5.36","1","7","5","6"
"2017","16-34 y.","Not Working","5.16","5","2927","3","4","6","7","7","5.11","5.21","1","7","6","6"
"2017","16-34 y.","Part Time","5.24","5","2141","3","4","6","7","7","5.18","5.3","1","7","5","6"
"2017","35-65 y.","Full Time","5.05","5","7878","3","4","6","7","7","5.02","5.08","1","7","5","5"
"2017","35-65 y.","Not Working","5.06","5","3619","3","4","6","7","7","5.01","5.11","1","7","6","6"
"2017","35-65 y.","Part Time","5.27","5","5182","3","4","6","7","7","5.23","5.31","1","7","5","6"
"2017","66 and older","Full Time","5.36","5.58","90","3","5","6","7","7","5.04","5.68","1","7","5","6"
"2017","66 and older","Not Working","5.02","5","4423","3","4","6","7","7","4.98","5.06","1","7","5","5"
"2017","66 and older","Part Time","5.17","5","513","3","4","6","7","7","5.05","5.29","1","7","5","6"
"2018","16-34 y.","Full Time","","","","","","","","","","","","","",""
"2018","16-34 y.","Not Working","","","","","","","","","","","","","",""
"2018","16-34 y.","Part Time","","","","","","","","","","","","","",""
"2018","35-65 y.","Full Time","","","","","","","","","","","","","",""
"2018","35-65 y.","Not Working","","","","","","","","","","","","","",""
"2018","35-65 y.","Part Time","","","","","","","","","","","","","",""
"2018","66 and older","Full Time","","","","","","","","","","","","","",""
"2018","66 and older","Not Working","","","","","","","","","","","","","",""
"2018","66 and older","Part Time","","","","","","","","","","","","","",""
"2019","16-34 y.","Full Time","5.2","5","2148","3","4","6","7","7","5.14","5.26","1","7","5","6"
"2019","16-34 y.","Not Working","5.02","5","1419","3","4","6","7","7","4.94","5.1","1","7","5","5"
"2019","16-34 y.","Part Time","5.23","5","1853","3","4","6","7","7","5.16","5.3","1","7","5","5"
"2019","35-65 y.","Full Time","5.01","5","8116","3","4","6","7","7","4.98","5.04","1","7","5","5"
"2019","35-65 y.","Not Working","5","5","2259","3","4","6","7","7","4.94","5.06","1","7","5","5"
"2019","35-65 y.","Part Time","5.11","5","4739","3","4","6","7","7","5.07","5.15","1","7","5","5"
"2019","66 and older","Full Time","5.17","5","227","3","4","6","7","7","4.97","5.37","1","7","5","6"
"2019","66 and older","Not Working","4.97","5","4357","3","4","6","7","7","4.93","5.01","1","7","5","5"
"2019","66 and older","Part Time","5.2","5","608","3","4","6","7","7","5.09","5.31","1","7","5","6"
