"year","migback","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","direct migration background","East Germany","5.05","5","100","3","4","6","7","7","4.76","5.34","1","7","5","6"
"2005","direct migration background","West Germany","4.89","5","2261","3","4","6","7","7","4.83","4.95","1","7","5","5"
"2005","indirect migration background","East Germany","5.38","5.03","35","4","4","7","7","7","4.86","5.9","1","7","5","6"
"2005","indirect migration background","West Germany","5.28","5","795","3","4","6","7","7","5.18","5.38","1","7","5","6"
"2005","no migration background","East Germany","5.05","5","4906","3","4","6","7","7","5.01","5.09","1","7","5","5"
"2005","no migration background","West Germany","5.09","5","12590","3","4","6","7","7","5.06","5.12","1","7","5","5"
"2006","direct migration background","East Germany","","","","","","","","","","","","","",""
"2006","direct migration background","West Germany","","","","","","","","","","","","","",""
"2006","indirect migration background","East Germany","","","","","","","","","","","","","",""
"2006","indirect migration background","West Germany","","","","","","","","","","","","","",""
"2006","no migration background","East Germany","","","","","","","","","","","","","",""
"2006","no migration background","West Germany","","","","","","","","","","","","","",""
"2007","direct migration background","East Germany","","","","","","","","","","","","","",""
"2007","direct migration background","West Germany","","","","","","","","","","","","","",""
"2007","indirect migration background","East Germany","","","","","","","","","","","","","",""
"2007","indirect migration background","West Germany","","","","","","","","","","","","","",""
"2007","no migration background","East Germany","","","","","","","","","","","","","",""
"2007","no migration background","West Germany","","","","","","","","","","","","","",""
"2008","direct migration background","East Germany","","","","","","","","","","","","","",""
"2008","direct migration background","West Germany","","","","","","","","","","","","","",""
"2008","indirect migration background","East Germany","","","","","","","","","","","","","",""
"2008","indirect migration background","West Germany","","","","","","","","","","","","","",""
"2008","no migration background","East Germany","","","","","","","","","","","","","",""
"2008","no migration background","West Germany","","","","","","","","","","","","","",""
"2009","direct migration background","East Germany","4.76","5","74","2","3","6","7","7","4.37","5.15","1","7","4","6"
"2009","direct migration background","West Germany","4.86","5","1569","3","4","6","7","7","4.79","4.93","1","7","5","5"
