"year","age_gr","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","16-34 y.","general elemantary","3.88","4","834","2","3","5","6","3.77","3.99","4","4"
"2005","16-34 y.","higher education","3.51","3","522","1","2","5","6","3.37","3.65","3","3"
"2005","16-34 y.","higher vocational","3.49","3","206","1","2","5","5","3.26","3.72","3","4"
"2005","16-34 y.","in school","3.74","4","650","1","2","5","6","3.61","3.87","3","4"
"2005","16-34 y.","inadequately","4.27","4","59","2","2","6","7","3.75","4.79","3","5"
"2005","16-34 y.","middle vocational","3.68","4","2335","2","2","5","6","3.61","3.75","3","4"
"2005","16-34 y.","vocational + Abi","3.68","4","437","2","2","5","6","3.53","3.83","3","4"
"2005","35-65 y.","general elemantary","3.96","4","824","1","2","5","7","3.84","4.08","4","4"
"2005","35-65 y.","higher education","3.5","3","2980","2","2","5","6","3.44","3.56","3","3"
"2005","35-65 y.","higher vocational","3.5","3","1090","1","2","5","6","3.4","3.6","3","4"
"2005","35-65 y.","in school","","","","","","","","","","",""
"2005","35-65 y.","inadequately","3.8","4","127","1","2","6","7","3.44","4.16","3","4"
"2005","35-65 y.","middle vocational","3.78","4","5955","1","2","5","6","3.74","3.82","4","4"
"2005","35-65 y.","vocational + Abi","3.7","4","593","2","2","5","6","3.56","3.84","3","4"
"2005","66 and older","general elemantary","4.06","4","742","1","3","5","7","3.93","4.19","4","4"
"2005","66 and older","higher education","3.72","4","662","1","2","5","6","3.58","3.86","3","4"
"2005","66 and older","higher vocational","3.71","4","253","1","2","5","6","3.5","3.92","4","4"
"2005","66 and older","in school","","","","","","","","","","",""
"2005","66 and older","inadequately","3.85","4","51","2","2","5","7","3.34","4.36","3","5"
"2005","66 and older","middle vocational","3.76","4","1949","1","2","5","6","3.68","3.84","4","4"
"2005","66 and older","vocational + Abi","3.39","3","102","1","2","5","6","3.05","3.73","3","4"
"2006","16-34 y.","general elemantary","","","","","","","","","","",""
"2006","16-34 y.","higher education","","","","","","","","","","",""
