"year","age_gr","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","16-34 y.","Rural Area","3.83","4","1767","2","3","5","6","7","3.75","3.91","1","7","4","4"
"2005","16-34 y.","Urban Area","3.66","4","3552","1","2","5","6","7","3.61","3.71","1","7","3","4"
"2005","35-65 y.","Rural Area","3.78","4","3810","1","2","5","6","7","3.73","3.83","1","7","4","4"
"2005","35-65 y.","Urban Area","3.68","4","7778","1","2","5","6","7","3.64","3.72","1","7","4","4"
"2005","66 and older","Rural Area","3.87","4","1261","1","2","5","6","7","3.77","3.97","1","7","4","4"
"2005","66 and older","Urban Area","3.78","4","2504","1","2","5","6","7","3.71","3.85","1","7","4","4"
"2006","16-34 y.","Rural Area","","","","","","","","","","","","","",""
"2006","16-34 y.","Urban Area","","","","","","","","","","","","","",""
"2006","35-65 y.","Rural Area","","","","","","","","","","","","","",""
"2006","35-65 y.","Urban Area","","","","","","","","","","","","","",""
"2006","66 and older","Rural Area","","","","","","","","","","","","","",""
"2006","66 and older","Urban Area","","","","","","","","","","","","","",""
"2007","16-34 y.","Rural Area","","","","","","","","","","","","","",""
"2007","16-34 y.","Urban Area","","","","","","","","","","","","","",""
"2007","35-65 y.","Rural Area","","","","","","","","","","","","","",""
"2007","35-65 y.","Urban Area","","","","","","","","","","","","","",""
"2007","66 and older","Rural Area","","","","","","","","","","","","","",""
"2007","66 and older","Urban Area","","","","","","","","","","","","","",""
"2008","16-34 y.","Rural Area","","","","","","","","","","","","","",""
"2008","16-34 y.","Urban Area","","","","","","","","","","","","","",""
"2008","35-65 y.","Rural Area","","","","","","","","","","","","","",""
"2008","35-65 y.","Urban Area","","","","","","","","","","","","","",""
"2008","66 and older","Rural Area","","","","","","","","","","","","","",""
"2008","66 and older","Urban Area","","","","","","","","","","","","","",""
"2009","16-34 y.","Rural Area","3.65","4","1348","1","2","5","6","7","3.56","3.74","1","7","3","4"
"2009","16-34 y.","Urban Area","3.59","4","2642","2","2","5","6","7","3.53","3.65","1","7","3","4"
"2009","35-65 y.","Rural Area","3.67","4","3434","2","2","5","6","7","3.61","3.73","1","7","3","4"
"2009","35-65 y.","Urban Area","3.61","3","6417","1","2","5","6","7","3.57","3.65","1","7","3","4"
"2009","66 and older","Rural Area","3.78","4","1432","1","2","5","6","7","3.69","3.87","1","7","4","4"
"2009","66 and older","Urban Area","3.69","4","2713","1","2","5","6","7","3.62","3.76","1","7","4","4"
"2010","16-34 y.","Rural Area","","","","","","","","","","","","","",""
"2010","16-34 y.","Urban Area","","","","","","","","","","","","","",""
"2010","35-65 y.","Rural Area","","","","","","","","","","","","","",""
"2010","35-65 y.","Urban Area","","","","","","","","","","","","","",""
"2010","66 and older","Rural Area","","","","","","","","","","","","","",""
"2010","66 and older","Urban Area","","","","","","","","","","","","","",""
"2011","16-34 y.","Rural Area","","","","","","","","","","","","","",""
"2011","16-34 y.","Urban Area","","","","","","","","","","","","","",""
"2011","35-65 y.","Rural Area","","","","","","","","","","","","","",""
"2011","35-65 y.","Urban Area","","","","","","","","","","","","","",""
"2011","66 and older","Rural Area","","","","","","","","","","","","","",""
"2011","66 and older","Urban Area","","","","","","","","","","","","","",""
"2012","16-34 y.","Rural Area","3.71","4","881","1","2","5","6","7","3.6","3.82","1","7","4","4"
"2012","16-34 y.","Urban Area","3.82","4","1318","2","3","5","6","7","3.73","3.91","1","7","4","4"
"2012","35-65 y.","Rural Area","3.49","3","1789","1","2","5","6","7","3.41","3.57","1","7","3","4"
"2012","35-65 y.","Urban Area","3.57","4","3109","1","2","5","6","7","3.51","3.63","1","7","3","3"
"2012","66 and older","Rural Area","","","","","","","","","","","","","",""
"2012","66 and older","Urban Area","","","","","","","","","","","","","",""
"2013","16-34 y.","Rural Area","3.66","4","1142","2","2","5","6","7","3.57","3.75","1","7","4","4"
"2013","16-34 y.","Urban Area","3.68","4","2551","2","2","5","6","7","3.62","3.74","1","7","3","4"
"2013","35-65 y.","Rural Area","3.61","4","3793","1","2","5","6","7","3.56","3.66","1","7","4","4"
"2013","35-65 y.","Urban Area","3.6","4","6417","1","2","5","6","7","3.56","3.64","1","7","3","4"
"2013","66 and older","Rural Area","3.69","4","1707","1","2","5","6","7","3.61","3.77","1","7","4","4"
"2013","66 and older","Urban Area","3.73","4","3233","1","2","5","6","7","3.67","3.79","1","7","4","4"
"2014","16-34 y.","Rural Area","","","","","","","","","","","","","",""
"2014","16-34 y.","Urban Area","","","","","","","","","","","","","",""
"2014","35-65 y.","Rural Area","","","","","","","","","","","","","",""
"2014","35-65 y.","Urban Area","","","","","","","","","","","","","",""
"2014","66 and older","Rural Area","","","","","","","","","","","","","",""
"2014","66 and older","Urban Area","","","","","","","","","","","","","",""
"2015","16-34 y.","Rural Area","","","","","","","","","","","","","",""
"2015","16-34 y.","Urban Area","","","","","","","","","","","","","",""
"2015","35-65 y.","Rural Area","","","","","","","","","","","","","",""
"2015","35-65 y.","Urban Area","","","","","","","","","","","","","",""
"2015","66 and older","Rural Area","","","","","","","","","","","","","",""
"2015","66 and older","Urban Area","","","","","","","","","","","","","",""
"2016","16-34 y.","Rural Area","","","","","","","","","","","","","",""
"2016","16-34 y.","Urban Area","","","","","","","","","","","","","",""
"2016","35-65 y.","Rural Area","","","","","","","","","","","","","",""
"2016","35-65 y.","Urban Area","","","","","","","","","","","","","",""
"2016","66 and older","Rural Area","","","","","","","","","","","","","",""
"2016","66 and older","Urban Area","","","","","","","","","","","","","",""
"2017","16-34 y.","Rural Area","3.82","4","2405","2","3","5","6","7","3.75","3.89","1","7","4","4"
"2017","16-34 y.","Urban Area","3.81","4","5165","2","2","5","6","7","3.76","3.86","1","7","4","4"
"2017","35-65 y.","Rural Area","3.6","4","5934","1","2","5","6","7","3.56","3.64","1","7","3","4"
"2017","35-65 y.","Urban Area","3.56","3","10744","1","2","5","6","7","3.53","3.59","1","7","3","3"
"2017","66 and older","Rural Area","3.72","4","1871","1","2","5","6","7","3.64","3.8","1","7","4","4"
"2017","66 and older","Urban Area","3.58","4","3160","1","2","5","6","7","3.52","3.64","1","7","3","4"
"2018","16-34 y.","Rural Area","","","","","","","","","","","","","",""
"2018","16-34 y.","Urban Area","","","","","","","","","","","","","",""
"2018","35-65 y.","Rural Area","","","","","","","","","","","","","",""
"2018","35-65 y.","Urban Area","","","","","","","","","","","","","",""
"2018","66 and older","Rural Area","","","","","","","","","","","","","",""
"2018","66 and older","Urban Area","","","","","","","","","","","","","",""
