"year","e11102","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","Employed","East Germany","5.89","6","2943","5","5","7","7","7","5.86","5.92","1","7","6","6"
"2005","Employed","West Germany","5.87","6","9886","4","5","7","7","7","5.85","5.89","1","7","6","6"
"2005","Not Employed","East Germany","5.57","6","2089","4","5","7","7","7","5.52","5.62","1","7","6","6"
"2005","Not Employed","West Germany","5.58","6","5707","4","5","7","7","7","5.55","5.61","1","7","6","6"
"2006","Employed","East Germany","","","","","","","","","","","","","",""
"2006","Employed","West Germany","","","","","","","","","","","","","",""
"2006","Not Employed","East Germany","","","","","","","","","","","","","",""
"2006","Not Employed","West Germany","","","","","","","","","","","","","",""
"2007","Employed","East Germany","","","","","","","","","","","","","",""
"2007","Employed","West Germany","","","","","","","","","","","","","",""
"2007","Not Employed","East Germany","","","","","","","","","","","","","",""
"2007","Not Employed","West Germany","","","","","","","","","","","","","",""
"2008","Employed","East Germany","","","","","","","","","","","","","",""
"2008","Employed","West Germany","","","","","","","","","","","","","",""
"2008","Not Employed","East Germany","","","","","","","","","","","","","",""
"2008","Not Employed","West Germany","","","","","","","","","","","","","",""
"2009","Employed","East Germany","5.79","6","2684","4","5","7","7","7","5.75","5.83","1","7","6","6"
"2009","Employed","West Germany","5.8","6","8522","4","5","7","7","7","5.78","5.82","1","7","6","6"
"2009","Not Employed","East Germany","5.5","6","1847","4","5","6","7","7","5.44","5.56","1","7","6","6"
"2009","Not Employed","West Germany","5.56","6","4901","4","5","7","7","7","5.52","5.6","1","7","6","6"
"2010","Employed","East Germany","","","","","","","","","","","","","",""
"2010","Employed","West Germany","","","","","","","","","","","","","",""
"2010","Not Employed","East Germany","","","","","","","","","","","","","",""
"2010","Not Employed","West Germany","","","","","","","","","","","","","",""
"2011","Employed","East Germany","","","","","","","","","","","","","",""
"2011","Employed","West Germany","","","","","","","","","","","","","",""
"2011","Not Employed","East Germany","","","","","","","","","","","","","",""
"2011","Not Employed","West Germany","","","","","","","","","","","","","",""
"2012","Employed","East Germany","5.93","6","998","5","6","7","7","7","5.87","5.99","1","7","6","6"
"2012","Employed","West Germany","5.86","6","4374","5","5","7","7","7","5.83","5.89","1","7","6","6"
"2012","Not Employed","East Germany","5.51","6","338","4","5","6","7","7","5.38","5.64","1","7","6","6"
"2012","Not Employed","West Germany","5.55","6","1402","4","5","6","7","7","5.49","5.61","1","7","6","6"
"2013","Employed","East Germany","5.89","6","2599","5","5","7","7","7","5.85","5.93","1","7","6","6"
"2013","Employed","West Germany","5.86","6","8955","5","5","7","7","7","5.84","5.88","1","7","6","6"
"2013","Not Employed","East Germany","5.65","6","1854","4","5","7","7","7","5.6","5.7","1","7","6","6"
"2013","Not Employed","West Germany","5.64","6","5419","4","5","7","7","7","5.61","5.67","1","7","6","6"
"2014","Employed","East Germany","","","","","","","","","","","","","",""
"2014","Employed","West Germany","","","","","","","","","","","","","",""
"2014","Not Employed","East Germany","","","","","","","","","","","","","",""
"2014","Not Employed","West Germany","","","","","","","","","","","","","",""
"2015","Employed","East Germany","","","","","","","","","","","","","",""
"2015","Employed","West Germany","","","","","","","","","","","","","",""
"2015","Not Employed","East Germany","","","","","","","","","","","","","",""
"2015","Not Employed","West Germany","","","","","","","","","","","","","",""
"2016","Employed","East Germany","","","","","","","","","","","","","",""
"2016","Employed","West Germany","","","","","","","","","","","","","",""
"2016","Not Employed","East Germany","","","","","","","","","","","","","",""
"2016","Not Employed","West Germany","","","","","","","","","","","","","",""
"2017","Employed","East Germany","5.83","6","3639","5","5","6","7","7","5.8","5.86","1","7","6","6"
"2017","Employed","West Germany","5.81","6","14647","5","5","7","7","7","5.79","5.83","1","7","6","6"
"2017","Not Employed","East Germany","5.58","6","2449","4","5","6","7","7","5.53","5.63","1","7","6","6"
"2017","Not Employed","West Germany","5.6","6","8480","4","5","6","7","7","5.57","5.63","1","7","6","6"
"2018","Employed","East Germany","","","","","","","","","","","","","",""
"2018","Employed","West Germany","","","","","","","","","","","","","",""
"2018","Not Employed","East Germany","","","","","","","","","","","","","",""
"2018","Not Employed","West Germany","","","","","","","","","","","","","",""
"2019","Employed","East Germany","5.86","6","3601","5","5","6","7","7","5.83","5.89","1","7","6","6"
"2019","Employed","West Germany","5.82","6","14044","5","5","7","7","7","5.8","5.84","1","7","6","6"
"2019","Not Employed","East Germany","5.55","6","1950","4","5","6","7","7","5.5","5.6","1","7","6","6"
"2019","Not Employed","West Germany","5.56","6","6070","4","5","6","7","7","5.53","5.59","1","7","6","6"
