"year","education","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","college entrance qualification","Female","5.78","6","2474","4","5","7","7","5.74","5.82","6","6"
"2005","college entrance qualification","Male","5.79","6","2719","5","5","6","7","5.75","5.83","6","6"
"2005","lower secondary degree","Female","5.67","6","3606","4","5","7","7","5.63","5.71","6","6"
"2005","lower secondary degree","Male","5.77","6","3442","4","5","7","7","5.73","5.81","6","6"
"2005","no degree/no degree yet","Female","5.45","6","481","4","5","7","7","5.33","5.57","5","6"
"2005","no degree/no degree yet","Male","5.3","5","413","4","5","6","7","5.18","5.42","5","5"
"2005","Other degree","Female","5.74","6","578","4","5","7","7","5.64","5.84","6","6"
"2005","Other degree","Male","5.59","6","523","4","5","7","7","5.48","5.7","6","6"
"2005","secondary school degree","Female","5.88","6","3438","4","5","7","7","5.85","5.91","6","6"
"2005","secondary school degree","Male","5.9","6","2566","5","5","7","7","5.86","5.94","6","6"
"2006","college entrance qualification","Female","","","","","","","","","","",""
"2006","college entrance qualification","Male","","","","","","","","","","",""
"2006","lower secondary degree","Female","","","","","","","","","","",""
"2006","lower secondary degree","Male","","","","","","","","","","",""
"2006","no degree/no degree yet","Female","","","","","","","","","","",""
"2006","no degree/no degree yet","Male","","","","","","","","","","",""
"2006","Other degree","Female","","","","","","","","","","",""
"2006","Other degree","Male","","","","","","","","","","",""
"2006","secondary school degree","Female","","","","","","","","","","",""
"2006","secondary school degree","Male","","","","","","","","","","",""
"2007","college entrance qualification","Female","","","","","","","","","","",""
"2007","college entrance qualification","Male","","","","","","","","","","",""
"2007","lower secondary degree","Female","","","","","","","","","","",""
"2007","lower secondary degree","Male","","","","","","","","","","",""
"2007","no degree/no degree yet","Female","","","","","","","","","","",""
"2007","no degree/no degree yet","Male","","","","","","","","","","",""
"2007","Other degree","Female","","","","","","","","","","",""
"2007","Other degree","Male","","","","","","","","","","",""
"2007","secondary school degree","Female","","","","","","","","","","",""
"2007","secondary school degree","Male","","","","","","","","","","",""
