"year","age_gr","pgcasmin","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","16-34 y.","(0) in school","3.76","4","654","3.63","3.89","1","2","5","6"
"2005","16-34 y.","(1a) inadequately completed","4.15","4","40","3.62","4.68","2","3","6","6"
"2005","16-34 y.","(1b) general elementary school","4.11","4","417","3.94","4.28","2","3","5","7"
"2005","16-34 y.","(1c) basic vocational qualification","3.83","4","607","3.69","3.97","1","2","5","6"
"2005","16-34 y.","(2a) intermediate vocational","4.03","4","1148","3.93","4.13","2","3","5","6"
"2005","16-34 y.","(2b) intermediate general qualification","3.6","3","443","3.44","3.76","1","2","5","6"
"2005","16-34 y.","(2c_gen) general maturity certificate","3.95","4","658","3.83","4.07","2","3","5","6"
"2005","16-34 y.","(2c_voc) vocational maturity certificate","3.76","4","505","3.62","3.9","2","3","5","6"
"2005","16-34 y.","(3a) lower tertiary education","4.18","4","198","3.97","4.39","2","3","5","6"
"2005","16-34 y.","(3b) higher tertiary education","3.83","4","325","3.66","4","2","3","5","6"
"2005","35-65 y.","(0) in school","","","","","","","","",""
"2005","35-65 y.","(1a) inadequately completed","4.57","5","142","4.26","4.88","1","4","6","7"
"2005","35-65 y.","(1b) general elementary school","4.42","5","737","4.3","4.54","2","3","6","7"
"2005","35-65 y.","(1c) basic vocational qualification","4.18","4","3373","4.12","4.24","2","3","5","6"
"2005","35-65 y.","(2a) intermediate vocational","4.08","4","3244","4.02","4.14","2","3","5","6"
"2005","35-65 y.","(2b) intermediate general qualification","3.75","4","101","3.44","4.06","1","3","5","6"
"2005","35-65 y.","(2c_gen) general maturity certificate","4.41","4","123","4.11","4.71","2","3","6","6"
"2005","35-65 y.","(2c_voc) vocational maturity certificate","4.07","4","861","3.96","4.18","2","3","5","6"
"2005","35-65 y.","(3a) lower tertiary education","3.92","4","1156","3.83","4.01","2","3","5","6"
"2005","35-65 y.","(3b) higher tertiary education","4.09","4","1822","4.02","4.16","2","3","5","6"
"2005","66 and older","(0) in school","","","","","","","","",""
"2005","66 and older","(1a) inadequately completed","4.62","5","65","4.18","5.06","2","3","6","7"
"2005","66 and older","(1b) general elementary school","4.6","5","708","4.48","4.72","2","4","6","7"
"2005","66 and older","(1c) basic vocational qualification","4.36","4","1726","4.29","4.43","2","3","6","6"
"2005","66 and older","(2a) intermediate vocational","4.53","5","405","4.37","4.69","2","3","6","7"
"2005","66 and older","(2b) intermediate general qualification","4.43","4.28","36","3.96","4.9","3","4","5","6"
"2005","66 and older","(2c_gen) general maturity certificate","","","","","","","","",""
"2005","66 and older","(2c_voc) vocational maturity certificate","4.38","4","150","4.13","4.63","2","4","6","6"
"2005","66 and older","(3a) lower tertiary education","4.24","4","294","4.07","4.41","2","3","5","6"
"2005","66 and older","(3b) higher tertiary education","4.37","4","370","4.21","4.53","2","4","6","6"
"2006","16-34 y.","(0) in school","","","","","","","","",""
"2006","16-34 y.","(1a) inadequately completed","","","","","","","","",""
"2006","16-34 y.","(1b) general elementary school","","","","","","","","",""
"2006","16-34 y.","(1c) basic vocational qualification","","","","","","","","",""
"2006","16-34 y.","(2a) intermediate vocational","","","","","","","","",""
"2006","16-34 y.","(2b) intermediate general qualification","","","","","","","","",""
