"year","migback","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","direct migration background","(0) in school","5.8","6","55","4","5","7","7","5.55","6.05","6","6"
"2005","direct migration background","(1a) inadequately completed","5.98","6","164","4","6","7","7","5.79","6.17","6","6"
"2005","direct migration background","(1b) general elementary school","5.85","6","517","4","5","7","7","5.75","5.95","6","6"
"2005","direct migration background","(1c) basic vocational qualification","5.81","6","667","4","5","7","7","5.72","5.9","6","6"
"2005","direct migration background","(2a) intermediate vocational","6.18","6","148","5","6","7","7","6.04","6.32","6","7"
"2005","direct migration background","(2b) intermediate general qualification","6.1","6","49","5","5","7","7","5.79","6.41","6","7"
"2005","direct migration background","(2c_gen) general maturity certificate","5.9","6","107","4","5","7","7","5.72","6.08","6","6"
"2005","direct migration background","(2c_voc) vocational maturity certificate","5.71","6","270","4","5","7","7","5.58","5.84","6","6"
"2005","direct migration background","(3a) lower tertiary education","5.75","6","75","4","5","7","7","5.5","6","5","6"
"2005","direct migration background","(3b) higher tertiary education","5.98","6","264","5","5","7","7","5.86","6.1","6","6"
"2005","indirect migration background","(0) in school","5.48","6","90","4","5","7","7","5.23","5.73","5","6"
"2005","indirect migration background","(1a) inadequately completed","","","","","","","","","","",""
"2005","indirect migration background","(1b) general elementary school","5.82","6","115","4","5","7","7","5.55","6.09","6","6"
"2005","indirect migration background","(1c) basic vocational qualification","5.8","6","145","4","5","7","7","5.61","5.99","6","7"
"2005","indirect migration background","(2a) intermediate vocational","5.68","6","127","4","5","7","7","5.5","5.86","6","6"
"2005","indirect migration background","(2b) intermediate general qualification","5.95","6","70","5","5","7","7","5.66","6.24","6","6"
"2005","indirect migration background","(2c_gen) general maturity certificate","5.58","6","88","4","5","6","7","5.36","5.8","6","6"
"2005","indirect migration background","(2c_voc) vocational maturity certificate","5.82","6","57","4","5","6","7","5.54","6.1","6","6"
"2005","indirect migration background","(3a) lower tertiary education","","","","","","","","","","",""
"2005","indirect migration background","(3b) higher tertiary education","5.73","6","48","4","5","6","7","5.44","6.02","5","6"
"2005","no migration background","(0) in school","5.76","6","507","4","5","7","7","5.67","5.85","6","6"
"2005","no migration background","(1a) inadequately completed","5.83","6","76","4","5","7","7","5.53","6.13","5","6"
"2005","no migration background","(1b) general elementary school","5.77","6","1228","4","5","7","7","5.7","5.84","6","6"
"2005","no migration background","(1c) basic vocational qualification","5.8","6","4902","4","5","7","7","5.77","5.83","6","6"
"2005","no migration background","(2a) intermediate vocational","5.83","6","4526","4","5","7","7","5.8","5.86","6","6"
"2005","no migration background","(2b) intermediate general qualification","5.88","6","460","4","5","7","7","5.78","5.98","6","6"
"2005","no migration background","(2c_gen) general maturity certificate","5.65","6","602","4","5","6","7","5.56","5.74","6","6"
"2005","no migration background","(2c_voc) vocational maturity certificate","5.76","6","1190","4","5","6","7","5.7","5.82","6","6"
"2005","no migration background","(3a) lower tertiary education","5.83","6","1557","4","5","7","7","5.78","5.88","6","6"
"2005","no migration background","(3b) higher tertiary education","5.73","6","2207","4","5","6","7","5.69","5.77","6","6"
"2006","direct migration background","(0) in school","","","","","","","","","","",""
"2006","direct migration background","(1a) inadequately completed","","","","","","","","","","",""
"2006","direct migration background","(1b) general elementary school","","","","","","","","","","",""
"2006","direct migration background","(1c) basic vocational qualification","","","","","","","","","","",""
"2006","direct migration background","(2a) intermediate vocational","","","","","","","","","","",""
"2006","direct migration background","(2b) intermediate general qualification","","","","","","","","","","",""
"2006","direct migration background","(2c_gen) general maturity certificate","","","","","","","","","","",""
"2006","direct migration background","(2c_voc) vocational maturity certificate","","","","","","","","","","",""
"2006","direct migration background","(3a) lower tertiary education","","","","","","","","","","",""
"2006","direct migration background","(3b) higher tertiary education","","","","","","","","","","",""
"2006","indirect migration background","(0) in school","","","","","","","","","","",""
"2006","indirect migration background","(1a) inadequately completed","","","","","","","","","","",""
"2006","indirect migration background","(1b) general elementary school","","","","","","","","","","",""
"2006","indirect migration background","(1c) basic vocational qualification","","","","","","","","","","",""
"2006","indirect migration background","(2a) intermediate vocational","","","","","","","","","","",""
"2006","indirect migration background","(2b) intermediate general qualification","","","","","","","","","","",""
"2006","indirect migration background","(2c_gen) general maturity certificate","","","","","","","","","","",""
"2006","indirect migration background","(2c_voc) vocational maturity certificate","","","","","","","","","","",""
"2006","indirect migration background","(3a) lower tertiary education","","","","","","","","","","",""
"2006","indirect migration background","(3b) higher tertiary education","","","","","","","","","","",""
"2006","no migration background","(0) in school","","","","","","","","","","",""
"2006","no migration background","(1a) inadequately completed","","","","","","","","","","",""
"2006","no migration background","(1b) general elementary school","","","","","","","","","","",""
"2006","no migration background","(1c) basic vocational qualification","","","","","","","","","","",""
"2006","no migration background","(2a) intermediate vocational","","","","","","","","","","",""
"2006","no migration background","(2b) intermediate general qualification","","","","","","","","","","",""
"2006","no migration background","(2c_gen) general maturity certificate","","","","","","","","","","",""
"2006","no migration background","(2c_voc) vocational maturity certificate","","","","","","","","","","",""
"2006","no migration background","(3a) lower tertiary education","","","","","","","","","","",""
"2006","no migration background","(3b) higher tertiary education","","","","","","","","","","",""
