"year","pgcasmin","sampreg","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","(0) in school","Ostdeutschland, neue Bundeslaender","4.55","4","146","4.3","4.8","2","4","6","6"
"2005","(0) in school","Westdeutschland, alte Bundeslaender","4.66","5","507","4.54","4.78","3","4","6","6"
"2005","(1a) inadequately completed","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2005","(1a) inadequately completed","Westdeutschland, alte Bundeslaender","4.29","4","225","4.07","4.51","2","3","6","7"
"2005","(1b) general elementary school","Ostdeutschland, neue Bundeslaender","4.37","4","210","4.16","4.58","2","3","5","7"
"2005","(1b) general elementary school","Westdeutschland, alte Bundeslaender","4.31","4","1645","4.23","4.39","2","3","5","7"
"2005","(1c) basic vocational qualification","Ostdeutschland, neue Bundeslaender","4.47","5","1085","4.38","4.56","2","3","6","7"
"2005","(1c) basic vocational qualification","Westdeutschland, alte Bundeslaender","4.57","5","4622","4.53","4.61","2","4","6","7"
"2005","(2a) intermediate vocational","Ostdeutschland, neue Bundeslaender","4.5","5","1704","4.43","4.57","2","4","6","6"
"2005","(2a) intermediate vocational","Westdeutschland, alte Bundeslaender","4.57","5","3088","4.52","4.62","2","4","6","7"
"2005","(2b) intermediate general qualification","Ostdeutschland, neue Bundeslaender","4.47","4","141","4.22","4.72","3","4","6","6"
"2005","(2b) intermediate general qualification","Westdeutschland, alte Bundeslaender","4.67","5","439","4.52","4.82","3","4","6","7"
"2005","(2c_gen) general maturity certificate","Ostdeutschland, neue Bundeslaender","4.69","5","186","4.49","4.89","3","4","6","6"
"2005","(2c_gen) general maturity certificate","Westdeutschland, alte Bundeslaender","4.52","5","609","4.4","4.64","3","4","6","6"
"2005","(2c_voc) vocational maturity certificate","Ostdeutschland, neue Bundeslaender","4.47","4","212","4.28","4.66","3","4","5","6"
"2005","(2c_voc) vocational maturity certificate","Westdeutschland, alte Bundeslaender","4.48","5","1305","4.4","4.56","2","3","6","6"
"2005","(3a) lower tertiary education","Ostdeutschland, neue Bundeslaender","4.57","5","661","4.47","4.67","3","4","6","6"
"2005","(3a) lower tertiary education","Westdeutschland, alte Bundeslaender","4.71","5","991","4.62","4.8","3","4","6","6"
"2005","(3b) higher tertiary education","Ostdeutschland, neue Bundeslaender","4.67","5","594","4.56","4.78","3","4","6","6"
"2005","(3b) higher tertiary education","Westdeutschland, alte Bundeslaender","4.56","5","1922","4.49","4.63","2","3","6","6"
"2006","(0) in school","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","(0) in school","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2006","(1a) inadequately completed","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","(1a) inadequately completed","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2006","(1b) general elementary school","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","(1b) general elementary school","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2006","(1c) basic vocational qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","(1c) basic vocational qualification","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2006","(2a) intermediate vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","(2a) intermediate vocational","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2006","(2b) intermediate general qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","(2b) intermediate general qualification","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2006","(2c_gen) general maturity certificate","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","(2c_gen) general maturity certificate","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2006","(2c_voc) vocational maturity certificate","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","(2c_voc) vocational maturity certificate","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2006","(3a) lower tertiary education","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","(3a) lower tertiary education","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2006","(3b) higher tertiary education","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","(3b) higher tertiary education","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2007","(0) in school","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2007","(0) in school","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2007","(1a) inadequately completed","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2007","(1a) inadequately completed","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2007","(1b) general elementary school","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2007","(1b) general elementary school","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2007","(1c) basic vocational qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2007","(1c) basic vocational qualification","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2007","(2a) intermediate vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2007","(2a) intermediate vocational","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2007","(2b) intermediate general qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2007","(2b) intermediate general qualification","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2007","(2c_gen) general maturity certificate","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2007","(2c_gen) general maturity certificate","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2007","(2c_voc) vocational maturity certificate","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2007","(2c_voc) vocational maturity certificate","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2007","(3a) lower tertiary education","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2007","(3a) lower tertiary education","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2007","(3b) higher tertiary education","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2007","(3b) higher tertiary education","Westdeutschland, alte Bundeslaender","","","","","","","","",""
