"year","pgisced97","sampreg","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","general elemantary","Ostdeutschland, neue Bundeslaender","4.4","4","342","4.24","4.56","2","3","6","6"
"2005","general elemantary","Westdeutschland, alte Bundeslaender","4.39","4","2056","4.32","4.46","2","3","5","7"
"2005","higher education","Ostdeutschland, neue Bundeslaender","4.62","5","1255","4.54","4.7","3","4","6","6"
"2005","higher education","Westdeutschland, alte Bundeslaender","4.62","5","2913","4.57","4.67","3","4","6","6"
"2005","higher vocational","Ostdeutschland, neue Bundeslaender","4.5","5","421","4.36","4.64","2","3","6","7"
"2005","higher vocational","Westdeutschland, alte Bundeslaender","4.68","5","1137","4.59","4.77","3","4","6","7"
"2005","in school","Ostdeutschland, neue Bundeslaender","4.55","4","146","4.3","4.8","2","4","6","6"
"2005","in school","Westdeutschland, alte Bundeslaender","4.66","5","503","4.54","4.78","3","4","6","6"
"2005","inadequately","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2005","inadequately","Westdeutschland, alte Bundeslaender","4.2","4","218","3.97","4.43","2","3","6","7"
"2005","middle vocational","Ostdeutschland, neue Bundeslaender","4.5","5","2629","4.44","4.56","2","3","6","6"
"2005","middle vocational","Westdeutschland, alte Bundeslaender","4.55","5","7610","4.52","4.58","2","4","6","7"
"2005","vocational + Abi","Ostdeutschland, neue Bundeslaender","4.51","4","162","4.29","4.73","3","4","5","6"
"2005","vocational + Abi","Westdeutschland, alte Bundeslaender","4.42","5","973","4.32","4.52","2","3","6","6"
"2006","general elemantary","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","general elemantary","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2006","higher education","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","higher education","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2006","higher vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","higher vocational","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2006","in school","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","in school","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2006","inadequately","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","inadequately","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2006","middle vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","middle vocational","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2006","vocational + Abi","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","vocational + Abi","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2007","general elemantary","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2007","general elemantary","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2007","higher education","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2007","higher education","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2007","higher vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2007","higher vocational","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2007","in school","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2007","in school","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2007","inadequately","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2007","inadequately","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2007","middle vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2007","middle vocational","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2007","vocational + Abi","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2007","vocational + Abi","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2008","general elemantary","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2008","general elemantary","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2008","higher education","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2008","higher education","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2008","higher vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2008","higher vocational","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2008","in school","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2008","in school","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2008","inadequately","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2008","inadequately","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2008","middle vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2008","middle vocational","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2008","vocational + Abi","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2008","vocational + Abi","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2009","general elemantary","Ostdeutschland, neue Bundeslaender","4.24","4","265","4.05","4.43","2","3","5","6"
"2009","general elemantary","Westdeutschland, alte Bundeslaender","4.3","4","1523","4.22","4.38","2","3","5","6"
"2009","higher education","Ostdeutschland, neue Bundeslaender","4.53","5","1204","4.45","4.61","3","4","5","6"
"2009","higher education","Westdeutschland, alte Bundeslaender","4.47","5","2823","4.42","4.52","3","4","6","6"
"2009","higher vocational","Ostdeutschland, neue Bundeslaender","4.49","4","372","4.35","4.63","3","4","5","6"
"2009","higher vocational","Westdeutschland, alte Bundeslaender","4.53","5","957","4.44","4.62","3","4","6","6"
"2009","in school","Ostdeutschland, neue Bundeslaender","4.68","5","53","4.3","5.06","3","4","6","6"
"2009","in school","Westdeutschland, alte Bundeslaender","4.49","4","257","4.31","4.67","3","4","5","7"
"2009","inadequately","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2009","inadequately","Westdeutschland, alte Bundeslaender","3.74","4","149","3.47","4.01","1","3","5","6"
"2009","middle vocational","Ostdeutschland, neue Bundeslaender","4.36","4","2396","4.3","4.42","2","3","6","6"
"2009","middle vocational","Westdeutschland, alte Bundeslaender","4.45","5","6658","4.41","4.49","2","3","6","6"
"2009","vocational + Abi","Ostdeutschland, neue Bundeslaender","4.37","5","152","4.14","4.6","2","4","5","6"
"2009","vocational + Abi","Westdeutschland, alte Bundeslaender","4.34","4","845","4.24","4.44","2","3","5","6"
"2010","general elemantary","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2010","general elemantary","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2010","higher education","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2010","higher education","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2010","higher vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2010","higher vocational","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2010","in school","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2010","in school","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2010","inadequately","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2010","inadequately","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2010","middle vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2010","middle vocational","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2010","vocational + Abi","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2010","vocational + Abi","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2011","general elemantary","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2011","general elemantary","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2011","higher education","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2011","higher education","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2011","higher vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2011","higher vocational","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2011","in school","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2011","in school","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2011","inadequately","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2011","inadequately","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2011","middle vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2011","middle vocational","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2011","vocational + Abi","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2011","vocational + Abi","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2012","general elemantary","Ostdeutschland, neue Bundeslaender","4.16","4","97","3.84","4.48","2","3","5","6"
"2012","general elemantary","Westdeutschland, alte Bundeslaender","4.51","5","683","4.39","4.63","2","3","6","7"
"2012","higher education","Ostdeutschland, neue Bundeslaender","4.56","5","272","4.39","4.73","3","4","6","6"
"2012","higher education","Westdeutschland, alte Bundeslaender","4.55","5","1223","4.47","4.63","3","4","6","6"
"2012","higher vocational","Ostdeutschland, neue Bundeslaender","4.83","5","69","4.5","5.16","3","4","6","6"
"2012","higher vocational","Westdeutschland, alte Bundeslaender","4.7","5","296","4.53","4.87","3","4","6","6"
"2012","in school","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2012","in school","Westdeutschland, alte Bundeslaender","4.66","5","169","4.44","4.88","3","4","6","6"
"2012","inadequately","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2012","inadequately","Westdeutschland, alte Bundeslaender","4.13","4","142","3.82","4.44","2","3","5","7"
"2012","middle vocational","Ostdeutschland, neue Bundeslaender","4.52","5","728","4.41","4.63","2","4","6","6"
"2012","middle vocational","Westdeutschland, alte Bundeslaender","4.63","5","2518","4.57","4.69","2","4","6","7"
"2012","vocational + Abi","Ostdeutschland, neue Bundeslaender","4.42","5","110","4.12","4.72","2","4","6","6"
"2012","vocational + Abi","Westdeutschland, alte Bundeslaender","4.67","5","644","4.55","4.79","2","4","6","6"
