"year","pgisced97","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","general elemantary","Female","4.32","4","1620","2","3","5","7","4.24","4.4","4","4"
"2005","general elemantary","Male","4.56","5","778","3","4","6","7","4.45","4.67","4","5"
"2005","higher education","Female","4.38","4","1862","2","3","5","6","4.31","4.45","4","5"
"2005","higher education","Male","4.8","5","2306","3","4","6","7","4.74","4.86","5","5"
"2005","higher vocational","Female","4.45","4","665","2","3","6","7","4.33","4.57","4","5"
"2005","higher vocational","Male","4.77","5","893","3","4","6","7","4.68","4.86","5","5"
"2005","in school","Female","4.45","5","339","3","4","5","6","4.3","4.6","4","5"
"2005","in school","Male","4.84","5","310","3","4","6","7","4.69","4.99","5","5"
"2005","inadequately","Female","3.92","4","135","2","3","5","7","3.64","4.2","3","4"
"2005","inadequately","Male","4.47","5","101","2","4","6","7","4.11","4.83","4","5"
"2005","middle vocational","Female","4.42","4","5366","2","3","6","6","4.38","4.46","4","5"
"2005","middle vocational","Male","4.67","5","4873","3","4","6","7","4.63","4.71","5","5"
"2005","vocational + Abi","Female","4.32","4","667","2","3","5","6","4.2","4.44","4","4"
"2005","vocational + Abi","Male","4.58","5","468","3","3","6","6","4.45","4.71","5","5"
"2006","general elemantary","Female","","","","","","","","","","",""
"2006","general elemantary","Male","","","","","","","","","","",""
"2006","higher education","Female","","","","","","","","","","",""
"2006","higher education","Male","","","","","","","","","","",""
"2006","higher vocational","Female","","","","","","","","","","",""
"2006","higher vocational","Male","","","","","","","","","","",""
"2006","in school","Female","","","","","","","","","","",""
"2006","in school","Male","","","","","","","","","","",""
"2006","inadequately","Female","","","","","","","","","","",""
"2006","inadequately","Male","","","","","","","","","","",""
"2006","middle vocational","Female","","","","","","","","","","",""
"2006","middle vocational","Male","","","","","","","","","","",""
"2006","vocational + Abi","Female","","","","","","","","","","",""
"2006","vocational + Abi","Male","","","","","","","","","","",""
"2007","general elemantary","Female","","","","","","","","","","",""
"2007","general elemantary","Male","","","","","","","","","","",""
"2007","higher education","Female","","","","","","","","","","",""
"2007","higher education","Male","","","","","","","","","","",""
"2007","higher vocational","Female","","","","","","","","","","",""
"2007","higher vocational","Male","","","","","","","","","","",""
"2007","in school","Female","","","","","","","","","","",""
"2007","in school","Male","","","","","","","","","","",""
"2007","inadequately","Female","","","","","","","","","","",""
"2007","inadequately","Male","","","","","","","","","","",""
"2007","middle vocational","Female","","","","","","","","","","",""
"2007","middle vocational","Male","","","","","","","","","","",""
"2007","vocational + Abi","Female","","","","","","","","","","",""
"2007","vocational + Abi","Male","","","","","","","","","","",""
"2008","general elemantary","Female","","","","","","","","","","",""
"2008","general elemantary","Male","","","","","","","","","","",""
"2008","higher education","Female","","","","","","","","","","",""
"2008","higher education","Male","","","","","","","","","","",""
"2008","higher vocational","Female","","","","","","","","","","",""
"2008","higher vocational","Male","","","","","","","","","","",""
"2008","in school","Female","","","","","","","","","","",""
"2008","in school","Male","","","","","","","","","","",""
"2008","inadequately","Female","","","","","","","","","","",""
"2008","inadequately","Male","","","","","","","","","","",""
"2008","middle vocational","Female","","","","","","","","","","",""
"2008","middle vocational","Male","","","","","","","","","","",""
"2008","vocational + Abi","Female","","","","","","","","","","",""
"2008","vocational + Abi","Male","","","","","","","","","","",""
"2009","general elemantary","Female","4.22","4","1234","2","3","5","6","4.13","4.31","4","4"
"2009","general elemantary","Male","4.46","4","554","3","4","5","6","4.33","4.59","4","5"
"2009","higher education","Female","4.28","4","1850","2","3","5","6","4.22","4.34","4","4"
"2009","higher education","Male","4.64","5","2177","3","4","6","6","4.58","4.7","5","5"
"2009","higher vocational","Female","4.25","4","549","2","3","5","6","4.13","4.37","4","5"
"2009","higher vocational","Male","4.71","5","780","3","4","6","6","4.61","4.81","5","5"
"2009","in school","Female","4.34","5","143","3","3","5","6","4.09","4.59","4","5"
"2009","in school","Male","4.69","4","167","3","4","6","7","4.49","4.89","5","5"
"2009","inadequately","Female","3.56","4","96","1","2","5","6","3.23","3.89","3","4"
"2009","inadequately","Male","3.79","4","69","1","3","5","6","3.38","4.2","3","4"
"2009","middle vocational","Female","4.28","4","4780","2","3","5","6","4.24","4.32","4","4"
"2009","middle vocational","Male","4.59","5","4274","2","4","6","6","4.55","4.63","5","5"
"2009","vocational + Abi","Female","4.13","4","605","2","3","5","6","4.01","4.25","4","4"
"2009","vocational + Abi","Male","4.64","5","392","3","4","6","6","4.5","4.78","5","5"
"2010","general elemantary","Female","","","","","","","","","","",""
"2010","general elemantary","Male","","","","","","","","","","",""
"2010","higher education","Female","","","","","","","","","","",""
"2010","higher education","Male","","","","","","","","","","",""
"2010","higher vocational","Female","","","","","","","","","","",""
"2010","higher vocational","Male","","","","","","","","","","",""
"2010","in school","Female","","","","","","","","","","",""
"2010","in school","Male","","","","","","","","","","",""
"2010","inadequately","Female","","","","","","","","","","",""
"2010","inadequately","Male","","","","","","","","","","",""
"2010","middle vocational","Female","","","","","","","","","","",""
"2010","middle vocational","Male","","","","","","","","","","",""
"2010","vocational + Abi","Female","","","","","","","","","","",""
"2010","vocational + Abi","Male","","","","","","","","","","",""
"2011","general elemantary","Female","","","","","","","","","","",""
"2011","general elemantary","Male","","","","","","","","","","",""
"2011","higher education","Female","","","","","","","","","","",""
"2011","higher education","Male","","","","","","","","","","",""
"2011","higher vocational","Female","","","","","","","","","","",""
"2011","higher vocational","Male","","","","","","","","","","",""
"2011","in school","Female","","","","","","","","","","",""
"2011","in school","Male","","","","","","","","","","",""
"2011","inadequately","Female","","","","","","","","","","",""
"2011","inadequately","Male","","","","","","","","","","",""
"2011","middle vocational","Female","","","","","","","","","","",""
"2011","middle vocational","Male","","","","","","","","","","",""
"2011","vocational + Abi","Female","","","","","","","","","","",""
"2011","vocational + Abi","Male","","","","","","","","","","",""
"2012","general elemantary","Female","4.25","4","486","2","3","5","6","4.11","4.39","4","5"
"2012","general elemantary","Male","4.8","5","294","3","4","6","7","4.63","4.97","5","5"
"2012","higher education","Female","4.18","4","810","2","3","5","6","4.08","4.28","4","5"
"2012","higher education","Male","4.95","5","685","3","4","6","6","4.86","5.04","5","5"
"2012","higher vocational","Female","4.43","5","144","2","3","6","6","4.19","4.67","4","5"
"2012","higher vocational","Male","4.9","5","221","3","4","6","7","4.71","5.09","5","5"
"2012","in school","Female","4.23","4","99","2","3","5","6","3.9","4.56","4","5"
"2012","in school","Male","5.07","5","91","4","4","6","6","4.83","5.31","5","6"
"2012","inadequately","Female","4.23","4","92","1","3","6","7","3.82","4.64","4","5"
"2012","inadequately","Male","4.05","4","65","2","3","5","6","3.65","4.45","4","5"
"2012","middle vocational","Female","4.45","5","1991","2","3","6","6","4.38","4.52","5","5"
"2012","middle vocational","Male","4.82","5","1255","3","4","6","7","4.74","4.9","5","5"
"2012","vocational + Abi","Female","4.52","5","539","2","4","6","6","4.39","4.65","4","5"
"2012","vocational + Abi","Male","4.88","5","215","3","4","6","7","4.69","5.07","5","5"
"2013","general elemantary","Female","4.33","4","1258","2","3","5","6","4.24","4.42","4","4"
"2013","general elemantary","Male","4.65","5","575","3","4","6","7","4.53","4.77","5","5"
"2013","higher education","Female","4.37","4","2114","2","3","5","6","4.31","4.43","4","5"
"2013","higher education","Male","4.8","5","2349","3","4","6","6","4.74","4.86","5","5"
"2013","higher vocational","Female","4.41","4","503","2","3","6","6","4.28","4.54","4","5"
"2013","higher vocational","Male","4.83","5","824","3","4","6","6","4.74","4.92","5","5"
"2013","in school","Female","4.06","4","138","2","3","5","6","3.82","4.3","4","5"
"2013","in school","Male","4.51","4","121","3","3","6","6","4.26","4.76","5","5"
"2013","inadequately","Female","3.95","4","109","1","2","6","6","3.6","4.3","3","4"
"2013","inadequately","Male","4.58","4","85","2","4","6","7","4.21","4.95","4","5"
"2013","middle vocational","Female","4.43","5","5095","2","3","6","6","4.39","4.47","4","5"
"2013","middle vocational","Male","4.81","5","4313","3","4","6","7","4.77","4.85","5","5"
"2013","vocational + Abi","Female","4.54","5","680","3","4","6","6","4.43","4.65","4","5"
"2013","vocational + Abi","Male","4.82","5","419","3","4","6","7","4.68","4.96","5","5"
"2014","general elemantary","Female","","","","","","","","","","",""
"2014","general elemantary","Male","","","","","","","","","","",""
"2014","higher education","Female","","","","","","","","","","",""
"2014","higher education","Male","","","","","","","","","","",""
"2014","higher vocational","Female","","","","","","","","","","",""
"2014","higher vocational","Male","","","","","","","","","","",""
"2014","in school","Female","","","","","","","","","","",""
"2014","in school","Male","","","","","","","","","","",""
"2014","inadequately","Female","","","","","","","","","","",""
"2014","inadequately","Male","","","","","","","","","","",""
"2014","middle vocational","Female","","","","","","","","","","",""
"2014","middle vocational","Male","","","","","","","","","","",""
"2014","vocational + Abi","Female","","","","","","","","","","",""
"2014","vocational + Abi","Male","","","","","","","","","","",""
"2015","general elemantary","Female","","","","","","","","","","",""
"2015","general elemantary","Male","","","","","","","","","","",""
"2015","higher education","Female","","","","","","","","","","",""
"2015","higher education","Male","","","","","","","","","","",""
"2015","higher vocational","Female","","","","","","","","","","",""
"2015","higher vocational","Male","","","","","","","","","","",""
"2015","in school","Female","","","","","","","","","","",""
"2015","in school","Male","","","","","","","","","","",""
"2015","inadequately","Female","","","","","","","","","","",""
"2015","inadequately","Male","","","","","","","","","","",""
"2015","middle vocational","Female","","","","","","","","","","",""
"2015","middle vocational","Male","","","","","","","","","","",""
"2015","vocational + Abi","Female","","","","","","","","","","",""
"2015","vocational + Abi","Male","","","","","","","","","","",""
"2016","general elemantary","Female","","","","","","","","","","",""
