"year","sex","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","Female","4.38","4","10798","4.35","4.41","2","3","6","6"
"2005","Male","4.68","5","9886","4.65","4.71","3","4","6","7"
"2006","Female","","","","","","","","",""
"2006","Male","","","","","","","","",""
"2007","Female","","","","","","","","",""
"2007","Male","","","","","","","","",""
"2008","Female","","","","","","","","",""
"2008","Male","","","","","","","","",""
"2009","Female","4.26","4","9408","4.23","4.29","2","3","5","6"
"2009","Male","4.6","5","8588","4.57","4.63","3","4","6","6"
"2010","Female","","","","","","","","",""
"2010","Male","","","","","","","","",""
"2011","Female","","","","","","","","",""
"2011","Male","","","","","","","","",""
"2012","Female","4.37","5","4230","4.32","4.42","2","3","6","6"
"2012","Male","4.85","5","2887","4.8","4.9","3","4","6","7"
"2013","Female","4.4","5","10030","4.37","4.43","2","3","5","6"
"2013","Male","4.79","5","8828","4.76","4.82","3","4","6","7"
"2014","Female","","","","","","","","",""
"2014","Male","","","","","","","","",""
"2015","Female","","","","","","","","",""
"2015","Male","","","","","","","","",""
"2016","Female","","","","","","","","",""
"2016","Male","","","","","","","","",""
"2017","Female","4.4","5","15293","4.38","4.42","2","3","6","6"
"2017","Male","4.75","5","13970","4.73","4.77","3","4","6","7"
"2018","Female","","","","","","","","",""
"2018","Male","","","","","","","","",""
"2019","Female","4.42","4","13462","4.39","4.45","2","3","6","6"
"2019","Male","4.77","5","12296","4.74","4.8","3","4","6","7"
