"year","e11103","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2008","Full Time","general elemantary","6.88","7","420","5","6","8","8","10","6.77","6.99","3","11","7","7"
"2008","Full Time","higher education","6.81","7","2147","6","6","7","8","9","6.77","6.85","3","12","7","7"
"2008","Full Time","higher vocational","6.82","7","667","6","6","7","8","9","6.74","6.9","3","11","7","7"
"2008","Full Time","in school","","","","","","","","","","","","","",""
"2008","Full Time","inadequately","6.49","7","38","5","6","7","8","9","6.03","6.95","4","10","6","7"
"2008","Full Time","middle vocational","6.81","7","3605","6","6","7","8","9","6.78","6.84","1","12","7","7"
"2008","Full Time","vocational + Abi","6.95","7","512","6","6","8","8","9","6.87","7.03","4","10","7","7"
"2008","Not Working","general elemantary","7.16","7","1202","5","6","8","9","10","7.07","7.25","2","14","7","7"
"2008","Not Working","higher education","7.42","8","1162","6","7","8","9","11","7.35","7.49","3","18","7","8"
"2008","Not Working","higher vocational","7.39","7","459","6","7","8","9","10","7.27","7.51","2","12","7","8"
"2008","Not Working","in school","7.44","7","288","6","7","8","8","10","7.32","7.56","2","10","7","8"
"2008","Not Working","inadequately","7.1","7","116","5","6","8","9","12","6.8","7.4","3","12","7","8"
"2008","Not Working","middle vocational","7.24","7","3846","6","6","8","9","10","7.2","7.28","2","15","7","7"
"2008","Not Working","vocational + Abi","7.41","7","254","6","7","8","9","12","7.25","7.57","3","12","7","8"
"2008","Part Time","general elemantary","6.99","7","409","5","6","8","8","10","6.86","7.12","3","11","7","7"
"2008","Part Time","higher education","7.1","7","896","6","6","8","8","10","7.04","7.16","2","11","7","7"
"2008","Part Time","higher vocational","7.11","7","294","6","6","8","8","9","6.99","7.23","3","10","7","7"
"2008","Part Time","in school","7.13","7","63","6","6","8","8","9","6.88","7.38","4","10","7","8"
"2008","Part Time","inadequately","7.06","7","31","5","6","8","8","10","6.62","7.5","4","10","7","8"
"2008","Part Time","middle vocational","7.09","7","2295","6","6","8","8","10","7.04","7.14","3","13","7","7"
"2008","Part Time","vocational + Abi","7.12","7","329","6","6","8","8","10","7.02","7.22","4","10","7","7"
"2009","Full Time","general elemantary","7.03","7","389","6","6","8","8","10","6.92","7.14","4","12","7","7"
"2009","Full Time","higher education","6.86","7","2050","6","6","7","8","9","6.82","6.9","3","10","7","7"
"2009","Full Time","higher vocational","6.8","7","606","6","6","7","8","10","6.72","6.88","3","10","7","7"
"2009","Full Time","in school","","","","","","","","","","","","","",""
"2009","Full Time","inadequately","6.99","7","40","5","6","8","8","10","6.56","7.42","3","10","6","8"
"2009","Full Time","middle vocational","6.8","7","3347","6","6","7","8","9","6.77","6.83","2","12","7","7"
"2009","Full Time","vocational + Abi","6.93","7","477","6","6","8","8","9","6.85","7.01","4","11","7","7"
"2009","Not Working","general elemantary","7.12","7","1048","5","6","8","9","10","7.03","7.21","2","14","7","7"
"2009","Not Working","higher education","7.3","7","1103","6","7","8","9","10","7.23","7.37","3","12","7","8"
"2009","Not Working","higher vocational","7.3","7","423","6","7","8","9","10","7.17","7.43","2","12","7","8"
"2009","Not Working","in school","7.25","7","251","6","7","8","8","9","7.14","7.36","4","10","7","7"
"2009","Not Working","inadequately","7.02","7","96","5","6","8","9","12","6.65","7.39","1","12","7","8"
"2009","Not Working","middle vocational","7.13","7","3530","6","6","8","8","10","7.09","7.17","1","16","7","7"
"2009","Not Working","vocational + Abi","7.2","7","244","6","6","8","8","10","7.05","7.35","4","14","7","7"
"2009","Part Time","general elemantary","6.94","7","360","6","6","8","8","10","6.8","7.08","2","12","7","7"
"2009","Part Time","higher education","7.14","7","888","6","7","8","8","10","7.08","7.2","3","16","7","7"
"2009","Part Time","higher vocational","7.1","7","300","6","7","8","8","9","6.99","7.21","2","12","7","7"
"2009","Part Time","in school","7.51","7","60","6","7","8","9","10","7.29","7.73","5","10","7","8"
"2009","Part Time","inadequately","6.99","7","32","5","6","8","8","12","6.5","7.48","5","12","6","8"
"2009","Part Time","middle vocational","7.06","7","2193","6","6","8","8","10","7.01","7.11","2","12","7","7"
"2009","Part Time","vocational + Abi","7.04","7","282","6","6","8","8","10","6.92","7.16","2","10","7","7"
"2010","Full Time","general elemantary","6.88","7","551","6","6","8","8","9","6.79","6.97","3","12","7","7"
"2010","Full Time","higher education","6.85","7","2711","6","6","7","8","9","6.82","6.88","3","10","7","7"
"2010","Full Time","higher vocational","6.74","7","799","6","6","7","8","10","6.67","6.81","3","10","7","7"
"2010","Full Time","in school","","","","","","","","","","","","","",""
"2010","Full Time","inadequately","5.9","6","58","4","4","7","7","8","5.57","6.23","3","8","6","7"
"2010","Full Time","middle vocational","6.8","7","4310","6","6","7","8","9","6.77","6.83","1","12","7","7"
"2010","Full Time","vocational + Abi","6.87","7","706","6","6","7","8","9","6.8","6.94","3","10","7","7"
"2010","Not Working","general elemantary","7.07","7","1344","5","6","8","9","11","6.99","7.15","2","12","7","7"
"2010","Not Working","higher education","7.27","7","1321","6","6","8","9","10","7.21","7.33","3","13","7","7"
"2010","Not Working","higher vocational","7.24","7","447","6","7","8","9","10","7.12","7.36","2","12","7","7"
"2010","Not Working","in school","7.35","7","339","6","7","8","8","12","7.25","7.45","3","12","7","7"
"2010","Not Working","inadequately","6.81","7","216","5","6","8","9","12","6.58","7.04","1","12","6","7"
"2010","Not Working","middle vocational","7.09","7","4203","5","6","8","9","10","7.05","7.13","1","15","7","7"
"2010","Not Working","vocational + Abi","7.19","7","424","6","6","8","8","12","7.06","7.32","2","14","7","7"
"2010","Part Time","general elemantary","6.84","7","560","5","6","8","8","9","6.74","6.94","2","10","7","7"
"2010","Part Time","higher education","7.01","7","1344","6","6","8","8","9","6.96","7.06","2","10","7","7"
"2010","Part Time","higher vocational","7.12","7","368","6","7","8","8","9","7.01","7.23","4","10","7","7"
"2010","Part Time","in school","7.42","7","72","6","7","8","9","10","7.15","7.69","5","10","7","8"
"2010","Part Time","inadequately","7.04","7","70","6","6","8","8","9","6.74","7.34","4","10","6","7"
"2010","Part Time","middle vocational","6.98","7","3253","6","6","8","8","10","6.94","7.02","2","12","7","7"
"2010","Part Time","vocational + Abi","6.94","7","582","6","6","8","8","10","6.86","7.02","3","10","7","7"
