"year","hgtyp1hh","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","(Married) couple without C.","direct migration background","2.81","3","416","2","2","4","4","5","2.7","2.92","1","5","2","3"
"1990","(Married) couple without C.","indirect migration background","","","","","","","","","","","","","",""
"1990","(Married) couple without C.","no migration background","2.68","3","1864","2","2","3","4","5","2.64","2.72","1","5","3","3"
"1990","1-pers.-HH","direct migration background","3","3","160","2","2","4","5","5","2.8","3.2","1","5","3","3"
"1990","1-pers.-HH","indirect migration background","","","","","","","","","","","","","",""
"1990","1-pers.-HH","no migration background","2.81","3","861","2","2","4","4","5","2.74","2.88","1","5","3","3"
"1990","Couple + C. GT 16 ","direct migration background","2.92","3","501","2","2","4","4","5","2.82","3.02","1","5","2","3"
"1990","Couple + C. GT 16 ","indirect migration background","3","3","126","2","2","4","4","5","2.8","3.2","1","5","2","3"
"1990","Couple + C. GT 16 ","no migration background","2.97","3","1425","2","2","4","4","5","2.92","3.02","1","5","3","3"
"1990","Couple + C. LE 16","direct migration background","2.76","3","684","2","2","4","4","5","2.67","2.85","1","5","2","2"
"1990","Couple + C. LE 16","indirect migration background","","","","","","","","","","","","","",""
"1990","Couple + C. LE 16","no migration background","2.65","3","1375","2","2","3","4","4","2.6","2.7","1","5","2","3"
"1990","Couple + C. LE and GT 16","direct migration background","2.97","3","420","2","2","4","4","5","2.86","3.08","1","5","2","3"
"1990","Couple + C. LE and GT 16","indirect migration background","3.06","3","71","2","2","4","4","5","2.8","3.32","1","5","2","3"
"1990","Couple + C. LE and GT 16","no migration background","3","3","397","2","2","4","4","5","2.91","3.09","1","5","3","3"
"1990","Single parent","direct migration background","3.04","3","81","1","2","4","5","5","2.76","3.32","1","5","2","3"
"1990","Single parent","indirect migration background","","","","","","","","","","","","","",""
"1990","Single parent","no migration background","2.85","3","364","2","2","4","4","5","2.74","2.96","1","5","3","3"
"1991","(Married) couple without C.","direct migration background","","","","","","","","","","","","","",""
"1991","(Married) couple without C.","indirect migration background","","","","","","","","","","","","","",""
"1991","(Married) couple without C.","no migration background","","","","","","","","","","","","","",""
"1991","1-pers.-HH","direct migration background","","","","","","","","","","","","","",""
"1991","1-pers.-HH","indirect migration background","","","","","","","","","","","","","",""
"1991","1-pers.-HH","no migration background","","","","","","","","","","","","","",""
"1991","Couple + C. GT 16 ","direct migration background","","","","","","","","","","","","","",""
"1991","Couple + C. GT 16 ","indirect migration background","","","","","","","","","","","","","",""
"1991","Couple + C. GT 16 ","no migration background","","","","","","","","","","","","","",""
"1991","Couple + C. LE 16","direct migration background","","","","","","","","","","","","","",""
"1991","Couple + C. LE 16","indirect migration background","","","","","","","","","","","","","",""
"1991","Couple + C. LE 16","no migration background","","","","","","","","","","","","","",""
"1991","Couple + C. LE and GT 16","direct migration background","","","","","","","","","","","","","",""
"1991","Couple + C. LE and GT 16","indirect migration background","","","","","","","","","","","","","",""
"1991","Couple + C. LE and GT 16","no migration background","","","","","","","","","","","","","",""
"1991","Single parent","direct migration background","","","","","","","","","","","","","",""
"1991","Single parent","indirect migration background","","","","","","","","","","","","","",""
"1991","Single parent","no migration background","","","","","","","","","","","","","",""
"1992","(Married) couple without C.","direct migration background","","","","","","","","","","","","","",""
"1992","(Married) couple without C.","indirect migration background","","","","","","","","","","","","","",""
"1992","(Married) couple without C.","no migration background","","","","","","","","","","","","","",""
"1992","1-pers.-HH","direct migration background","","","","","","","","","","","","","",""
"1992","1-pers.-HH","indirect migration background","","","","","","","","","","","","","",""
"1992","1-pers.-HH","no migration background","","","","","","","","","","","","","",""
"1992","Couple + C. GT 16 ","direct migration background","","","","","","","","","","","","","",""
"1992","Couple + C. GT 16 ","indirect migration background","","","","","","","","","","","","","",""
