"year","age_gr","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","16-34 y.","Female","3.59","4","1786","3","3","4","4","5","3.55","3.63","1","5","4","4"
"1990","16-34 y.","Male","3.52","4","1856","3","3","4","4","5","3.49","3.55","1","5","4","4"
"1990","35-65 y.","Female","3.57","4","2371","3","3","4","4","5","3.54","3.6","1","5","4","4"
"1990","35-65 y.","Male","3.5","4","2398","2","3","4","4","5","3.47","3.53","1","5","4","4"
"1990","66 and older","Female","3.92","4","641","3","3","5","5","5","3.85","3.99","1","5","4","4"
"1990","66 and older","Male","3.75","4","417","3","3","4","5","5","3.67","3.83","1","5","4","4"
"1991","16-34 y.","Female","","","","","","","","","","","","","",""
"1991","16-34 y.","Male","","","","","","","","","","","","","",""
"1991","35-65 y.","Female","","","","","","","","","","","","","",""
"1991","35-65 y.","Male","","","","","","","","","","","","","",""
"1991","66 and older","Female","","","","","","","","","","","","","",""
"1991","66 and older","Male","","","","","","","","","","","","","",""
"1992","16-34 y.","Female","","","","","","","","","","","","","",""
"1992","16-34 y.","Male","","","","","","","","","","","","","",""
"1992","35-65 y.","Female","","","","","","","","","","","","","",""
"1992","35-65 y.","Male","","","","","","","","","","","","","",""
"1992","66 and older","Female","","","","","","","","","","","","","",""
"1992","66 and older","Male","","","","","","","","","","","","","",""
"1993","16-34 y.","Female","","","","","","","","","","","","","",""
"1993","16-34 y.","Male","","","","","","","","","","","","","",""
"1993","35-65 y.","Female","","","","","","","","","","","","","",""
"1993","35-65 y.","Male","","","","","","","","","","","","","",""
"1993","66 and older","Female","","","","","","","","","","","","","",""
"1993","66 and older","Male","","","","","","","","","","","","","",""
"1994","16-34 y.","Female","","","","","","","","","","","","","",""
"1994","16-34 y.","Male","","","","","","","","","","","","","",""
"1994","35-65 y.","Female","","","","","","","","","","","","","",""
"1994","35-65 y.","Male","","","","","","","","","","","","","",""
"1994","66 and older","Female","","","","","","","","","","","","","",""
"1994","66 and older","Male","","","","","","","","","","","","","",""
"1995","16-34 y.","Female","3.69","4","2493","3","3","4","4","5","3.66","3.72","1","5","4","4"
"1995","16-34 y.","Male","3.65","4","2436","3","3","4","4","5","3.62","3.68","1","5","4","4"
"1995","35-65 y.","Female","3.71","4","3437","3","3","4","5","5","3.69","3.73","1","5","4","4"
"1995","35-65 y.","Male","3.65","4","3378","3","3","4","4","5","3.63","3.67","1","5","4","4"
"1995","66 and older","Female","4.01","4","951","3","3","5","5","5","3.96","4.06","1","5","4","4"
"1995","66 and older","Male","3.77","4","588","3","3","4","5","5","3.7","3.84","1","5","4","4"
"1996","16-34 y.","Female","","","","","","","","","","","","","",""
"1996","16-34 y.","Male","","","","","","","","","","","","","",""
"1996","35-65 y.","Female","","","","","","","","","","","","","",""
"1996","35-65 y.","Male","","","","","","","","","","","","","",""
"1996","66 and older","Female","","","","","","","","","","","","","",""
"1996","66 and older","Male","","","","","","","","","","","","","",""
"1997","16-34 y.","Female","","","","","","","","","","","","","",""
"1997","16-34 y.","Male","","","","","","","","","","","","","",""
"1997","35-65 y.","Female","","","","","","","","","","","","","",""
"1997","35-65 y.","Male","","","","","","","","","","","","","",""
"1997","66 and older","Female","","","","","","","","","","","","","",""
"1997","66 and older","Male","","","","","","","","","","","","","",""
"1998","16-34 y.","Female","3.74","4","2454","3","3","4","4","5","3.71","3.77","1","5","4","4"
"1998","16-34 y.","Male","3.69","4","2404","3","3","4","4","5","3.66","3.72","1","5","4","4"
"1998","35-65 y.","Female","3.75","4","3783","3","3","4","4","5","3.73","3.77","1","5","4","4"
"1998","35-65 y.","Male","3.72","4","3713","3","3","4","4","5","3.7","3.74","1","5","4","4"
"1998","66 and older","Female","3.94","4","1114","3","3","5","5","5","3.89","3.99","1","5","4","4"
"1998","66 and older","Male","3.77","4","752","3","3","4","5","5","3.71","3.83","1","5","4","4"
"1999","16-34 y.","Female","","","","","","","","","","","","","",""
"1999","16-34 y.","Male","","","","","","","","","","","","","",""
"1999","35-65 y.","Female","","","","","","","","","","","","","",""
"1999","35-65 y.","Male","","","","","","","","","","","","","",""
"1999","66 and older","Female","","","","","","","","","","","","","",""
"1999","66 and older","Male","","","","","","","","","","","","","",""
"2000","16-34 y.","Female","","","","","","","","","","","","","",""
"2000","16-34 y.","Male","","","","","","","","","","","","","",""
"2000","35-65 y.","Female","","","","","","","","","","","","","",""
"2000","35-65 y.","Male","","","","","","","","","","","","","",""
"2000","66 and older","Female","","","","","","","","","","","","","",""
"2000","66 and older","Male","","","","","","","","","","","","","",""
"2001","16-34 y.","Female","","","","","","","","","","","","","",""
"2001","16-34 y.","Male","","","","","","","","","","","","","",""
"2001","35-65 y.","Female","","","","","","","","","","","","","",""
"2001","35-65 y.","Male","","","","","","","","","","","","","",""
"2001","66 and older","Female","","","","","","","","","","","","","",""
"2001","66 and older","Male","","","","","","","","","","","","","",""
"2002","16-34 y.","Female","","","","","","","","","","","","","",""
"2002","16-34 y.","Male","","","","","","","","","","","","","",""
"2002","35-65 y.","Female","","","","","","","","","","","","","",""
"2002","35-65 y.","Male","","","","","","","","","","","","","",""
"2002","66 and older","Female","","","","","","","","","","","","","",""
"2002","66 and older","Male","","","","","","","","","","","","","",""
"2003","16-34 y.","Female","3.82","4","3044","3","3","4","5","5","3.8","3.84","1","5","4","4"
"2003","16-34 y.","Male","3.78","4","2807","3","3","4","5","5","3.75","3.81","1","5","4","4"
"2003","35-65 y.","Female","3.79","4","6437","3","3","4","5","5","3.77","3.81","1","5","4","4"
"2003","35-65 y.","Male","3.73","4","6207","3","3","4","5","5","3.71","3.75","1","5","4","4"
"2003","66 and older","Female","4","4","2012","3","4","5","5","5","3.96","4.04","1","5","4","4"
"2003","66 and older","Male","3.81","4","1663","3","3","4","5","5","3.77","3.85","1","5","4","4"
"2004","16-34 y.","Female","","","","","","","","","","","","","",""
"2004","16-34 y.","Male","","","","","","","","","","","","","",""
"2004","35-65 y.","Female","","","","","","","","","","","","","",""
"2004","35-65 y.","Male","","","","","","","","","","","","","",""
"2004","66 and older","Female","","","","","","","","","","","","","",""
"2004","66 and older","Male","","","","","","","","","","","","","",""
"2005","16-34 y.","Female","","","","","","","","","","","","","",""
"2005","16-34 y.","Male","","","","","","","","","","","","","",""
"2005","35-65 y.","Female","","","","","","","","","","","","","",""
"2005","35-65 y.","Male","","","","","","","","","","","","","",""
"2005","66 and older","Female","","","","","","","","","","","","","",""
"2005","66 and older","Male","","","","","","","","","","","","","",""
"2006","16-34 y.","Female","","","","","","","","","","","","","",""
"2006","16-34 y.","Male","","","","","","","","","","","","","",""
"2006","35-65 y.","Female","","","","","","","","","","","","","",""
"2006","35-65 y.","Male","","","","","","","","","","","","","",""
"2006","66 and older","Female","","","","","","","","","","","","","",""
"2006","66 and older","Male","","","","","","","","","","","","","",""
"2007","16-34 y.","Female","","","","","","","","","","","","","",""
