"year","age_gr","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","16-34 y.","(0) in school","1.37","1","161","1","1","2","2","4","1.27","1.47","1","4","1","1"
"1990","16-34 y.","(1a) inadequately completed","1.19","1","156","1","1","1","2","4","1.07","1.31","1","5","1","1"
"1990","16-34 y.","(1b) general elementary school","1.32","1","685","1","1","1","2","5","1.26","1.38","1","5","1","1"
"1990","16-34 y.","(1c) basic vocational qualification","1.34","1","921","1","1","1","2","4","1.29","1.39","1","5","1","1"
"1990","16-34 y.","(2a) intermediate vocational","1.35","1","610","1","1","2","2","4","1.29","1.41","1","5","1","1"
"1990","16-34 y.","(2b) intermediate general qualification","1.43","1","270","1","1","2","2","4","1.34","1.52","1","4","1","1"
"1990","16-34 y.","(2c_gen) general maturity certificate","1.62","1","289","1","1","2","3","5","1.51","1.73","1","5","1","1"
"1990","16-34 y.","(2c_voc) vocational maturity certificate","1.67","1","212","1","1","2","3","5","1.55","1.79","1","5","1","1"
"1990","16-34 y.","(3a) lower tertiary education","1.56","1","70","1","1","2","2","4","1.34","1.78","1","5","1","2"
"1990","16-34 y.","(3b) higher tertiary education","1.77","1","127","1","1","2","4","5","1.57","1.97","1","5","1","2"
"1990","35-65 y.","(0) in school","","","","","","","","","","","","","",""
"1990","35-65 y.","(1a) inadequately completed","1.4","1","507","1","1","1","2","5","1.33","1.47","1","5","1","1"
"1990","35-65 y.","(1b) general elementary school","1.27","1","1097","1","1","1","2","5","1.22","1.32","1","5","1","1"
"1990","35-65 y.","(1c) basic vocational qualification","1.25","1","1891","1","1","1","2","4","1.22","1.28","1","5","1","1"
"1990","35-65 y.","(2a) intermediate vocational","1.38","1","524","1","1","2","2","4","1.32","1.44","1","5","1","1"
"1990","35-65 y.","(2b) intermediate general qualification","1.5","1","61","1","1","2","3","4","1.26","1.74","1","5","1","1"
"1990","35-65 y.","(2c_gen) general maturity certificate","1.48","1","45","1","1","2","2","5","1.17","1.79","1","5","1","1"
"1990","35-65 y.","(2c_voc) vocational maturity certificate","1.39","1","160","1","1","2","2","5","1.26","1.52","1","5","1","1"
"1990","35-65 y.","(3a) lower tertiary education","1.5","1","140","1","1","2","2","5","1.33","1.67","1","5","1","1"
"1990","35-65 y.","(3b) higher tertiary education","1.6","1","296","1","1","2","4","5","1.49","1.71","1","5","1","1"
"1990","66 and older","(0) in school","","","","","","","","","","","","","",""
"1990","66 and older","(1a) inadequately completed","","","","","","","","","","","","","",""
"1990","66 and older","(1b) general elementary school","1.29","1","357","1","1","1","2","5","1.2","1.38","1","5","1","1"
"1990","66 and older","(1c) basic vocational qualification","1.16","1","408","1","1","1","1","4","1.11","1.21","1","5","1","1"
"1990","66 and older","(2a) intermediate vocational","1.19","1","132","1","1","1","2","5","1.09","1.29","1","5","1","1"
"1990","66 and older","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1990","66 and older","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1990","66 and older","(2c_voc) vocational maturity certificate","1.08","1","40","1","1","1","1","3","0.97","1.19","1","3","1","1"
"1990","66 and older","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1990","66 and older","(3b) higher tertiary education","1.18","1","35","1","1","1","2","4","0.96","1.4","1","4","1","1"
"1991","16-34 y.","(0) in school","","","","","","","","","","","","","",""
"1991","16-34 y.","(1a) inadequately completed","","","","","","","","","","","","","",""
"1991","16-34 y.","(1b) general elementary school","","","","","","","","","","","","","",""
"1991","16-34 y.","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"1991","16-34 y.","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1991","16-34 y.","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1991","16-34 y.","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1991","16-34 y.","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1991","16-34 y.","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1991","16-34 y.","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1991","35-65 y.","(0) in school","","","","","","","","","","","","","",""
"1991","35-65 y.","(1a) inadequately completed","","","","","","","","","","","","","",""
"1991","35-65 y.","(1b) general elementary school","","","","","","","","","","","","","",""
"1991","35-65 y.","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"1991","35-65 y.","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1991","35-65 y.","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1991","35-65 y.","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1991","35-65 y.","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1991","35-65 y.","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1991","35-65 y.","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1991","66 and older","(0) in school","","","","","","","","","","","","","",""
"1991","66 and older","(1a) inadequately completed","","","","","","","","","","","","","",""
"1991","66 and older","(1b) general elementary school","","","","","","","","","","","","","",""
"1991","66 and older","(1c) basic vocational qualification","","","","","","","","","","","","","",""
