"year","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","(Married) couple without C.","4.48","5","2306","3","4","5","5","5","4.45","4.51","1","5","5","5"
"1990","1-pers.-HH","4.55","5","1034","3","4","5","5","5","4.5","4.6","1","5","5","5"
"1990","Couple + C. GT 16 ","4.15","4","2050","2","4","5","5","5","4.11","4.19","1","5","4","5"
"1990","Couple + C. LE 16","4.29","5","2085","3","4","5","5","5","4.25","4.33","1","5","5","5"
"1990","Couple + C. LE and GT 16","4.14","4","886","2","4","5","5","5","4.07","4.21","1","5","4","5"
"1990","Single parent","4.26","5","460","3","4","5","5","5","4.17","4.35","1","5","5","5"
"1991","(Married) couple without C.","","","","","","","","","","","","","",""
"1991","1-pers.-HH","","","","","","","","","","","","","",""
"1991","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1991","Couple + C. LE 16","","","","","","","","","","","","","",""
"1991","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1991","Single parent","","","","","","","","","","","","","",""
"1992","(Married) couple without C.","","","","","","","","","","","","","",""
"1992","1-pers.-HH","","","","","","","","","","","","","",""
"1992","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1992","Couple + C. LE 16","","","","","","","","","","","","","",""
"1992","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1992","Single parent","","","","","","","","","","","","","",""
"1993","(Married) couple without C.","","","","","","","","","","","","","",""
"1993","1-pers.-HH","","","","","","","","","","","","","",""
"1993","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1993","Couple + C. LE 16","","","","","","","","","","","","","",""
"1993","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1993","Single parent","","","","","","","","","","","","","",""
"1994","(Married) couple without C.","","","","","","","","","","","","","",""
"1994","1-pers.-HH","","","","","","","","","","","","","",""
"1994","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1994","Couple + C. LE 16","","","","","","","","","","","","","",""
"1994","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1994","Single parent","","","","","","","","","","","","","",""
"1995","(Married) couple without C.","4.49","5","3498","3","4","5","5","5","4.46","4.52","1","5","5","5"
"1995","1-pers.-HH","4.59","5","1444","4","4","5","5","5","4.55","4.63","1","5","5","5"
"1995","Couple + C. GT 16 ","4.28","5","2481","3","4","5","5","5","4.24","4.32","1","5","5","5"
"1995","Couple + C. LE 16","4.38","5","3141","3","4","5","5","5","4.35","4.41","1","5","5","5"
"1995","Couple + C. LE and GT 16","4.21","4","1243","3","4","5","5","5","4.16","4.26","1","5","4","5"
"1995","Single parent","4.29","5","612","3","4","5","5","5","4.22","4.36","2","5","5","5"
"1996","(Married) couple without C.","","","","","","","","","","","","","",""
"1996","1-pers.-HH","","","","","","","","","","","","","",""
"1996","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1996","Couple + C. LE 16","","","","","","","","","","","","","",""
"1996","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1996","Single parent","","","","","","","","","","","","","",""
"1997","(Married) couple without C.","","","","","","","","","","","","","",""
"1997","1-pers.-HH","","","","","","","","","","","","","",""
"1997","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1997","Couple + C. LE 16","","","","","","","","","","","","","",""
"1997","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1997","Single parent","","","","","","","","","","","","","",""
"1998","(Married) couple without C.","4.48","5","4140","4","4","5","5","5","4.46","4.5","1","5","5","5"
"1998","1-pers.-HH","4.56","5","1738","4","4","5","5","5","4.52","4.6","1","5","5","5"
"1998","Couple + C. GT 16 ","4.26","4","2547","3","4","5","5","5","4.23","4.29","1","5","4","5"
"1998","Couple + C. LE 16","4.29","5","3093","3","4","5","5","5","4.26","4.32","1","5","4","5"
"1998","Couple + C. LE and GT 16","4.13","4","1250","3","4","5","5","5","4.08","4.18","1","5","4","4"
"1998","Single parent","4.27","5","706","3","4","5","5","5","4.2","4.34","1","5","4","5"
"1999","(Married) couple without C.","","","","","","","","","","","","","",""
"1999","1-pers.-HH","","","","","","","","","","","","","",""
"1999","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1999","Couple + C. LE 16","","","","","","","","","","","","","",""
"1999","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1999","Single parent","","","","","","","","","","","","","",""
