"year","migback","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","direct migration background","general elemantary","4.45","5","850","3","4","5","5","5","4.38","4.52","1","5","5","5"
"1990","direct migration background","higher education","4.4","5","89","3","4","5","5","5","4.23","4.57","2","5","4","5"
"1990","direct migration background","higher vocational","4.37","4.88","49","3","4","5","5","5","4.14","4.6","2","5","4","5"
"1990","direct migration background","in school","","","","","","","","","","","","","",""
"1990","direct migration background","inadequately","4.66","5","551","4","5","5","5","5","4.6","4.72","1","5","5","5"
"1990","direct migration background","middle vocational","4.36","5","801","3","4","5","5","5","4.29","4.43","1","5","5","5"
"1990","direct migration background","vocational + Abi","4.32","5","96","3","4","5","5","5","4.12","4.52","2","5","4","5"
"1990","indirect migration background","general elemantary","4.05","4","116","2","3","5","5","5","3.84","4.26","2","5","4","5"
"1990","indirect migration background","higher education","","","","","","","","","","","","","",""
"1990","indirect migration background","higher vocational","","","","","","","","","","","","","",""
"1990","indirect migration background","in school","3.6","3.48","34","2","3","4","5","5","3.19","4.01","2","5","3","5"
"1990","indirect migration background","inadequately","","","","","","","","","","","","","",""
"1990","indirect migration background","middle vocational","4.32","4.81","96","3","4","5","5","5","4.14","4.5","2","5","4","4"
"1990","indirect migration background","vocational + Abi","","","","","","","","","","","","","",""
"1990","no migration background","general elemantary","4.55","5","1507","3","4","5","5","5","4.51","4.59","1","5","5","5"
"1990","no migration background","higher education","4.46","5","604","3","4","5","5","5","4.4","4.52","2","5","5","5"
"1990","no migration background","higher vocational","4.33","5","459","3","4","5","5","5","4.25","4.41","1","5","5","5"
"1990","no migration background","in school","3.73","4","101","2","3","4","5","5","3.54","3.92","2","5","4","4"
"1990","no migration background","inadequately","4.4","5","65","3","4","5","5","5","4.17","4.63","2","5","5","5"
"1990","no migration background","middle vocational","4.29","5","3646","3","4","5","5","5","4.26","4.32","1","5","5","5"
"1990","no migration background","vocational + Abi","4.23","4.72","192","3","4","5","5","5","4.09","4.37","2","5","4","5"
"1991","direct migration background","general elemantary","","","","","","","","","","","","","",""
"1991","direct migration background","higher education","","","","","","","","","","","","","",""
"1991","direct migration background","higher vocational","","","","","","","","","","","","","",""
"1991","direct migration background","in school","","","","","","","","","","","","","",""
"1991","direct migration background","inadequately","","","","","","","","","","","","","",""
"1991","direct migration background","middle vocational","","","","","","","","","","","","","",""
"1991","direct migration background","vocational + Abi","","","","","","","","","","","","","",""
"1991","indirect migration background","general elemantary","","","","","","","","","","","","","",""
"1991","indirect migration background","higher education","","","","","","","","","","","","","",""
