"year","pgisced97","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","general elemantary","Rural Area","4.5","5","531","3","4","5","5","5","4.42","4.58","1","5","5","5"
"1990","general elemantary","Urban Area","4.54","5","1942","3","4","5","5","5","4.5","4.58","1","5","5","5"
"1990","higher education","Rural Area","4.36","5","101","3","4","5","5","5","4.19","4.53","2","5","4","5"
"1990","higher education","Urban Area","4.47","5","595","4","4","5","5","5","4.41","4.53","2","5","5","5"
"1990","higher vocational","Rural Area","4.33","5","111","3","4","5","5","5","4.16","4.5","1","5","4","5"
"1990","higher vocational","Urban Area","4.33","5","403","3","4","5","5","5","4.24","4.42","1","5","5","5"
"1990","in school","Rural Area","","","","","","","","","","","","","",""
"1990","in school","Urban Area","3.77","4","133","2","3","4","5","5","3.59","3.95","2","5","4","4"
"1990","inadequately","Rural Area","4.4","5","82","3","4","5","5","5","4.18","4.62","1","5","5","5"
"1990","inadequately","Urban Area","4.6","5","552","3","5","5","5","5","4.54","4.66","1","5","5","5"
"1990","middle vocational","Rural Area","4.22","5","992","3","4","5","5","5","4.16","4.28","1","5","4","5"
"1990","middle vocational","Urban Area","4.32","5","3551","3","4","5","5","5","4.29","4.35","1","5","5","5"
"1990","vocational + Abi","Rural Area","4.13","4","41","2","4","5","5","5","3.8","4.46","2","5","4","4"
"1990","vocational + Abi","Urban Area","4.27","5","254","3","4","5","5","5","4.15","4.39","2","5","4","5"
"1991","general elemantary","Rural Area","","","","","","","","","","","","","",""
"1991","general elemantary","Urban Area","","","","","","","","","","","","","",""
"1991","higher education","Rural Area","","","","","","","","","","","","","",""
"1991","higher education","Urban Area","","","","","","","","","","","","","",""
"1991","higher vocational","Rural Area","","","","","","","","","","","","","",""
"1991","higher vocational","Urban Area","","","","","","","","","","","","","",""
"1991","in school","Rural Area","","","","","","","","","","","","","",""
"1991","in school","Urban Area","","","","","","","","","","","","","",""
"1991","inadequately","Rural Area","","","","","","","","","","","","","",""
"1991","inadequately","Urban Area","","","","","","","","","","","","","",""
"1991","middle vocational","Rural Area","","","","","","","","","","","","","",""
"1991","middle vocational","Urban Area","","","","","","","","","","","","","",""
"1991","vocational + Abi","Rural Area","","","","","","","","","","","","","",""
"1991","vocational + Abi","Urban Area","","","","","","","","","","","","","",""
"1992","general elemantary","Rural Area","","","","","","","","","","","","","",""
"1992","general elemantary","Urban Area","","","","","","","","","","","","","",""
"1992","higher education","Rural Area","","","","","","","","","","","","","",""
"1992","higher education","Urban Area","","","","","","","","","","","","","",""
"1992","higher vocational","Rural Area","","","","","","","","","","","","","",""
"1992","higher vocational","Urban Area","","","","","","","","","","","","","",""
"1992","in school","Rural Area","","","","","","","","","","","","","",""
"1992","in school","Urban Area","","","","","","","","","","","","","",""
"1992","inadequately","Rural Area","","","","","","","","","","","","","",""
"1992","inadequately","Urban Area","","","","","","","","","","","","","",""
"1992","middle vocational","Rural Area","","","","","","","","","","","","","",""
"1992","middle vocational","Urban Area","","","","","","","","","","","","","",""
"1992","vocational + Abi","Rural Area","","","","","","","","","","","","","",""
"1992","vocational + Abi","Urban Area","","","","","","","","","","","","","",""
"1993","general elemantary","Rural Area","","","","","","","","","","","","","",""
"1993","general elemantary","Urban Area","","","","","","","","","","","","","",""
"1993","higher education","Rural Area","","","","","","","","","","","","","",""
"1993","higher education","Urban Area","","","","","","","","","","","","","",""
"1993","higher vocational","Rural Area","","","","","","","","","","","","","",""
"1993","higher vocational","Urban Area","","","","","","","","","","","","","",""
"1993","in school","Rural Area","","","","","","","","","","","","","",""
"1993","in school","Urban Area","","","","","","","","","","","","","",""
"1993","inadequately","Rural Area","","","","","","","","","","","","","",""
"1993","inadequately","Urban Area","","","","","","","","","","","","","",""
"1993","middle vocational","Rural Area","","","","","","","","","","","","","",""
"1993","middle vocational","Urban Area","","","","","","","","","","","","","",""
"1993","vocational + Abi","Rural Area","","","","","","","","","","","","","",""
"1993","vocational + Abi","Urban Area","","","","","","","","","","","","","",""
"1994","general elemantary","Rural Area","","","","","","","","","","","","","",""
"1994","general elemantary","Urban Area","","","","","","","","","","","","","",""
"1994","higher education","Rural Area","","","","","","","","","","","","","",""
"1994","higher education","Urban Area","","","","","","","","","","","","","",""
"1994","higher vocational","Rural Area","","","","","","","","","","","","","",""
"1994","higher vocational","Urban Area","","","","","","","","","","","","","",""
"1994","in school","Rural Area","","","","","","","","","","","","","",""
"1994","in school","Urban Area","","","","","","","","","","","","","",""
"1994","inadequately","Rural Area","","","","","","","","","","","","","",""
"1994","inadequately","Urban Area","","","","","","","","","","","","","",""
"1994","middle vocational","Rural Area","","","","","","","","","","","","","",""
"1994","middle vocational","Urban Area","","","","","","","","","","","","","",""
"1994","vocational + Abi","Rural Area","","","","","","","","","","","","","",""
"1994","vocational + Abi","Urban Area","","","","","","","","","","","","","",""
"1995","general elemantary","Rural Area","4.57","5","754","3","4","5","5","5","4.51","4.63","1","5","5","5"
"1995","general elemantary","Urban Area","4.6","5","1737","4","4","5","5","5","4.56","4.64","1","5","5","5"
"1995","higher education","Rural Area","4.49","5","634","4","4","5","5","5","4.43","4.55","2","5","5","5"
"1995","higher education","Urban Area","4.45","5","1116","3","4","5","5","5","4.41","4.49","1","5","5","5"
"1995","higher vocational","Rural Area","4.35","5","286","3","4","5","5","5","4.26","4.44","2","5","4","5"
"1995","higher vocational","Urban Area","4.39","5","472","3","4","5","5","5","4.31","4.47","2","5","5","5"
"1995","in school","Rural Area","3.66","4","87","2","3","4","5","5","3.44","3.88","1","5","4","4"
"1995","in school","Urban Area","3.94","4","197","3","3","5","5","5","3.8","4.08","1","5","4","4"
"1995","inadequately","Rural Area","4.7","5","85","4","5","5","5","5","4.56","4.84","2","5","5","5"
"1995","inadequately","Urban Area","4.69","5","445","4","5","5","5","5","4.62","4.76","1","5","5","5"
"1995","middle vocational","Rural Area","4.36","5","2426","3","4","5","5","5","4.33","4.39","1","5","5","5"
"1995","middle vocational","Urban Area","4.42","5","4284","3","4","5","5","5","4.39","4.45","1","5","5","5"
"1995","vocational + Abi","Rural Area","4.07","4","113","2","4","5","5","5","3.88","4.26","2","5","4","5"
"1995","vocational + Abi","Urban Area","4.36","5","363","3","4","5","5","5","4.27","4.45","2","5","5","5"
"1996","general elemantary","Rural Area","","","","","","","","","","","","","",""
"1996","general elemantary","Urban Area","","","","","","","","","","","","","",""
"1996","higher education","Rural Area","","","","","","","","","","","","","",""
"1996","higher education","Urban Area","","","","","","","","","","","","","",""
"1996","higher vocational","Rural Area","","","","","","","","","","","","","",""
"1996","higher vocational","Urban Area","","","","","","","","","","","","","",""
"1996","in school","Rural Area","","","","","","","","","","","","","",""
"1996","in school","Urban Area","","","","","","","","","","","","","",""
"1996","inadequately","Rural Area","","","","","","","","","","","","","",""
"1996","inadequately","Urban Area","","","","","","","","","","","","","",""
"1996","middle vocational","Rural Area","","","","","","","","","","","","","",""
"1996","middle vocational","Urban Area","","","","","","","","","","","","","",""
"1996","vocational + Abi","Rural Area","","","","","","","","","","","","","",""
"1996","vocational + Abi","Urban Area","","","","","","","","","","","","","",""
"1997","general elemantary","Rural Area","","","","","","","","","","","","","",""
"1997","general elemantary","Urban Area","","","","","","","","","","","","","",""
"1997","higher education","Rural Area","","","","","","","","","","","","","",""
"1997","higher education","Urban Area","","","","","","","","","","","","","",""
"1997","higher vocational","Rural Area","","","","","","","","","","","","","",""
"1997","higher vocational","Urban Area","","","","","","","","","","","","","",""
"1997","in school","Rural Area","","","","","","","","","","","","","",""
"1997","in school","Urban Area","","","","","","","","","","","","","",""
"1997","inadequately","Rural Area","","","","","","","","","","","","","",""
"1997","inadequately","Urban Area","","","","","","","","","","","","","",""
"1997","middle vocational","Rural Area","","","","","","","","","","","","","",""
"1997","middle vocational","Urban Area","","","","","","","","","","","","","",""
"1997","vocational + Abi","Rural Area","","","","","","","","","","","","","",""
"1997","vocational + Abi","Urban Area","","","","","","","","","","","","","",""
"1998","general elemantary","Rural Area","4.49","5","758","3","4","5","5","5","4.43","4.55","1","5","5","5"
"1998","general elemantary","Urban Area","4.58","5","1770","4","4","5","5","5","4.54","4.62","1","5","5","5"
"1998","higher education","Rural Area","4.43","5","706","3","4","5","5","5","4.37","4.49","2","5","5","5"
"1998","higher education","Urban Area","4.44","5","1260","3","4","5","5","5","4.4","4.48","2","5","5","5"
"1998","higher vocational","Rural Area","4.36","5","298","3","4","5","5","5","4.26","4.46","1","5","4","5"
"1998","higher vocational","Urban Area","4.3","5","522","3","4","5","5","5","4.23","4.37","1","5","4","5"
"1998","in school","Rural Area","3.73","4","112","2","3","4","5","5","3.55","3.91","2","5","4","4"
"1998","in school","Urban Area","3.82","4","217","2","3","5","5","5","3.69","3.95","2","5","4","4"
"1998","inadequately","Rural Area","4.58","5","76","3","5","5","5","5","4.38","4.78","2","5","5","5"
"1998","inadequately","Urban Area","4.66","5","368","4","5","5","5","5","4.58","4.74","2","5","5","5"
"1998","middle vocational","Rural Area","4.34","5","2588","3","4","5","5","5","4.31","4.37","1","5","5","5"
"1998","middle vocational","Urban Area","4.38","5","4407","3","4","5","5","5","4.36","4.4","1","5","5","5"
"1998","vocational + Abi","Rural Area","4.24","4","119","3","4","5","5","5","4.09","4.39","1","5","4","5"
"1998","vocational + Abi","Urban Area","4.3","5","389","3","4","5","5","5","4.22","4.38","2","5","4","5"
"1999","general elemantary","Rural Area","","","","","","","","","","","","","",""
"1999","general elemantary","Urban Area","","","","","","","","","","","","","",""
"1999","higher education","Rural Area","","","","","","","","","","","","","",""
"1999","higher education","Urban Area","","","","","","","","","","","","","",""
"1999","higher vocational","Rural Area","","","","","","","","","","","","","",""
"1999","higher vocational","Urban Area","","","","","","","","","","","","","",""
"1999","in school","Rural Area","","","","","","","","","","","","","",""
"1999","in school","Urban Area","","","","","","","","","","","","","",""
"1999","inadequately","Rural Area","","","","","","","","","","","","","",""
"1999","inadequately","Urban Area","","","","","","","","","","","","","",""
"1999","middle vocational","Rural Area","","","","","","","","","","","","","",""
"1999","middle vocational","Urban Area","","","","","","","","","","","","","",""
"1999","vocational + Abi","Rural Area","","","","","","","","","","","","","",""
"1999","vocational + Abi","Urban Area","","","","","","","","","","","","","",""
"2000","general elemantary","Rural Area","","","","","","","","","","","","","",""
"2000","general elemantary","Urban Area","","","","","","","","","","","","","",""
"2000","higher education","Rural Area","","","","","","","","","","","","","",""
"2000","higher education","Urban Area","","","","","","","","","","","","","",""
"2000","higher vocational","Rural Area","","","","","","","","","","","","","",""
"2000","higher vocational","Urban Area","","","","","","","","","","","","","",""
"2000","in school","Rural Area","","","","","","","","","","","","","",""
"2000","in school","Urban Area","","","","","","","","","","","","","",""
"2000","inadequately","Rural Area","","","","","","","","","","","","","",""
"2000","inadequately","Urban Area","","","","","","","","","","","","","",""
"2000","middle vocational","Rural Area","","","","","","","","","","","","","",""
"2000","middle vocational","Urban Area","","","","","","","","","","","","","",""
"2000","vocational + Abi","Rural Area","","","","","","","","","","","","","",""
"2000","vocational + Abi","Urban Area","","","","","","","","","","","","","",""
"2001","general elemantary","Rural Area","","","","","","","","","","","","","",""
"2001","general elemantary","Urban Area","","","","","","","","","","","","","",""
"2001","higher education","Rural Area","","","","","","","","","","","","","",""
"2001","higher education","Urban Area","","","","","","","","","","","","","",""
"2001","higher vocational","Rural Area","","","","","","","","","","","","","",""
"2001","higher vocational","Urban Area","","","","","","","","","","","","","",""
"2001","in school","Rural Area","","","","","","","","","","","","","",""
"2001","in school","Urban Area","","","","","","","","","","","","","",""
"2001","inadequately","Rural Area","","","","","","","","","","","","","",""
"2001","inadequately","Urban Area","","","","","","","","","","","","","",""
"2001","middle vocational","Rural Area","","","","","","","","","","","","","",""
"2001","middle vocational","Urban Area","","","","","","","","","","","","","",""
"2001","vocational + Abi","Rural Area","","","","","","","","","","","","","",""
"2001","vocational + Abi","Urban Area","","","","","","","","","","","","","",""
"2002","general elemantary","Rural Area","","","","","","","","","","","","","",""
"2002","general elemantary","Urban Area","","","","","","","","","","","","","",""
"2002","higher education","Rural Area","","","","","","","","","","","","","",""
"2002","higher education","Urban Area","","","","","","","","","","","","","",""
"2002","higher vocational","Rural Area","","","","","","","","","","","","","",""
"2002","higher vocational","Urban Area","","","","","","","","","","","","","",""
"2002","in school","Rural Area","","","","","","","","","","","","","",""
"2002","in school","Urban Area","","","","","","","","","","","","","",""
"2002","inadequately","Rural Area","","","","","","","","","","","","","",""
"2002","inadequately","Urban Area","","","","","","","","","","","","","",""
"2002","middle vocational","Rural Area","","","","","","","","","","","","","",""
"2002","middle vocational","Urban Area","","","","","","","","","","","","","",""
"2002","vocational + Abi","Rural Area","","","","","","","","","","","","","",""
"2002","vocational + Abi","Urban Area","","","","","","","","","","","","","",""
"2003","general elemantary","Rural Area","4.56","5","892","4","4","5","5","5","4.51","4.61","2","5","5","5"
"2003","general elemantary","Urban Area","4.61","5","1854","3","5","5","5","5","4.57","4.65","1","5","5","5"
"2003","higher education","Rural Area","4.31","4","1249","3","4","5","5","5","4.27","4.35","2","5","4","5"
"2003","higher education","Urban Area","4.44","5","3086","3","4","5","5","5","4.41","4.47","1","5","5","5"
"2003","higher vocational","Rural Area","4.32","5","602","3","4","5","5","5","4.25","4.39","1","5","4","5"
"2003","higher vocational","Urban Area","4.35","5","1075","3","4","5","5","5","4.3","4.4","1","5","4","5"
"2003","in school","Rural Area","3.88","4","193","2","4","5","5","5","3.73","4.03","1","5","4","4"
"2003","in school","Urban Area","3.84","4","417","2","3","5","5","5","3.74","3.94","1","5","4","4"
"2003","inadequately","Rural Area","4.8","5","61","4","5","5","5","5","4.63","4.97","2","5","5","5"
"2003","inadequately","Urban Area","4.63","5","206","3","5","5","5","5","4.52","4.74","2","5","5","5"
"2003","middle vocational","Rural Area","4.39","5","3968","3","4","5","5","5","4.36","4.42","1","5","5","5"
"2003","middle vocational","Urban Area","4.43","5","7115","3","4","5","5","5","4.41","4.45","1","5","5","5"
"2003","vocational + Abi","Rural Area","4.15","4","266","3","4","5","5","5","4.05","4.25","1","5","4","4"
"2003","vocational + Abi","Urban Area","4.38","5","892","3","4","5","5","5","4.32","4.44","1","5","5","5"
"2004","general elemantary","Rural Area","","","","","","","","","","","","","",""
"2004","general elemantary","Urban Area","","","","","","","","","","","","","",""
"2004","higher education","Rural Area","","","","","","","","","","","","","",""
"2004","higher education","Urban Area","","","","","","","","","","","","","",""
"2004","higher vocational","Rural Area","","","","","","","","","","","","","",""
"2004","higher vocational","Urban Area","","","","","","","","","","","","","",""
"2004","in school","Rural Area","","","","","","","","","","","","","",""
"2004","in school","Urban Area","","","","","","","","","","","","","",""
"2004","inadequately","Rural Area","","","","","","","","","","","","","",""
"2004","inadequately","Urban Area","","","","","","","","","","","","","",""
"2004","middle vocational","Rural Area","","","","","","","","","","","","","",""
"2004","middle vocational","Urban Area","","","","","","","","","","","","","",""
"2004","vocational + Abi","Rural Area","","","","","","","","","","","","","",""
"2004","vocational + Abi","Urban Area","","","","","","","","","","","","","",""
"2005","general elemantary","Rural Area","","","","","","","","","","","","","",""
"2005","general elemantary","Urban Area","","","","","","","","","","","","","",""
"2005","higher education","Rural Area","","","","","","","","","","","","","",""
"2005","higher education","Urban Area","","","","","","","","","","","","","",""
"2005","higher vocational","Rural Area","","","","","","","","","","","","","",""
"2005","higher vocational","Urban Area","","","","","","","","","","","","","",""
"2005","in school","Rural Area","","","","","","","","","","","","","",""
"2005","in school","Urban Area","","","","","","","","","","","","","",""
"2005","inadequately","Rural Area","","","","","","","","","","","","","",""
"2005","inadequately","Urban Area","","","","","","","","","","","","","",""
"2005","middle vocational","Rural Area","","","","","","","","","","","","","",""
"2005","middle vocational","Urban Area","","","","","","","","","","","","","",""
"2005","vocational + Abi","Rural Area","","","","","","","","","","","","","",""
"2005","vocational + Abi","Urban Area","","","","","","","","","","","","","",""
"2006","general elemantary","Rural Area","","","","","","","","","","","","","",""
"2006","general elemantary","Urban Area","","","","","","","","","","","","","",""
"2006","higher education","Rural Area","","","","","","","","","","","","","",""
"2006","higher education","Urban Area","","","","","","","","","","","","","",""
"2006","higher vocational","Rural Area","","","","","","","","","","","","","",""
"2006","higher vocational","Urban Area","","","","","","","","","","","","","",""
"2006","in school","Rural Area","","","","","","","","","","","","","",""
"2006","in school","Urban Area","","","","","","","","","","","","","",""
"2006","inadequately","Rural Area","","","","","","","","","","","","","",""
"2006","inadequately","Urban Area","","","","","","","","","","","","","",""
"2006","middle vocational","Rural Area","","","","","","","","","","","","","",""
"2006","middle vocational","Urban Area","","","","","","","","","","","","","",""
"2006","vocational + Abi","Rural Area","","","","","","","","","","","","","",""
"2006","vocational + Abi","Urban Area","","","","","","","","","","","","","",""
"2007","general elemantary","Rural Area","","","","","","","","","","","","","",""
"2007","general elemantary","Urban Area","","","","","","","","","","","","","",""
"2007","higher education","Rural Area","","","","","","","","","","","","","",""
"2007","higher education","Urban Area","","","","","","","","","","","","","",""
"2007","higher vocational","Rural Area","","","","","","","","","","","","","",""
"2007","higher vocational","Urban Area","","","","","","","","","","","","","",""
"2007","in school","Rural Area","","","","","","","","","","","","","",""
"2007","in school","Urban Area","","","","","","","","","","","","","",""
"2007","inadequately","Rural Area","","","","","","","","","","","","","",""
"2007","inadequately","Urban Area","","","","","","","","","","","","","",""
"2007","middle vocational","Rural Area","","","","","","","","","","","","","",""
"2007","middle vocational","Urban Area","","","","","","","","","","","","","",""
"2007","vocational + Abi","Rural Area","","","","","","","","","","","","","",""
"2007","vocational + Abi","Urban Area","","","","","","","","","","","","","",""
"2008","general elemantary","Rural Area","4.56","5","685","3","4","5","5","5","4.5","4.62","1","5","5","5"
"2008","general elemantary","Urban Area","4.6","5","1339","4","4","5","5","5","4.56","4.64","1","5","5","5"
"2008","higher education","Rural Area","4.37","5","1203","3","4","5","5","5","4.32","4.42","1","5","4","5"
"2008","higher education","Urban Area","4.4","5","2990","3","4","5","5","5","4.37","4.43","1","5","5","5"
"2008","higher vocational","Rural Area","4.33","4","531","3","4","5","5","5","4.26","4.4","1","5","4","5"
"2008","higher vocational","Urban Area","4.38","5","886","3","4","5","5","5","4.33","4.43","1","5","4","5"
"2008","in school","Rural Area","3.58","4","115","2","3","4","5","5","3.38","3.78","1","5","4","4"
"2008","in school","Urban Area","3.71","4","234","2","3","5","5","5","3.57","3.85","1","5","4","4"
"2008","inadequately","Rural Area","4.71","5","51","4","5","5","5","5","4.52","4.9","2","5","5","5"
"2008","inadequately","Urban Area","4.66","5","136","3","5","5","5","5","4.54","4.78","2","5","5","5"
"2008","middle vocational","Rural Area","4.34","5","3577","3","4","5","5","5","4.31","4.37","1","5","5","5"
"2008","middle vocational","Urban Area","4.39","5","6155","3","4","5","5","5","4.37","4.41","1","5","5","5"
"2008","vocational + Abi","Rural Area","4.25","4","274","3","4","5","5","5","4.15","4.35","2","5","4","5"
"2008","vocational + Abi","Urban Area","4.37","5","821","3","4","5","5","5","4.31","4.43","1","5","5","5"
"2009","general elemantary","Rural Area","","","","","","","","","","","","","",""
